,Location,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level,Station
1,1,1,interpolated,0,51.667,48.901,54.432,0.794,0.756,0.831,Location,S1
2,1,2,interpolated,0,62.333,58.917,65.75,0.91,0.878,0.941,Location,S1
3,1,3,observed,0,67,62.95,71.05,0.96,0.934,0.987,Location,S1
4,1,4,extrapolated,0,69.042,64.275,73.808,0.983,0.962,1,Location,S1
5,1,5,extrapolated,0,69.935,64.521,75.349,0.992,0.978,1,Location,S1
6,1,6,extrapolated,0,70.326,64.413,76.238,0.997,0.987,1,Location,S1
7,1,7,extrapolated,0,70.497,64.232,76.761,0.999,0.992,1,Location,S1
8,1,8,extrapolated,0,70.571,64.068,77.075,0.999,0.995,1,Location,S1
9,1,9,extrapolated,0,70.604,63.944,77.265,1,0.997,1,Location,S1
10,1,10,extrapolated,0,70.618,63.856,77.381,1,0.998,1,Location,S1
11,1,11,extrapolated,0,70.625,63.797,77.453,1,0.999,1,Location,S1
12,1,12,extrapolated,0,70.627,63.757,77.498,1,0.999,1,Location,S1
13,1,13,extrapolated,0,70.629,63.732,77.526,1,0.999,1,Location,S1
14,1,14,extrapolated,0,70.629,63.715,77.543,1,1,1,Location,S1
15,1,15,extrapolated,0,70.629,63.705,77.554,1,1,1,Location,S1
16,1,16,extrapolated,0,70.63,63.698,77.561,1,1,1,Location,S1
17,1,17,extrapolated,0,70.63,63.693,77.566,1,1,1,Location,S1
18,1,18,extrapolated,0,70.63,63.691,77.569,1,1,1,Location,S1
19,1,19,extrapolated,0,70.63,63.689,77.57,1,1,1,Location,S1
20,1,20,extrapolated,0,70.63,63.688,77.571,1,1,1,Location,S1
21,1,21,extrapolated,0,70.63,63.687,77.572,1,1,1,Location,S1
22,1,22,extrapolated,0,70.63,63.687,77.573,1,1,1,Location,S1
23,1,23,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
24,1,24,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
25,1,25,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
26,1,26,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
27,1,27,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
28,1,28,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
29,1,29,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
30,1,30,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
31,1,31,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
32,1,32,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
33,1,33,extrapolated,0,70.63,63.686,77.573,1,1,1,Location,S1
34,1,34,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
35,1,35,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
36,1,36,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
37,1,37,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
38,1,38,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
39,1,39,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
40,1,40,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
41,1,41,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
42,1,42,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
43,1,43,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
44,1,44,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
45,1,45,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
46,1,46,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
47,1,47,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
48,1,48,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
49,1,49,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
50,1,50,extrapolated,0,70.63,63.686,77.574,1,1,1,Location,S1
51,2,1,interpolated,0,53.333,50.198,56.469,0.825,0.795,0.855,Location,S1
52,2,2,interpolated,0,62.667,58.957,66.376,0.919,0.889,0.948,Location,S1
53,2,3,observed,0,67,62.814,71.186,0.962,0.934,0.99,Location,S1
54,2,4,extrapolated,0,69.012,64.146,73.878,0.982,0.96,1,Location,S1
55,2,5,extrapolated,0,69.946,64.355,75.537,0.992,0.974,1,Location,S1
56,2,6,extrapolated,0,70.38,64.152,76.608,0.996,0.983,1,Location,S1
57,2,7,extrapolated,0,70.581,63.841,77.321,0.998,0.988,1,Location,S1
58,2,8,extrapolated,0,70.675,63.539,77.81,0.999,0.992,1,Location,S1
59,2,9,extrapolated,0,70.718,63.283,78.153,1,0.994,1,Location,S1
