,Station,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL,Level
1,S1,1,interpolated,0,65,62.101,67.899,0.844,0.819,0.868,Station
2,S1,2,interpolated,0,75.167,71.874,78.459,0.937,0.918,0.956,Station
3,S1,3,interpolated,0,79.25,75.708,82.792,0.973,0.956,0.99,Station
4,S1,4,observed,0,81,77.175,84.825,0.988,0.974,1,Station
5,S1,5,extrapolated,0,81.75,77.57,85.93,0.995,0.984,1,Station
6,S1,6,extrapolated,0,82.071,77.529,86.614,0.998,0.989,1,Station
7,S1,7,extrapolated,0,82.209,77.35,87.069,0.999,0.993,1,Station
8,S1,8,extrapolated,0,82.268,77.152,87.384,1,0.995,1,Station
9,S1,9,extrapolated,0,82.294,76.979,87.608,1,0.996,1,Station
10,S1,10,extrapolated,0,82.304,76.839,87.77,1,0.997,1,Station
11,S1,11,extrapolated,0,82.309,76.731,87.887,1,0.998,1,Station
12,S1,12,extrapolated,0,82.311,76.65,87.972,1,0.999,1,Station
13,S1,13,extrapolated,0,82.312,76.589,88.035,1,0.999,1,Station
14,S1,14,extrapolated,0,82.312,76.544,88.08,1,0.999,1,Station
15,S1,15,extrapolated,0,82.312,76.511,88.114,1,0.999,1,Station
16,S1,16,extrapolated,0,82.312,76.486,88.139,1,1,1,Station
17,S1,17,extrapolated,0,82.312,76.468,88.157,1,1,1,Station
18,S1,18,extrapolated,0,82.312,76.455,88.17,1,1,1,Station
19,S1,19,extrapolated,0,82.312,76.445,88.18,1,1,1,Station
20,S1,20,extrapolated,0,82.312,76.438,88.187,1,1,1,Station
21,S1,21,extrapolated,0,82.312,76.432,88.193,1,1,1,Station
22,S1,22,extrapolated,0,82.312,76.428,88.197,1,1,1,Station
23,S1,23,extrapolated,0,82.312,76.425,88.2,1,1,1,Station
24,S1,24,extrapolated,0,82.312,76.423,88.202,1,1,1,Station
25,S1,25,extrapolated,0,82.312,76.422,88.203,1,1,1,Station
26,S1,26,extrapolated,0,82.312,76.42,88.205,1,1,1,Station
27,S1,27,extrapolated,0,82.312,76.42,88.205,1,1,1,Station
28,S1,28,extrapolated,0,82.312,76.419,88.206,1,1,1,Station
29,S1,29,extrapolated,0,82.312,76.418,88.207,1,1,1,Station
30,S1,30,extrapolated,0,82.312,76.418,88.207,1,1,1,Station
31,S2,1,interpolated,0,55.75,52.958,58.542,0.87,0.845,0.895,Station
32,S2,2,interpolated,0,63,59.312,66.688,0.919,0.897,0.942,Station
33,S2,3,interpolated,0,67.5,63.023,71.977,0.937,0.915,0.959,Station
34,S2,4,observed,0,71,65.65,76.35,0.951,0.929,0.974,Station
35,S2,5,extrapolated,0,73.722,67.456,79.988,0.962,0.94,0.984,Station
36,S2,6,extrapolated,0,75.84,68.653,83.026,0.97,0.95,0.991,Station
37,S2,7,extrapolated,0,77.486,69.411,85.562,0.977,0.958,0.996,Station
38,S2,8,extrapolated,0,78.767,69.862,87.673,0.982,0.965,0.999,Station
39,S2,9,extrapolated,0,79.763,70.1,89.427,0.986,0.971,1,Station
40,S2,10,extrapolated,0,80.538,70.193,90.883,0.989,0.976,1,Station
41,S2,11,extrapolated,0,81.141,70.19,92.092,0.992,0.98,1,Station
42,S2,12,extrapolated,0,81.609,70.124,93.095,0.993,0.983,1,Station
43,S2,13,extrapolated,0,81.974,70.018,93.93,0.995,0.986,1,Station
44,S2,14,extrapolated,0,82.258,69.889,94.626,0.996,0.988,1,Station
45,S2,15,extrapolated,0,82.478,69.749,95.207,0.997,0.99,1,Station
46,S2,16,extrapolated,0,82.65,69.606,95.694,0.998,0.991,1,Station
47,S2,17,extrapolated,0,82.783,69.464,96.102,0.998,0.993,1,Station
48,S2,18,extrapolated,0,82.887,69.328,96.446,0.999,0.994,1,Station
49,S2,19,extrapolated,0,82.968,69.199,96.736,0.999,0.995,1,Station
50,S2,20,extrapolated,0,83.03,69.078,96.982,0.999,0.995,1,Station
51,S2,21,extrapolated,0,83.079,68.967,97.191,0.999,0.996,1,Station
52,S2,22,extrapolated,0,83.117,68.865,97.369,0.999,0.996,1,Station
53,S2,23,extrapolated,0,83.147,68.771,97.522,1,0.997,1,Station
54,S2,24,extrapolated,0,83.17,68.687,97.653,1,0.997,1,Station
55,S2,25,extrapolated,0,83.187,68.61,97.765,1,0.998,1,Station
56,S2,26,extrapolated,0,83.201,68.541,97.862,1,0.998,1,Station
57,S2,27,extrapolated,0,83.212,68.478,97.946,1,0.998,1,Station
58,S2,28,extrapolated,0,83.221,68.422,98.019,1,0.998,1,Station
59,S2,29,extrapolated,0,83.227,68.372,98.083,1,0.999,1,Station
60,S2,30,extrapolated,0,83.232,68.327,98.138,1,0.999,1,Station
61,S3,1,interpolated,0,66,63.614,68.386,0.846,0.821,0.871,Station
62,S3,2,interpolated,0,76.167,73.113,79.22,0.923,0.903,0.943,Station
63,S3,3,interpolated,0,81.25,77.686,84.814,0.943,0.921,0.966,Station
64,S3,4,observed,0,85,80.999,89.001,0.958,0.935,0.982,Station
65,S3,5,extrapolated,0,87.766,83.077,92.455,0.969,0.947,0.991,Station
