sum.taxonomy	X12S_LA11.1.R1.S25.L001	X12S_LA11.1.R2.S26.L001	X12S_LA11.1.R3.S27.L001	X12S_LA11.2.R1.S28.L001	X12S_LA11.2.R2.S29.L001	X12S_LA11.2.R3.S30.L001	X12S_LA11.3.R1.S31.L001	X12S_LA11.3.R2.S32.L001	X12S_LA11.3.R3.S33.L001	X12S_LA11.4.R1.S34.L001	X12S_LA11.4.R2.S35.L001	X12S_LA11.4.R3.S36.L001	X12S_LA11.Blank.S90.L001	X12S_LA14.1.R1.S37.L001	X12S_LA14.1.R2.S38.L001	X12S_LA14.1.R3.S39.L001	X12S_LA14.2.R1.S40.L001	X12S_LA14.2.R2.S41.L001	X12S_LA14.2.R3.S42.L001	X12S_LA14.3.R1.S43.L001	X12S_LA14.3.R2.S44.L001	X12S_LA14.3.R3.S45.L001	X12S_LA14.4.R1.S46.L001	X12S_LA14.4.R2.S47.L001	X12S_LA14.4.R3.S48.L001	X12S_LA14.Blank.S91.L001	X12S_LA3.1.R1.S1.L001	X12S_LA3.1.R2.S2.L001	X12S_LA3.1.R3.S3.L001	X12S_LA3.2.R1.S4.L001	X12S_LA3.2.R2.S5.L001	X12S_LA3.2.R3.S6.L001	X12S_LA3.3.R1.S7.L001	X12S_LA3.3.R2.S8.L001	X12S_LA3.3.R3.S9.L001	X12S_LA3.4.R1.S10.L001	X12S_LA3.4.R2.S11.L001	X12S_LA3.4.R3.S12.L001	X12S_LA3.Blank.S88.L001	X12S_LA3.LA11.ext.S95.L001	X12S_LA6.1.R1.S13.L001	X12S_LA6.1.R2.S14.L001	X12S_LA6.1.R3.S15.L001	X12S_LA6.2.R1.S16.L001	X12S_LA6.2.R2.S17.L001	X12S_LA6.2.R3.S18.L001	X12S_LA6.3.R1.S19.L001	X12S_LA6.3.R2.S20.L001	X12S_LA6.3.R3.S21.L001	X12S_LA6.4.R1.S22.L001	X12S_LA6.4.R2.S23.L001	X12S_LA6.4.R3.S24.L001	X12S_LA6.Blank.S89.L001	X12S_LA6.LA14.LB2.ext.S97.L001	X12S_LB1.0.R1.S85.L001	X12S_LB1.0.R2.S86.L001	X12S_LB1.0.R3.S87.L001	X12S_LB1.1.R1.S49.L001	X12S_LB1.1.R2.S50.L001	X12S_LB1.1.R3.S51.L001	X12S_LB1.2.R1.S52.L001	X12S_LB1.2.R2.S53.L001	X12S_LB1.2.R3.S54.L001	X12S_LB1.3.R1.S55.L001	X12S_LB1.3.R2.S56.L001	X12S_LB1.3.R3.S57.L001	X12S_LB14.1.R1.S73.L001	X12S_LB14.1.R2.S74.L001	X12S_LB14.1.R3.S75.L001	X12S_LB14.2.R1.S76.L001	X12S_LB14.2.R2.S77.L001	X12S_LB14.2.R3.S78.L001	X12S_LB14.3.R1.S79.L001	X12S_LB14.3.R2.S80.L001	X12S_LB14.3.R3.S81.L001	X12S_LB14.4.R1.S82.L001	X12S_LB14.4.R2.S83.L001	X12S_LB14.4.R3.S84.L001	X12S_LB14.Blank.S94.L001	X12S_LB1.4.R1.S58.L001	X12S_LB1.4.R2.S59.L001	X12S_LB1.4.R3.S60.L001	X12S_LB1.Blank.S92.L001	X12S_LB1.LB14.ext.S98.L001	X12S_LB2.1.R1.S61.L001	X12S_LB2.1.R2.S62.L001	X12S_LB2.1.R3.S63.L001	X12S_LB2.2.R1.S64.L001	X12S_LB2.2.R2.S65.L001	X12S_LB2.2.R3.S66.L001	X12S_LB2.3.R1.S67.L001	X12S_LB2.3.R2.S68.L001	X12S_LB2.3.R3.S69.L001	X12S_LB2.4.R1.S70.L001	X12S_LB2.4.R2.S71.L001	X12S_LB2.4.R3.S72.L001	X12S_LB2.Blank.S93.L001	X12S_PCR.neg1.S96.L001	X12S_PCR.neg2.S99.L001
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula glossodonta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	20	116	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Menidia;Menidia menidia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;	270	1084	6853	326	3895	6079	8769	4735	1660	2190	3665	16462	6	12282	8140	4434	1934	4858	17256	3492	2590	5962	5708	732	819	5	7930	12208	6064	42075	17497	28809	68953	39991	26611	51237	55734	47756	4	6	85	3170	2947	179	5502	3684	793	2740	664	1565	2819	7771	5	0	701	24650	332	488	627	3	1	6536	756	3837	2	472	7981	4116	1844	595	797	352	8758	120	442	1669	1003	303	8	1	131	107	8	0	8550	4213	6087	2341	2050	3090	4593	2013	3546	2906	2093	3140	2	8	1665
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes bonariensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes incisa	0	7388	107	236	52	19	1	394	212	174	703	0	0	241	105	324	0	12	2	128	133	1348	131	80	1346	0	54845	68048	19086	910	13199	13150	4047	14746	5800	2070	4408	5662	0	0	0	0	0	0	178	0	0	0	225	468	16	1	0	0	0	0	259	0	286	0	0	0	0	0	0	8	2	1	0	0	0	1	0	3811	11	1	0	0	1	0	0	0	0	0	1	553	107	60	0	81	225	83	1	0	0	0	0	1	175
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes smitti	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes sp. TJX-2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus intermedius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
