sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;;;,151598,485169,90008,176171,82536,381158,69532
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,51,0,0,0,2575,0,46
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,7297,25644,12096,14107,0,7431,453
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,8435,30146,31496,13136,1475,15034,9241
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,2555,10689,18462,5259,1410,12041,368
Eukaryota;Chordata;Actinopteri;;Opistognathidae;Opistognathus;,466,1358,1311,2559,248,196,201
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,2296,6139,50549,5959,4778,11677,5222
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,39146,13944,36469,16033,26944,140407,6710
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula glossodonta,0,17,679,0,0,0,20
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;,80732,84824,462147,37540,50668,29638,93506
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes incisa,12962,5067,234844,893,1462,3921,4218
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus intermedius,409,15,24,5,3047,161,37
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,1403,0,103,92,1324,288,216
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster,7,0,53,2,0,31,318
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;;,540,3041,6037,379,5811,1159,212
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Parablennius;Parablennius yatabei,2220,1813,3812,704,7023,2957,2063
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox maeandricus,1016,609,49,8376,43,475,5394
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus nudus,0,0,83,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus marmoratus,888,604,627,2079,190,561,12682
Eukaryota;Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Helcogramma;,0,0,296,0,0,0,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;,2402,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola lalandi,8041,41,2587,11,0,6812,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,15745,11303,24403,5925,16604,1312,2969
Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,10,0,2348,47,0,0,0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,1040,675,685,0,2069,4712,8346
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens,2556,0,7015,1738,6236,5253,9031
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea,984,0,222,0,2676,0,988
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,682,0,11045,226,582,100,1185
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus,68080,21957,124238,69772,14792,14883,6720
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,521,1414,519,5880,99,415,0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,321966,290459,328117,796386,492874,1558663,255986
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;,594,51849,1561,354,142,0,11551
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Acanthogobius;Acanthogobius flavimanus,0,593,0,26,0,0,177
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Clevelandia;Clevelandia ios,99,6458,595,820,0,0,103
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gymnogobius;Gymnogobius urotaenia,4146,23625,8524,20404,157,13995,5652
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus,3,474,0,1878,0,5978,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Luciogobius;Luciogobius guttatus,170,2711,1048,0,0,0,552
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus,58,49074,2,8778,3,144,0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica,202923,32446,32703,82441,61667,85810,120284
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher,17701,151,1955,8645,5352,14470,411
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Pomadasys;,6947,4095,11638,2560,7355,13996,43825
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Malacanthus;Malacanthus brevirostris,7631,3016,10770,209,0,0,0
Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus iyonis,1405,2,663,541,28,112,259
Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus jacksoniensis,344,0,491,227,0,0,860
Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Chromis;Chromis punctipinnis,1808,71,307,165,111,246,0
Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Equetus;Equetus lanceolatus,1147,4097,17048,329,3891,3575,12866
Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena helleri,640,0,259,5504,230,300,17
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus burchami,4597,0,0,467,0,853,0
Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus filamentosus,2170,0,75,0,0,0,19
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;,2738,107,125,0,55,380,5
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo,3951,0,10117,0,0,71,0
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;,5356,235,142,4979,0,5979,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus,1452,0,594,106,0,1673,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus,8371,467,1680,170,3874,3835,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys xanthostigma,2261,0,14,0,0,0,122
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;,8075,6504,29445,9439,3545,12181,1500
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis,1306,625,1329,778,337,1899,228
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossus;,0,0,0,293,0,0,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hypsopsetta;Hypsopsetta guttulata,66,1601,298,649,39,3770,95
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;,10172,7582,760,7196,47,5541,4008
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys decurrens,91,0,400,12,71,578,0
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis,7630,237,205,311,2356,3313,1359
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;;,0,0,793,473,0,0,0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Katsuwonus;Katsuwonus pelamis,30478,2291,14925,1781,0,0,0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis,32853,173,52799,1235,329,0,0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus,44033,8605,122388,10505,19558,39316,31576
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;,38486,2749,90807,5111,0,0,245
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga,2018,767,35393,3883,0,0,0
Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus medius,909,3123,755,2197,3780,1165,513
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus leptorhynchus,0,40,347,0,0,0,66
Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;,145,0,389,0,0,15,940
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba livia,0,241,233,112,0,0,106
Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina dumeril,2621,0,97,300,0,1436,940
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;;,503,0,0,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Triakis;Triakis semifasciata,69,0,75,0,0,1156,1976
Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci,2148,250,5024,111,0,3549,1430
Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus,2099,0,2,0,9919,917,577
Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias,709,0,0,0,775,73,0
Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus,0,731,0,0,0,0,0
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;;;,0,0,332,0,0,0,632
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis aquila,194,83,2133,800,0,0,0
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica,25946,82496,53801,54149,27162,15849,29740
Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Urotrygonidae;Urobatis;Urobatis jamaicensis,1379,8431,8814,134,3422,1707,56590
