12S_elas_LA11_1_1,12S_elas_LA11_1_2,12S_elas_LA11_1_3,12S_elas_LA11_2_1,12S_elas_LA11_2_2,12S_elas_LA11_2_3,12S_elas_LA11_3_1,12S_elas_LA11_3_2,12S_elas_LA11_3_3,12S_elas_LA11_4_1,12S_elas_LA11_4_2,12S_elas_LA14_1_1,12S_elas_LA14_1_2,12S_elas_LA14_1_3,12S_elas_LA14_2_1,12S_elas_LA14_2_2,12S_elas_LA14_2_3,12S_elas_LA14_3_1,12S_elas_LA14_3_2,12S_elas_LA14_3_3,12S_elas_LA14_4_1,12S_elas_LA14_4_2,12S_elas_LA3_1_1,12S_elas_LA3_1_2,12S_elas_LA3_1_3,12S_elas_LA3_2_1,12S_elas_LA3_2_2,12S_elas_LA3_2_3,12S_elas_LA3_3_1,12S_elas_LA3_3_2,12S_elas_LA3_3_3,12S_elas_LA3_4_1,12S_elas_LA3_4_2,12S_elas_LA6_1_1,12S_elas_LA6_1_2,12S_elas_LA6_1_3,12S_elas_LA6_2_1,12S_elas_LA6_2_2,12S_elas_LA6_2_3,12S_elas_LA6_3_1,12S_elas_LA6_3_2,12S_elas_LA6_3_3,12S_elas_LA6_4_1,12S_elas_LA6_4_2,12S_elas_LB1_0_1,12S_elas_LB1_0_2,12S_elas_LB1_1_1,12S_elas_LB1_1_2,12S_elas_LB1_2_1,12S_elas_LB1_2_2,12S_elas_LB1_2_3,12S_elas_LB1_3_1,12S_elas_LB1_3_2,12S_elas_LB1_3_3,12S_elas_LB1_4_1,12S_elas_LB1_4_2,12S_elas_LB14_1_1,12S_elas_LB14_1_2,12S_elas_LB14_1_3,12S_elas_LB14_2_1,12S_elas_LB14_2_2,12S_elas_LB14_2_3,12S_elas_LB14_3_1,12S_elas_LB14_3_2,12S_elas_LB14_3_3,12S_elas_LB14_4_1,12S_elas_LB14_4_2,12S_elas_LB2_1_1,12S_elas_LB2_1_2,12S_elas_LB2_1_3,12S_elas_LB2_2_1,12S_elas_LB2_2_2,12S_elas_LB2_2_3,12S_elas_LB2_3_1,12S_elas_LB2_3_2,12S_elas_LB2_3_3,12S_elas_LB2_4_1,12S_elas_LB2_4_2,12S_miu_LA11_1_1,12S_miu_LA11_1_2,12S_miu_LA11_1_3,12S_miu_LA11_2_1,12S_miu_LA11_2_2,12S_miu_LA11_2_3,12S_miu_LA11_3_1,12S_miu_LA11_3_2,12S_miu_LA11_3_3,12S_miu_LA11_4_1,12S_miu_LA11_4_2,12S_miu_LA11_4_3,12S_miu_LA14_1_1,12S_miu_LA14_1_2,12S_miu_LA14_1_3,12S_miu_LA14_2_1,12S_miu_LA14_2_2,12S_miu_LA14_2_3,12S_miu_LA14_3_1,12S_miu_LA14_3_2,12S_miu_LA14_3_3,12S_miu_LA14_4_1,12S_miu_LA14_4_2,12S_miu_LA14_4_3,12S_miu_LA3_1_1,12S_miu_LA3_1_2,12S_miu_LA3_1_3,12S_miu_LA3_2_1,12S_miu_LA3_2_2,12S_miu_LA3_2_3,12S_miu_LA3_3_1,12S_miu_LA3_3_2,12S_miu_LA3_3_3,12S_miu_LA3_4_1,12S_miu_LA3_4_2,12S_miu_LA3_4_3,12S_miu_LA6_1_1,12S_miu_LA6_1_2,12S_miu_LA6_1_3,12S_miu_LA6_2_1,12S_miu_LA6_2_2,12S_miu_LA6_2_3,12S_miu_LA6_3_1,12S_miu_LA6_3_2,12S_miu_LA6_3_3,12S_miu_LA6_4_1,12S_miu_LA6_4_2,12S_miu_LA6_4_3,12S_miu_LB1_0_1,12S_miu_LB1_0_2,12S_miu_LB1_0_3,12S_miu_LB1_1_1,12S_miu_LB1_1_2,12S_miu_LB1_2_1,12S_miu_LB1_2_2,12S_miu_LB1_2_3,12S_miu_LB1_3_1,12S_miu_LB1_3_2,12S_miu_LB1_3_3,12S_miu_LB1_4_1,12S_miu_LB1_4_2,12S_miu_LB1_4_3,12S_miu_LB14_1_1,12S_miu_LB14_1_2,12S_miu_LB14_1_3,12S_miu_LB14_2_1,12S_miu_LB14_2_2,12S_miu_LB14_2_3,12S_miu_LB14_3_1,12S_miu_LB14_3_2,12S_miu_LB14_3_3,12S_miu_LB14_4_1,12S_miu_LB14_4_2,12S_miu_LB14_4_3,12S_miu_LB2_1_1,12S_miu_LB2_1_2,12S_miu_LB2_1_3,12S_miu_LB2_2_1,12S_miu_LB2_2_2,12S_miu_LB2_2_3,12S_miu_LB2_3_1,12S_miu_LB2_3_2,12S_miu_LB2_3_3,12S_miu_LB2_4_1,12S_miu_LB2_4_2,12S_miu_LB2_4_3,sum.taxonomy
0.1362106141039114,0.26869469974892574,0.07988853174652034,0.4132398889445429,0.13222845116204623,0.08641081510929657,0.1938982011220526,0.17598403785223804,0.44851511490402113,0.2828789208999663,0.5321089315505576,0.1681035771933491,0.20688495474048743,0.44117791516440646,0.2132357536625573,0.15470132922904042,0.22212729310982546,0.2529242250562997,0.239057234969959,0.09296148373303345,0.2603140859296542,0.24786764019588303,0.13388519308949431,0.22359712086933634,0.12331329674810852,0.08638306561088512,0.26531141292681704,0.14528623795384213,0.04193955689842759,0.053039682258603796,0.012705131476950538,0.022302734140350316,0.07849360785553784,0.3736106576800356,0.45630328007325416,0.5239352204530819,0.46272382922085414,0.3460174799036693,0.5990940931458681,0.4513680250895726,0.880941950332569,0.4352053452278449,0.18353014009231297,0.32861931728618027,0.1260109846101924,0.2190539271533769,0.7062581858977716,0.7873289546451421,0.8308655773015318,0.3366036018482995,0.8277636018822482,0.9474660321004361,0.5459899499375511,0.7179475091162973,0.15050410366459036,1,0.7564650209343482,0.891506005477978,0.9959387800343071,0.5288482476335952,0.8300945306775511,0.9274112277103987,0.40707830175098497,0.832188920551071,0.6744715762040034,0.7136030976308909,0.6291858697317358,0.3045279832708469,0.6838847522978057,0.06932398122368458,0.3976190097683727,0.0897320196979969,0.29613226601033227,0.0819574396297949,0.4223217262180669,0.4541480588055332,0.41873655618068906,0.15416533802216476,0.27385419500703106,0.36540721156453904,0.253426242695064,0.25559745577034604,0.3641629124538588,0.5016262117028585,0.2951533213429701,0.3849450648529173,0.37795224823790585,0.46873635008087083,0.4704845196601227,0.3059285664451707,0.22304947896264576,0.11317533841157273,0.21661787405036012,0.31328061504297056,0.4395070769852777,0.20681108307736296,0.2976362344786626,0.3206230305693223,0.3451591660246019,0.18612235019284343,0.2805312158906911,0.468326190859364,0.20275246115858833,0.35699338396922475,0.3849650049154399,0.3214154172294987,0.23466938954512248,0.2967924950177492,0.2762562276327356,0.25380078284055607,0.209150266269163,0.10343566129927381,0.02896425053570285,0.08022118917997681,0.7570906114988448,0.8884450708080773,0.7436689224231695,0.8846276449938545,0.8001222933161055,0.7830315086921034,0.9271296050282744,0.806951238788208,0.7384435529787758,0.5188016773828446,0.5919713347150563,0.4042072872918559,0.6807258845415111,0.2914693574884337,0.3315820189516686,1,0.9885113455643755,0.7378794364917913,0.6469112955823367,0.8153302255766431,0.6954759624875724,0.9284574480216324,0.9274766703347139,0.2716594932399572,0.9801271018116491,0.7405875653118207,0.6585256122042312,0.7147965289665936,0.818488523368759,0.9994877985089949,0.7840714839018605,0.823306192419044,0.8072515210308775,0.739222047707106,0.8239658438322692,0.6734060872207958,0.6526477294865182,0.8268881872788814,0.4213058782123645,0.2957903661819844,0.5560040853831235,0.3682874323252367,0.6476685153244949,0.3198647236440192,0.4839680205174075,0.5638498692185148,0.47342685792236033,0.6430976551531469,0.36205217353380204,0.3307877072114636,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0.0024487824544696486,0.014251090515556836,0.0029083179073021454,8.610324096867001e-4,0.008587950687091539,0.1327029533073091,0.14341740342035705,0.15314458644323453,0.01662604472874679,0.021001592891882494,0.03897426680048506,0.007023930626175501,0,0,9.535151653757655e-4,0,0.013995565121967585,0.01786346906598689,0.0013138605376993827,0.057419258426930714,0.02760127261126733,0.001117911184555563,0.06289206437274406,0.10652142091818628,0.03416033065593235,0.03717915915061911,0.13090358093623544,0.033697059287546655,0.04359221565753795,0.14110693973075703,0.05343071186084323,0.04401354854899789,0.26063643816286086,0.006928766326899778,4.6637250305860806e-4,0.01465701786922201,0.03289172443295988,0.02541442067729953,0.0017048869827608994,0.03866854072342132,0.013379572086876316,0.008054566204899567,0.0623643541239316,2.3771704792261035e-4,0.025003724476045947,9.872342902354613e-4,0.16523729764972783,0.136059831185483,0,0.013702549839227616,0,0.023173601580497985,0,0.030827581713052173,1,0,0.012797261688037773,0.10049638171174545,0.014873412311283352,0.009329753603937384,0.02038099371442315,0.017716435943948797,0.02760130295349496,0.09339158799610578,0.01842853896472514,0.04090658138526776,0.05910809260351969,0.04473425809217716,0.22136006337995365,0.05524684918653325,0.1916393976048626,0.05604004970764265,0.03479642342742756,0.004185534338612858,0,0.07939073963203427,0,0.010170960013206495,0.037804491671277,0.05134674277240759,0.2556784052444847,0.5946690350933168,0.23744645204454504,0.3217140219019264,0.3898478366274195,0.2274707141205913,0.24206847775809873,0.2704677511295922,0.6241654677609016,0.360537431138616,0.0035417680597644636,0.05417432596885003,0.018996454689114546,0.35661100306969273,0.20402130023317674,0.022184688077191702,0.005012764780055432,0.00442992778341723,0.051751003905864755,0.09879132625178445,0.0185371421949894,0.010860984383727235,0.4601214224534312,0.14446327833609496,0.12299793122568324,0.2547780247068034,0.14381377070745757,0.5050280069674854,0.3543037910958511,0.3346535356269024,0.19039004542892013,0.5426952188589582,1,0.6292524461385903,0.08898930101889575,0.012502277946612154,0.009307406108938335,0.025510544119413763,0.17847965806249702,0.04500307169930696,0.00867663802131998,0.0361572953998154,0.0054516660376790205,0.014604849519272576,0.024599243830498732,0.05349628500913575,0.35787631300231576,0.2664861687522666,0.21704769162521892,0,0.006214086159440834,0,0,0,0.071375215442038,0,0.07967327291131115,0,0,0.10404211024303998,0.06170841025060457,0.15073878525694165,0.04660363370346893,0.11711331349437859,0.05443892185188703,0.05707955118497373,0.03247961850747163,0.1416619963169059,0.25058663345594717,0.16694002026503074,0.09296524554920912,0.0442427979181029,0.7675514324277265,0.5760479439815817,0.12284158074243534,0.8023353911064005,0.1642225609980459,0.03433806537500587,0.26196132861694643,0.059347570169796054,0.49278352389168795,0.3630449705070104,0.32761181475203627,0.042498583342352396,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,0.0058326259759002,0,0,0,0,0,0,0,0,0.015981334874043938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1004284334700977,0,0,0.030518823237758057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06669516476379861,1,0,0.019690113205336614,0.1028756503397489,0.018759578554800857,0.5871388238675908,0.38250906315680633,0,0.010422195282582702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6017122482428161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003325546797591122,0,0.007764438964868574,0.012798863859669768,1,0,0,0.12660542348859724,0.008293784282488685,0.09286126104682436,0.032160144534782366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09075201320117225,0.04108198669257903,0.8847281496933561,0.3844371953726518,0,0.26748845272971244,0.44642747809756134,0.22148616750070815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
0,0,0,1,0,0,0.06294630135608563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9081112321872573,0,0.18813692849961616,0.00735512612883937,0,0,0,0,0.049791605690872494,0.15613292055016953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007771960234183737,0,0.005139170715118623,0.2412775592113714,0.07412199832006786,0,0,0.3296648248653466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011289364326508806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015475298971345613,0,0,0.8616549522162057,0.2448544354688558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06599115917867705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
0.026638633415065487,0.004035561869224024,0.001967404857004331,0,0.006898443105401333,0.004335182868029607,0,6.456970874653509e-4,0.010913207996696189,0.17039416573022972,1,0,0,0,0,0,0,0,0,2.1003063558398173e-4,0,0,0.025933314522259086,0,0,0.006290419416387061,0,0,0,0,0,0,0,0,0.007174957447202184,0.0024442898370049134,0,0,0.030944848619796888,0.0012038766631538283,0,0,0.002672489243387222,0,0,0.1937584488197762,0,0,0,0.0036694416555319532,0.15650481712413833,0,0,0,0,0,0.015777436816774435,0.04943542386262149,0.01997890380375994,0,0.008202237147903512,0,0.00955636913711302,0,0.02127164510337282,5.326652142235124e-4,0.07825896886940664,0,0.04367072488428204,0,0,0,0,0,0.003199058141856579,0.07131434434466798,0,0,0.11682273061925666,0.017142818729729073,0.059021033124319104,0,0.08910826448289429,0.03246219207539535,0.024921339883253204,1,0,0,0,0.7571518628024717,0.020301355105450506,0,0,0,0,0,0,0.20963810953007259,0.017424765347088294,0,0,0,0,0,0.022938517386495577,0,0,0,0,0,0,0,0,0.02289374392419966,0,0,0,0,0,0,0.022377593029678965,0.021176866607301607,0.124546884900435,0.004107217291834994,0.00940631144827126,0.01777811528300072,0,0.030088237029212886,0,0,0,0,0,0.268368304528344,0,0,0,0,0,0,0,0.21634810834451987,0.005757868888574221,0,0.02379744641708521,0.019866130396868444,0.014893810275167356,0.014942891955678664,0.004049854661467565,0.012774853980029269,0.041439170241610486,0.43390841461186064,0,0.3829425381399479,0.1225312889170717,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis
0.33981754154979965,0.653056290961542,0.16005119398814918,0.2348108203255242,0.200985833531189,0.3007430670593908,0.15843504426560742,0.11785072852616985,0.35269372558512857,0.015595146279856741,1,0.1722122271973577,0.17483585647990785,0.43951614189174104,0.003352204917279946,0.023790566583989488,0.005380440977036463,0,0.01097284519955061,0.31033557615083124,0.07584800804712505,0,0.10559289497214985,0.15496654015159608,0.5082532016372876,0.28039225072851787,0.15949426502125238,0.4055814834682994,0.4096859285225289,0.16334394622860035,0.037411896796414955,0.06715374667806996,0.22772415404195545,0.12098595144002855,0.08246185198293023,0.17237709520079814,0.11615545428793964,0.0166891081374048,0.31731612120091585,0.8271151478932655,0.0328013641824847,0.2689761860606064,0.0821027157476661,0.12068849106929164,0,0.609144259458091,0.3369006180566986,0,0,0,0,0.021878071214822936,0.08049753678022815,0.0017600232285877545,0.1389019844013432,0,0.007939485103513421,0.005930887745869534,0,0.033043021069862545,0,0.008793092315729539,0.010349662040635846,0.005267327991109815,0.039828623021581945,0.002412418965349257,0.30724314515307566,0.13408925423859205,0,0,0,0.0018521513563792083,0,0,0,0,1.9700757422476498e-4,0,0.18543609576293632,0.21836763533163464,0.298740863634654,0.07366258009420132,0.2723332519758892,0.10812722686173276,0.049532285195861156,0.20948979267179782,0.1370050123998307,0.22280759005638998,0.09274539441195524,0.02701342608883169,0.0012963158851104282,0.07641435345005278,0.0026183226382505945,0.005819741525298126,0.0026126002457819266,0.008518056232298085,0.006870383521508973,0.008840306564020949,0.21159604098140705,0.0022410692380349768,0.023545874181713736,0.015165652991008909,0.21901032097350112,0.05459357700509369,0.22671592916409455,0.16675479129036797,0.2094400019314987,0.35282330188771327,0.07424837556938116,0.16315641792921376,0.37274632566711857,0.12948363105318192,0.1744619211246341,0.06919572801605123,0.062210480483724705,0.06642229509754165,0.06634093402356643,0.16931827560851165,0.007491703716972885,0.0587101102952477,0.04386463263117275,0.07843935330420411,0.19342791622423683,0.3966695634068501,0.28072450642491525,0.3902242369085131,0,2.7517819773884814e-4,1,2.517324233925667e-4,0,0,0,0.004878155498726822,0,0.0012913509653385616,0,0.25802403913255867,0,0,0.06079253063440821,0.001995862100312723,5.308105961450594e-4,0.027385376357689565,0.0017974872738302698,0.004298261704040446,0.0012779389574875016,0.005121720372367023,0.021534348912889686,0.007183687763462659,0.008962367491020563,0.005563390405762663,0,0.003909522109044471,0,0,0.1898057902581535,0,0.2910815855417964,0.026648262367105584,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
0,0,0,0,0,0,0,0,0.39000614338664424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5315307626640294,0.07487281535245245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03532931275512656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;
0,0,0,0,0,0,0.037369541792317766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25111950237168895,0.06911606125026958,0,0.022034808967154547,0,0,0,0,0,0,0,0,0,0,0,0,0.04628514895201782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10043472615833701,0,0,0,0,1,0.03382981715415881,0.03658931418482227,0.06465653365284649,0,0,0,0.6844864089683003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0.3107685833776979,0.09244203997790519,0.002657455374339315,0,0,0,0,0.2773235158714612,0.03918561862690956,0.39587051015683006,0.010694878061393511,0,0,0,0,0,0,0,0,0,0.3376600879202476,0.05367505814658227,0.04766366477052594,0.41988473100312335,0.010887646871822294,0.28740455042116764,0.3287356011702098,0.09999622869701481,1,0,0,0,0,0,0.06367952807885514,0,0,0,0,0,0.005834322039552348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Malacanthus;Malacanthus brevirostris
