LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
0.23196416373962558,0.33278692762321177,0.14769042579075703,0.33690922009552493,0.25129501143716493,0.3567551490876671,0.2672537104236925,0.29057522924147566,0.40452439878243424,0.432238530535774,0.4933606742118431,0.3220157419553093,0.21791045319163385,0.15820708130344943,0.3001279411661212,0.2409354095935452,0.32965763985931246,0.21302393687996657,0.2978672409911503,0.30396723405070236,0.28077255324001105,0.21373835675209724,0.2631529770172772,0.4929530039611719,0.20014669721177708,0.34016079896476803,0.3126620146476776,0.25728540133115296,0.24636837879954843,0.2743419395704186,0.25750107932814614,0.23193356833321588,0.17408227805410703,0.10037749684127027,0.03280584700993796,0.08443959991868634,0.7007626247167106,0.7756813382856393,0.7054737421610172,0.8024110960923402,0.7028768415874901,0.782585242762829,0.8762359665565148,0.8419071076513366,0.6353982442407037,0.4361824123946881,0.53372207151403706,0.4254624242301925,0.40656050683930983,0.26965550399468524,0.349018174708106,0.825057221339928,0.8445403764108812,0,0.7750452874935713,0.48523955547372993,0.7928518576807835,0.7616547636326025,0.7795192474921201,0.8775980526643641,0.24287577339932082,1,0.779531173233877,0.69335402746345,0.7662604800398487,0.874590361435277,0.9534342404155974,0.8135206498665624,0.8641021650543771,0.7791611134624952,0.7755801428571373,0.7697370800436885,0.6966197918020595,0.6533324166283453,0.8703698913596273,0.3993665197754786,0.5401303749352943,0.30785686756683156,0.3754846276640551,0.33975145609719887,0.29208027252894103,0.31805548773747944,0.45705802146537805,0.4524180441282202,0.4698330973200987,0.20172701386328232,0.34818209428796726,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0.027564627683069304,0.04817221976792507,0.1047555229572369,0.2366351441500008,0.13196325698531045,0.350108368267184,0.40346344020204794,0.3334015672270022,0.1571468726368631,0.21842514911176014,0.4585271535975555,0.3655470797470971,0.007169803772856056,0.02480445198262789,0.01145631596582899,0.12291074628190012,0.12097482887318323,0.028997652865452285,0.014131770646615907,0.004308431222281699,0.08687321951316819,0.092285210290036,0.01137250893089295,0.011011897189459616,0.42500383508695955,0.18116542532418461,0.11689913799955547,0.21155123509138082,0.1992131361674284,0.424023241702893,0.3286756773673548,0.3512641207443493,0.18497486405586627,0.509719397722471,1,0.6379958757215495,0.07538878712417865,0.009175419808855757,0.018053601934001934,0.043828691105955483,0.1526335216781041,0.039430867204941114,0.027376437356035246,0.03715145535505678,0.012333166209851958,0.06373689601358062,0.018183876903210175,0.05423961307054829,0.21338833428428594,0.17582919849892864,0.22006355786382384,0.27359632323551836,0.24965441617687775,0,0,0.021168474714264238,0,0.07142182857354441,0,0.08376561958343527,0.855918038354104,0,0.10548776988275181,0.06088900139045231,0.1817225040963472,0.04637952951001759,0.10279809572530148,0.05606338534729963,0.05673979176049262,0.04004970725330807,0.17028006378700888,0.17492086593777675,0.15769893962480946,0.11885167258395193,0.0448575492639639,0.6033881147495473,0.6305028288768207,0.14440782923469703,0.6724587972335887,0.16519231963617567,0.08148924818960036,0.15389716621431096,0.020094912779205797,0.3471633622927767,0.10666002226425089,0.10545634397846575,0.043089098918588295,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,0.002676887129798939,0,0,0,0,0,0,0,0,0,0.006484774287762413,0,0.3704359496750131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04515771057230145,0,0.006827790558510081,0.02217044005777223,1,0,0,0.09313704952480988,0.00693500232510792,0.07903471928646258,0.0379481918284929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060921802125212705,0.3637704370338949,0.03696201061248727,0.8665606323093843,0.3935415731882215,0.004868537599039808,0.38781013046935897,0.5258633187044094,0.1579590696562587,0.0033307730535645807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
0,0.5986504272967106,0,0.13236650300190725,0.003857994104281054,0,0.0018529496351266518,0,0,0.03888803979735751,0.10975295676898372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007018647904293836,0,0.003715177607458209,0.17548474171751538,0.06085339114092236,0,0,0.2927553693772752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915574314531555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018558799417646016,0,0,0,0.9641180666318084,0.3521104595753165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055403789415724596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
0.03955958484316839,0.006230621749583968,0.007213604823654293,0,0.017385098324159513,0.008120000467829314,0.0026648490143295705,0.08509380073764347,0.014572741821960692,0.13301195913414357,1,0.1205428885657857,0.002551280952350075,0,0,0,0,0,0,0.023854582145525983,0.002135484224726728,0,0,0,0.011348907480922045,0,0.0024934195146044595,0.005859650494156145,0,0,0,0,0,0,0,0.0036448144134440135,0,0.006607793747300833,0.0018700828010914333,0,0,0.014043282747951562,0.003566075721307463,0.002719875453460989,0.012361994298492655,0.002780214534800142,0.0010801602623896724,0.002830377200072381,0,0.20661307040757126,0,0,0,0,0,0.005756228964919959,0.329304269482975,0,0,0,0,0,0,0.0031401392660649367,0.0574196952427949,0.014817921367989604,0,0.007744380187982843,0.0025617074947508877,0.006240887512482654,0.0018913832699197818,0.025427485558508926,0.001928757304529548,0.07708996380156775,0.06908069073054589,0,0.11058577639509257,0.009130505997332805,0,0,0,0,0.006339629232636035,0.12116438773380424,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis
0.16390215086136076,0.2252496430223907,0.15039931668852108,0.0806234968473997,0.17165771525658474,0.1084451495752135,0.052116095435792965,0.13089789720251957,0.1328656056973272,0.16583428919437201,0.18334176312360506,0.02701342608883169,0.01416573948312182,0.06924609173841742,0.06607863120272152,0.0027563406040470163,0.005106456472959052,0.006210468934164506,0.005554845966024854,0.007452526520366022,0.18213034527689334,0.012550563632638742,0.012284740832050051,0.015165652991008909,0.19242486192430378,0.05491844847128724,0.21320974087882258,0.14635208052166093,0.17537742967113956,0.3089770278208054,0.08403836327974518,0.14638710387511666,0.29336965781906316,0.11937024482878214,0.1693548910153418,0.06919572801605123,0.05831107414141145,0.055110278548423486,0.06534108390235263,0.13690409605099366,0.007107288231567942,0.06729027747847743,0.08934074194535539,0.06557626361942719,0.15728704011712474,0.28975978586797,0.21467069668407654,0.3902242369085131,0,0.07808657226790972,1,0.06908347968954917,0,0,0,0,0.0015727211350354175,0.001677891074457819,0.01290020167119459,1.9935048070880771e-4,0.19735342841407297,0,0,0.0569184200218201,0.002027051034658266,4.0473488441676125e-4,0.024696900728255828,0.0014525931727551757,0.004086828756858174,0.0016449424839426372,0.004463094978298296,0.01872386950270276,0.005707006374735601,0.04085211790933862,0.005563390405762663,0.013124401076452732,0.001096868069211444,0,0,0.08185394051166422,0,0.1627347504399654,0.008899367055991491,0,5.069379929627711e-5,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
0,0,0,0,0,0,0,0,0.3065223792643166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19888837388530603,0.04159547704161718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918627511539289,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;
0,0,0,0,0,0,0.02306652392156458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14975720831391928,0.04067788272155784,0,0.008821729766931536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01681630309301783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07469062661062789,0,0,0,0,0,1,0.03559624083235999,0.039259030142484,0.08449109056437874,0,0,0,0.9229803615625358,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0.7262321676984681,0.35270517170633126,0.010039333898146317,0,0,0,0,0.770706870432239,0.06366142738424593,0.8238854734848705,0,0.013949909131794145,0,0,0,0,0,0,0,0,0,1,0,0.048885745971364046,0.061816787185527154,0.8248288081562111,0.02110764741157567,0.39973080818840956,0.43352849214727235,0.08171881810439698,0.9986948376423906,0.04951286517744932,0,0,0,0,0,0.10139619666727712,0,0,0,0,0,0.013604218110613287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Malacanthus;Malacanthus brevirostris
