sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;;;,0.2930417538958226,1,0.11547026668528529,0.5000812063597656,0.32377927850490035,0.7545222528757594,0.17821585778130317
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,0,0.03998992868044464,1,0.08681026905241519,0,0.07269901471189448,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.033574040558828455,0,0,0,1,0,0.03673562681425539
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.5566216209150759,1,0.5316575243136699,0.7284751081081379,0,0.3092281631664568,0.1089891997062203
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.3495291603656062,1,0.6381889048462182,0.5193280409868921,0.2306780510143162,0.6386216606414598,0.4645296990933604
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,0.2836648044514143,1,0.6813741740619692,0.4104615318848838,0.9234704317008497,0.6058617896676346,0.16521036930283967
Eukaryota;Chordata;Actinopteri;;Opistognathidae;Opistognathus;,0.08634548536094618,0.44526766298090303,0.07267604608879746,1,0.16264697168314615,0.04114776544793181,0.04517997268646771
Eukaryota;Chordata;Actinopteri;;Pomacentridae;;,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0.14735316093624323,0.2135545417960621,1,0.4155008680603472,0.7687975315703011,0.43741160418689995,0.2159830011647203
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0.3370116263549986,0.26057881076643497,0.22592933089950598,0.23492609301086134,0.3147289766559757,1,0.115126685249276
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula glossodonta,0,0.1851066181170522,1,0,0,0,0.22393542436018465
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer,1,0,0,0,0,0,0
