LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
0.23065495823426843,0.3326615524080666,0.14756270482779957,0.33617531719559135,0.25129501143716493,0.356504091690857,0.2672537104236925,0.27859745342759096,0.40404270576624696,0.432238530535774,0.4932884948060888,0.3220157419553093,0.21791045319163385,0.15820708130344943,0.3001279411661212,0.24088559586702973,0.32965763985931246,0.21252959428646134,0.28936567491006265,0.3022393990938237,0.28031690111872676,0.21365687108619902,0.26072221997469175,0.49268342291975803,0.20008239381720533,0.3398783057915366,0.31169014956873986,0.2562867397397518,0.24636837879954843,0.2742814644250572,0.257436437221712,0.227435159546856,0.17395884179358578,0.09886058328993748,0.03280584700993796,0.0844362429687419,0.6997298566738833,0.7752679865419841,0.7027602634656798,0.7993464294259518,0.7024384400500786,0.782585242762829,0.8761994493704195,0.8419071076513366,0.6353982442407037,0.43548905778870145,0.53372207151403706,0.42508511397649157,0.4024519735604037,0.26965550399468524,0.3498440686101589,0.825057221339928,0.8428629695034288,0.42190707866240856,0.7628237737770144,0.48523955547372993,0.790679991383682,0.754946221292574,0.7634438704185637,0.8774250678578626,0.24287577339932082,1,0.779531173233877,0.69335402746345,0.765265379637217,0.8739573583624021,0.9528642870702876,0.8080046099286377,0.8640216877404239,0.7783040362376865,0.7755616806194536,0.7695980475435876,0.6935919007624152,0.6503104143067218,0.8699326185346934,0.3993665197754786,0.5186120209536932,0.3077401086154705,0.3754846276640551,0.3396926361346639,0.28739089280970265,0.3172319519686993,0.4548064336956207,0.4524180441282202,0.4697388970840493,0.19940041472432143,0.34818209428796726,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0.027409052952326398,0.048154071211247804,0.10466493159902548,0.23611967230132702,0.13196325698531045,0.34986198837396215,0.40346344020204794,0.31965845072437626,0.15695974782735178,0.21842514911176014,0.45846007038805214,0.3655470797470971,0.007169803772856056,0.02480445198262789,0.01145631596582899,0.1228853343164633,0.12097482887318323,0.028930361014907105,0.013728429273475286,0.004283940891610321,0.08673223719029799,0.09225002745281714,0.01126746050435047,0.011005875116993432,0.42486728929488393,0.18101497296155078,0.1165357737766654,0.21073009214270913,0.1992131361674284,0.42392977124329523,0.32859316785642717,0.34445126644971263,0.18484370420568105,0.5020164734006473,1,0.6379705117901523,0.07527768084170414,0.009170530332224617,0.017984161979976206,0.043661295204630114,0.15253832040441714,0.039430867204941114,0.02737529644137788,0.03715145535505678,0.012333166209851958,0.06363557998348285,0.018183876903210175,0.054191512084414646,0.21123191953669251,0.17582919849892864,0.21981475791146227,0.27359632323551836,0.2491585582476799,0,0,0.021168474714264238,0,0.0707927556866334,0,0.0837491084033442,0.855918038354104,0,0.10548776988275181,0.06088900139045231,0.18148651106042277,0.046345961355150025,0.102736644063439,0.05568325010097036,0.05673450735522225,0.04000565257532943,0.17027601036836557,0.1748892711426946,0.15701349368734024,0.11830192176593635,0.04483501288318948,0.6033881147495473,0.6053841099753007,0.14435306057924024,0.6724587972335887,0.16516372047676758,0.08018092967672158,0.15349868284905616,0.019995919964895397,0.3471633622927767,0.10663863722490045,0.10424007336403755,0.043089098918588295,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,0.0026764954972015318,0,0,0,0,0,0,0,0,0,0.006474250462957703,0,0.3670142145166066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451336465430626,0,0.006801713025146386,0.02215661181015994,1,0,0,0.09313704952480988,0.006923978460623694,0.07903471928646258,0.037914538464362796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060921802125212705,0.36329802834548236,0.03693525858396166,0.8660426111283082,0.3908731823670468,0.004868084172529962,0.3873835393258427,0.5258508008316035,0.15793053855786512,0.0033162956901553555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Asterropteryx;Asterropteryx semipunctata
0,0.5984248898134472,0,0.13207816372647982,0.003857994104281054,0,0.0018529496351266518,0,0,0.03888803979735751,0.10973689974698451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070163929438481374,0,0.0037036295101211883,0.17480359202723553,0.06085339114092236,0,0,0.2870773067521672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009115947272506265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo
0,0,0,0,0,0,0,0.9944623191551032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019249509017585417,0,0,0,1,0.3642146458483979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05745539277204147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
0.039342066389607154,0.006229185744356247,0.007208421184897274,0,0.017387642162256755,0.00811547352917767,0.0026652389427797665,0.0815980946301957,0.014557518915146101,0.13303142183045538,1,0.12056052675146446,0.002551654263191483,0,0,0,0,0,0,0.02372245664539112,0.0021323306144010517,0,0,0,0.01134692136056867,0,0.002486032787584842,0.005837760144646532,0,0,0,0,0,0,0,0.003645202810163338,0,0.00660523888567556,0.001863162445199984,0,0,0.014045337601884424,0.003566448881703768,0.0027202734335396318,0.012363803141414796,0.0027762012742794896,0.0010803183145775496,0.002828280935614508,0,0.20664330263232436,0,0,0,0,0,0.0057570712330661826,0.32845025607025086,0,0,0,0,0,0,0.0031405987403656695,0.05735351834371211,0.014809363219394002,0,0.007692995265442694,0.0025618437141904987,0.0062349347165086754,0.001891614992739949,0.025426612712084233,0.0019206548639038165,0.07674461046458973,0.06905608768064816,0,0.10619566576559007,0.009128378622818165,0,0,0,0,0.006309321618389486,0.12118211685904696,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis
0.1631615548455653,0.22541963718954777,0.15043933715247787,0.0805389273243177,0.17185200808652992,0.1084914926047519,0.052175083659263016,0.12564421768635614,0.13285760058684207,0.1660219907101551,0.1835224271475748,0.02704400155695713,0.014181773144110073,0.06932446875226961,0.06615342308863291,0.0027588898787714714,0.005112236276550403,0.006203070022812512,0.005402410418849992,0.007418551553472446,0.18204058665347433,0.012559978941793571,0.012185042266893438,0.01517451539327583,0.19258076780889552,0.05493494885217172,0.21278758280895682,0.14594901756496725,0.17557593270415728,0.30925856005516805,0.08411236254789979,0.14371036626433592,0.2934934571276709,0.1176993800310605,0.16954657736623635,0.06927129399133099,0.05829103941900946,0.055143254894336365,0.06516343371975537,0.13653557987455628,0.0071108946927778685,0.06736644078066019,0.08943813583344738,0.0656504868946048,0.15746506732721768,0.2896266310761167,0.2149136742694575,0.39031946498101167,0,0.0781749554849645,1,0.06916167264901668,0,0.005392240538431525,0,0,0.0015701881926409912,0.0016649948720555137,0.012648471679479656,1.995367791458912e-4,0.19757680524306456,0,0,0.05698284381358221,0.002026709977130346,4.0489972151413724e-4,0.024710073941791155,0.0014443769174118757,0.004091073429042107,0.0016449928469241771,0.004468040223866918,0.01874167654125305,0.005688632066679645,0.040709180687877655,0.005566889190975275,0.013139256086160091,0.0010543617818946562,0,0,0.08193240074772544,0,0.16249710040266735,0.008865549671306193,0,5.074100220621533e-5,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05022578452403051,0,0.04317187574840057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12372281800915026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01806450946066259,0,0,0,0,0.03758141201106246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Argyrops;Argyrops bleekeri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14508152021468107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339975680450791,0,0,1,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Pomadasys;Pomadasys stridens
