LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
16993,43658,12171,26894,20193,39830,29809,23852,18977,37042,40994,11553,13963,14072,11056,10388,16799,18484,31753,38443,44942,25438,24228,40893,27258,60042,26090,37195,27926,34290,35742,29227,20482,13272,6264,10329,53877,127355,39245,95846,94022,87788,102248,36802,37430,41969,44060,35744,12234,15517,4013,30882,50907,963,50464,32573,54746,45575,52992,54121,13135,53701,22028,118134,114633,92980,135659,134260,105274,126170,158448,117421,139559,160336,155789,10724,40359,10523,15508,12723,17788,19166,23572,42174,37980,17699,7770,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
378,1183,1616,3536,1985,7317,8424,5123,1380,3504,7132,2455,86,413,79,992,1154,471,282,102,2603,2056,196,171,10835,5986,1826,5725,4227,9921,8540,8286,4074,12616,35743,14609,1085,282,188,980,3822,828,598,304,136,1148,281,853,1202,1894,472,1917,2817,0,0,266,0,800,0,967,8665,0,558,1942,5089,923,2738,1732,1294,1214,6512,4995,5914,5460,1503,3033,8819,924,5199,1158,929,1736,194,6058,1614,1732,180,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,11,40,1513,0,0,74,9,88,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,734,53,1663,876,8,847,1449,325,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Asterropteryx;Asterropteryx semipunctata
0,3040,0,409,12,0,8,0,0,129,353,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,12,982,267,0,0,1428,0,0,7391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo
0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,559,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
195,55,40,0,94,61,20,470,46,767,5591,291,11,0,0,0,0,0,0,203,23,0,0,0,104,0,14,57,0,0,0,0,0,0,0,30,0,73,7,0,0,106,28,8,49,18,6,16,0,800,0,0,0,0,0,26,1530,0,0,0,0,0,0,36,578,106,0,86,21,68,26,261,26,1273,832,0,556,21,0,0,0,0,22,760,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis
5860,14422,6049,3141,6732,5909,2837,5244,3042,6936,7435,473,443,3006,1188,58,127,263,289,460,14228,729,552,614,12790,4731,8683,10326,9702,18848,5693,9003,16846,7703,15782,4131,2188,4416,1774,7981,464,3684,5088,1399,4522,13607,8649,16000,0,2193,5592,1262,0,6,0,0,53,49,428,6,5209,0,0,4733,148,21,1715,117,243,130,445,1394,558,4893,486,172,40,0,0,1496,0,4786,224,0,2,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,0,279,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Argyrops;Argyrops bleekeri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,1078,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Pomadasys;Pomadasys stridens
0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,93,4,4,14,0,0,0,203,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,3091,943,26,0,0,0,0,1173,177,2221,0,29,0,0,0,0,0,0,0,0,0,2987,0,216,354,2233,99,1470,1758,368,4083,189,0,0,0,0,0,183,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Malacanthus;Malacanthus brevirostris
0,0,0,0,0,0,0,0,58,0,0,0,3927,7160,207,2046,44,8810,3527,3848,8674,8107,2541,183,2,0,0,0,0,0,0,0,0,0,0,0,806,0,0,1235,0,78,25,729,3,0,5891,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126,0,12,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,159,4,6,17,0,88,0,128,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,182,0,0,0,512,0,2138,0,0,215,0,0,0,0,0,40,7,0,0,0,0,114,0,0,0,0,0,0,0,0,0,16,0,21,0,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus intermedius
95,0,0,0,0,0,46,53,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,2020,0,0,0,113,0,0,0,0,30,0,11,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis aquila
0,450,57,68,0,85,0,8,7,73,161,0,0,0,13,0,0,0,0,22,3054,0,34,0,0,6,0,102,325,242,0,10,70,0,0,0,0,1417,0,314,136,98,6,0,76,41,46,63,455,89,0,0,728,0,306,225,104,50,734,0,0,16,1073,0,0,0,0,0,95,0,0,56,0,0,1014,0,0,0,0,0,0,15,33,369,32,64,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus medius
0,0,0,0,311,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,408,14,5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,179,0,0,0,535,0,Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus jacksoniensis
0,0,0,0,0,169,39,13,0,76,18,367,0,0,0,0,0,0,0,0,0,0,0,0,2144,182,0,40,170,675,796,0,4558,163,14,2303,0,0,167,0,0,0,0,0,0,59,0,0,0,433,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,56,0,0,0,44,0,0,0,0,0,26,0,0,32,34,1036,0,57,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,50,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,31,17,0,0,Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;;
