"","seq_number","sum.taxonomy"
"1","merged_12S_elas_1","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"2","merged_12S_elas_2",""
"3","merged_12S_elas_3",""
"4","merged_12S_elas_4","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"5","merged_12S_elas_5",""
"6","merged_12S_elas_6","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"7","merged_12S_elas_7","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"8","merged_12S_elas_9",""
"9","merged_12S_elas_13","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;"
"10","merged_12S_elas_20","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus"
"11","merged_12S_elas_27","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus"
"12","merged_12S_elas_38","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"13","merged_12S_elas_95","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"14","merged_12S_elas_147","Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa"
"15","merged_12S_elas_267","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"16","merged_12S_elas_281","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"17","merged_12S_elas_292","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"18","merged_12S_elas_324","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"19","merged_12S_elas_333","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"20","merged_12S_elas_436","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"21","merged_12S_elas_443",""
"22","merged_12S_elas_456","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"23","merged_12S_elas_484","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"24","merged_12S_elas_501",""
"25","merged_12S_elas_663",""
"26","merged_12S_elas_747","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"27","merged_12S_elas_832","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"28","merged_12S_elas_852",""
"29","merged_12S_elas_961","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"30","merged_12S_elas_1088","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"31","merged_12S_elas_1110","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"32","merged_12S_elas_1324","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"33","merged_12S_elas_1374","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"34","merged_12S_elas_1474","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"35","merged_12S_elas_1566","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"36","merged_12S_elas_2037",""
"37","merged_12S_elas_2363",""
"38","merged_12S_miu_1","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"39","merged_12S_miu_2","Eukaryota;Chordata;Actinopteri;;;;"
"40","merged_12S_miu_3","Eukaryota;Chordata;Actinopteri;;;;"
"41","merged_12S_miu_4","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;"
"42","merged_12S_miu_5","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;Odontesthes incisa"
"43","merged_12S_miu_6","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Odontesthes;"
"44","merged_12S_miu_7","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus"
"45","merged_12S_miu_8","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus"
"46","merged_12S_miu_9","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"47","merged_12S_miu_10","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;"
"48","merged_12S_miu_11","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus"
"49","merged_12S_miu_12","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus"
"50","merged_12S_miu_13","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"51","merged_12S_miu_14",""
