sum.taxonomy	fishcard_12S_all_LA11.1.R1.S25.L001	fishcard_12S_all_LA11.1.R2.S26.L001	fishcard_12S_all_LA11.1.R3.S27.L001	fishcard_12S_all_LA11.2.R1.S28.L001	fishcard_12S_all_LA11.2.R2.S29.L001	fishcard_12S_all_LA11.2.R3.S30.L001	fishcard_12S_all_LA11.3.R1.S31.L001	fishcard_12S_all_LA11.3.R2.S32.L001	fishcard_12S_all_LA11.3.R3.S33.L001	fishcard_12S_all_LA11.4.R1.S34.L001	fishcard_12S_all_LA11.4.R2.S35.L001	fishcard_12S_all_LA11.4.R3.S3.L001	fishcard_12S_all_LA11.4.R3.S36.L001	fishcard_12S_all_LA11.Blank.S90.L001	fishcard_12S_all_LA14.1.R1.S37.L001	fishcard_12S_all_LA14.1.R2.S38.L001	fishcard_12S_all_LA14.1.R3.S39.L001	fishcard_12S_all_LA14.2.R1.S40.L001	fishcard_12S_all_LA14.2.R2.S41.L001	fishcard_12S_all_LA14.2.R3.S42.L001	fishcard_12S_all_LA14.3.R1.S43.L001	fishcard_12S_all_LA14.3.R2.S44.L001	fishcard_12S_all_LA14.3.R3.S45.L001	fishcard_12S_all_LA14.4.R1.S46.L001	fishcard_12S_all_LA14.4.R2.S47.L001	fishcard_12S_all_LA14.4.R3.S2.L001	fishcard_12S_all_LA14.Blank.S91.L001	fishcard_12S_all_LA3.1.R1.S1.L001	fishcard_12S_all_LA3.1.R2.S2.L001	fishcard_12S_all_LA3.1.R3.S3.L001	fishcard_12S_all_LA3.2.R1.S4.L001	fishcard_12S_all_LA3.2.R2.S5.L001	fishcard_12S_all_LA3.2.R3.S6.L001	fishcard_12S_all_LA3.3.R1.S7.L001	fishcard_12S_all_LA3.3.R2.S8.L001	fishcard_12S_all_LA3.3.R3.S9.L001	fishcard_12S_all_LA3.4.R1.S10.L001	fishcard_12S_all_LA3.4.R2.S11.L001	fishcard_12S_all_LA3.4.R3.S12.L001	fishcard_12S_all_LA3.4.R3.S8.L001	fishcard_12S_all_LA3.Blank.S88.L001	fishcard_12S_all_LA3.LA11.ext.S95.L001	fishcard_12S_all_LA6.1.R1.S13.L001	fishcard_12S_all_LA6.1.R2.S14.L001	fishcard_12S_all_LA6.1.R3.S15.L001	fishcard_12S_all_LA6.2.R1.S16.L001	fishcard_12S_all_LA6.2.R2.S17.L001	fishcard_12S_all_LA6.2.R3.S18.L001	fishcard_12S_all_LA6.3.R1.S19.L001	fishcard_12S_all_LA6.3.R2.S20.L001	fishcard_12S_all_LA6.3.R3.S21.L001	fishcard_12S_all_LA6.4.R1.S22.L001	fishcard_12S_all_LA6.4.R2.S23.L001	fishcard_12S_all_LA6.4.R3.S4.L001	fishcard_12S_all_LA6.Blank.S89.L001	fishcard_12S_all_LA6.LA14.LB2.ext.S97.L001	fishcard_12S_all_LB1.0.R1.S85.L001	fishcard_12S_all_LB1.0.R2.S86.L001	fishcard_12S_all_LB1.0.R3.S87.L001	fishcard_12S_all_LB1.1.R1.S49.L001	fishcard_12S_all_LB1.1.R2.S50.L001	fishcard_12S_all_LB1.1.R3.S51.L001	fishcard_12S_all_LB1.2.R1.S52.L001	fishcard_12S_all_LB1.2.R2.S53.L001	fishcard_12S_all_LB1.2.R3.S54.L001	fishcard_12S_all_LB1.3.R1.S55.L001	fishcard_12S_all_LB1.3.R2.S56.L001	fishcard_12S_all_LB1.3.R3.S57.L001	fishcard_12S_all_LB1.4.R1.S58.L001	fishcard_12S_all_LB1.4.R2.S59.L001	fishcard_12S_all_LB1.4.R3.S1.L001	fishcard_12S_all_LB1.4.R3.S60.L001	fishcard_12S_all_LB1.Blank.S92.L001	fishcard_12S_all_LB14.1.R1.S73.L001	fishcard_12S_all_LB14.1.R2.S74.L001	fishcard_12S_all_LB14.1.R3.S75.L001	fishcard_12S_all_LB14.2.R1.S76.L001	fishcard_12S_all_LB14.2.R2.S77.L001	fishcard_12S_all_LB14.2.R3.S78.L001	fishcard_12S_all_LB14.3.R1.S79.L001	fishcard_12S_all_LB14.3.R2.S80.L001	fishcard_12S_all_LB14.3.R3.S81.L001	fishcard_12S_all_LB14.4.R1.S82.L001	fishcard_12S_all_LB14.4.R2.S83.L001	fishcard_12S_all_LB14.4.R3.S6.L001	fishcard_12S_all_LB14.Blank.S94.L001	fishcard_12S_all_LB2.1.R1.S61.L001	fishcard_12S_all_LB2.1.R2.S62.L001	fishcard_12S_all_LB2.1.R3.S63.L001	fishcard_12S_all_LB2.2.R1.S64.L001	fishcard_12S_all_LB2.2.R2.S65.L001	fishcard_12S_all_LB2.2.R3.S66.L001	fishcard_12S_all_LB2.3.R1.S67.L001	fishcard_12S_all_LB2.3.R2.S68.L001	fishcard_12S_all_LB2.3.R3.S69.L001	fishcard_12S_all_LB2.4.R1.S70.L001	fishcard_12S_all_LB2.4.R2.S71.L001	fishcard_12S_all_LB2.4.R3.S5.L001	fishcard_12S_all_LB2.Blank.S93.L001	fishcard_12S_all_PCR.neg1.S7.L001	fishcard_12S_all_LB1.LB14.ext.S98.L001
;NA;;NA;;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	17	0	0	0	0	611	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis	171	1659	27	2033	4509	3788	9937	306	306	557	2570	225	0	3	2729	2598	965	1927	1072	611	1059	1541	704	1870	2560	4133	6	9432	11135	8745	11559	7016	7092	4500	4749	999	2457	2416	0	15545	3	0	0	3624	129	64	802	30	26	85	78	328	568	819	1	0	3972	599	0	0	2598	0	206	3039	9	183	51	691	914	33	1262	0	0	34	137	81	783	25	47	169	145	1	353	83	899	1	1071	7637	1067	4320	1283	7347	7625	6939	711	1445	9468	4768	1	2236	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	280	11	0	1000	0	1334	30	46	44	122	12	0	0	0	0	355	0	0	1	0	0	0	0	135	41	0	0	21	264	1748	1169	1330	3894	3310	2436	2191	272	1978	1	709	0	0	0	33	0	37	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	833	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	69	0	0	0	3249	44	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps	0	0	159	4	6	17	0	88	0	128	7	314	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	182	0	0	0	517	0	2144	0	0	217	7	0	0	0	0	0	0	40	7	0	0	0	0	99	42	0	0	0	0	0	0	0	0	0	16	0	21	0	0	0	0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster	0	0	0	0	0	0	7	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	16	0	3	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	93	4	4	14	0	0	0	202	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gentilis	1248	0	0	12	0	0	11	0	0	0	28	293	0	0	0	0	6	28	0	0	0	16	0	0	0	12	0	0	21	222	0	64	0	0	16	16	0	43	0	0	0	0	0	0	0	0	10	0	0	25	0	0	8	11	0	0	350	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	35	0	0	0	0	4	0	0	0	0	38	0	0	0	0	0	9	163	103	0	9	0	78	0	0	0	0	0
