"seq_number","Site","Bio_rep1.x","Bio_rep2.x","Bio_rep3.x","Bio_rep4.x","Bio_rep0.x","Bio_rep1.y","Bio_rep2.y","Bio_rep3.y","Bio_rep4.y","Bio_rep0.y","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_elas_1","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB1",3,3,3,3,3,3,3,3,3,3,0.998453352402076,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_2","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_2","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_2","LA3",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,""
"merged_fishcard_12S_all_elas_2","LA6",2,3,3,3,NA,2,3,3,3,NA,0.997942090761254,""
"merged_fishcard_12S_all_elas_2","LB1",3,3,3,2,2,3,3,3,2,2,0.998227544990647,""
"merged_fishcard_12S_all_elas_2","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_2","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LB1",3,3,3,3,2,3,3,3,3,2,0.997939300228612,""
"merged_fishcard_12S_all_elas_3","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_3","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_4","LA11",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA14",3,2,3,2,NA,3,2,3,2,NA,0.996131780548608,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB1",3,3,3,2,2,3,3,3,2,2,0.998227544990647,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB2",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_5","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_5","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_5","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_5","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_5","LB1",2,3,3,3,2,2,3,3,3,2,0.997529347785172,""
"merged_fishcard_12S_all_elas_5","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_5","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,""
"merged_fishcard_12S_all_elas_6","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA3",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LB1",2,3,3,2,2,2,3,3,2,2,0.996709739352934,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LB14",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_7","LA11",3,3,3,2,NA,3,3,3,2,NA,0.99801180266639,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_elas_7","LA14",2,3,3,3,NA,2,3,3,3,NA,0.997942090761254,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_elas_7","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998261695502571,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
