sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.026664857047663484,0,0,0,1,0,0.036041322103791115
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.5781674225140654,1,0.5424282043306777,0.7973687461705037,0,0.2690067595551041,0.13986663947904193
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.7822414566345759,1,0.8262470951830218,0.5502057498086865,0.21733784404151427,0.6285467176597463,0.5913725230693334
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;,0.21774341845599848,1,0.5703984050409039,0.3770486308824359,0,0.5057763495311733,0.23835593603224484
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0.3587619131122096,0.23009910112806214,0.7845961573564199,0.19729637257605273,1,0.5104453292359629,0.0455100875778676
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0.8177597928125798,1,0.6043405212382266,0.12342288728700761,0,0.3395147632403379,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,1,0.3169333880925297,0.4365194995180445,0.2916153194447148,0.5070335210121394,0.5092917597958185,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0.051498659605325264,0.07623394751139294,0.22035524977098628,0,0.04875649471877886,0.5421342977137966,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,0.1436621805893002,0.14254991546209453,1,0.2302655962354932,0.12532791206537025,0.3151291702161724,0.14886236646808018
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0.33330445066065123,0.25303911541549284,0.20384862077667124,0.1889740936812575,0.30406131860724117,1,0.11339682434868159
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,0.1274328679806964,0.5379030926418906,0.6759981374839397,0.13942024598888167,0.9009936683404307,0.3529145562614091,1
