LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
0.23079411805264244,0.3324489429320986,0.14752952782879758,0.33601910480117403,0.2510687559733183,0.3564342165757372,0.26698407997718676,0.290336870323263,0.4040255190696944,0.4315926277953194,0.49205351941879977,0.17359041624712757,0.217810031608578,0.15806903064443142,0.2999047077401168,0.24070093880977714,0.3314508256917147,0.218426152720711,0.2893091121753093,0.30204203694747533,0.2799351965538589,0.21383735453588165,0.2618221042259329,0.3539094094917453,0.19994979868588997,0.34033926614637555,0.31203444028767724,0.25652011900599414,0.24609744408382342,0.27433624729410233,0.2576802445746579,0.23161160139132456,0.17391206295424141,0.10019853096972278,0.03276506143456749,0.11208497326715895,0.6991300809581242,0.7758104569359071,0.7539035926526237,0.7988556234289068,0.7021793891886842,0.78180588742122,0.8765186259395745,0.8452371324236272,0.6347340133817901,0.4355052298358298,0.533193749788906,0.4833045108782128,0.406132195267555,0.2694186457439511,0.3486793119035563,0.8242296450109122,0.8437187351471419,0,0.7621860799300286,0.48474670070728837,0.7976009761581996,0.7606992686431965,0.7787229960657271,0.876748160848796,0.24261392758691502,0.9990592558802964,0.5421225284641047,0.6934201461911412,0.764536822067067,0.8722241532569737,1,0.8222532799533642,0.8637944383404097,0.7775408051186095,0.7748829007456313,0.7769044129124436,0.6931977250184873,0.6504333890011215,0.8426842505874554,0.3989787736099743,0.5410020223327899,0.3076454642292323,0.3930766131665926,0.3394242993316442,0.2894677426489651,0.3176605455745366,0.4543476260440954,0.45202666265192726,0.4693945769166488,0.19948917756850992,0.22968557973312445,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0.010058284037385236,0,0,0,0.49890086562367064,0.6550235099674422,0.04571522718309567,0.3861147511402534,0.007071133352975883,0.8477316509384718,0.2617013244925247,0.246217882077042,0.43995396148097915,0.5550320238754999,0.22358116159776847,1,1.194802230051276e-4,0,0,0,0,0,0,0,0,0,0,0,0.08516721280114861,0,0,0.08383058527431203,0,0.005657325664059388,0.001745416917859425,0.136361946222143,4.144120306572506e-4,0,0.5806069943313701,8.12774846076012e-4,0,0,0,0,0,0,0,0,3.559472018682214e-4,0,0,0,0,0,0,0.006023287381713788,0,9.168317313252892e-4,0,0,0,0,1.5932118750425412e-4,0,0,6.608013768766161e-5,0.005987383242470576,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,0.023058442565657585,0,0,0,0,0.6150333377102756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14955656952433902,0.040584174314107116,0,0.008827542014849034,0,0,0,0,0,0.03738176246851761,0,0,0,0,0,0,0,0.016894190189988004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708605212271188,0,0,0,0,0,0,0,0,0.0754358745855098,0,0,0,0,0,1,0.0372908471559592,0.03924753294737521,0.0837943534898672,0,0,0,0.9227134431191605,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,0.06398964786481645,0,0.14788464968120135,0,0.033913543894096655,0.006983838035964676,0.16858309319216075,0.008021763944823812,0,0.050253852033632376,0.019688610467915358,0,0,0,1,0,0,0,0,0,0,0,0.05695211244640235,0.005853565578507706,0.037509949567375085,0.1245044231959478,0.004719103458204275,0.04100429854790043,0.02481577349087341,0.13336571851053097,0.03604551261745904,0,0.05823201184999311,0,0,0,0,0,0,0.9131900304892223,0,0,0,0.0900976027930451,0,0,0,0,0,0,0,0,0,0.14117127456522477,0,0,0,0,0,0,0,0,0,0,0,0.004450571715796203,0,0,0.032172866803560685,0,0,0,8.786883124100058e-4,0,0,0,0,0.20917620641052817,0,0.11350483284660529,0,0,0.01465340502626237,0.27846717631958406,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,0.11923099350979494,0.024043099085504054,0.029567777504650967,0,0.026460633293392318,0,0.0033882686978675396,0.0051859302270393665,0.02959410358908203,0.06724313082405313,0.0026446425623450503,0,0,0.012264973566033321,0,0,0,0,0.006013674756989725,0.6618196326982687,0,0.012785365148067895,0,0,0.0011832947322110118,0,0.024475293615057417,0.09965515767257109,0.06736354150033276,0,0.002757252183404021,0.020678128227739137,0,0,0,0,0.30033756262570993,0,0.0910537666432741,0.035337925871507816,0.030365146444310247,0.0017895471696622771,0,0.04484948078727222,0.014803219955039984,0.019367956435588914,0.019886156190608094,0.5255780049611418,0.053757337038282844,0,0,0.41984036797304797,0,0.16074769082281562,0.11650971227546639,0.052714536852049874,0.029039451250736578,0.3753171014464964,0,0,0.010355824849342688,0.5137679819640514,0,0,0,0,0,0.027120236728605727,0,0,0.012891257092162085,0,0,0.16210177008144028,0,0,0,0,0,0,0.008652418918829397,0.02213086860640393,0.13758483646363012,0.01375978965923212,0.02509611083715316,1,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,0.020524383165074232,0,0,0,0,0.025647517843364075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02178223769531436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988846563272709,0,0.3213426909846149,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,0.039073337449976035,0.009026097889522603,0.004089250392081696,0,0.022882760591724265,0.005583506807998407,0.10297872309332619,0,0,0,0,0,0,0,0,0,0,0,0,0.4063834680766648,0.02665787724553815,0,0.007128533995933397,0.03871487274372319,0.13954870580761639,0.14828452367912204,0,1,0.031794221721712715,0.0018927545253647738,0.37803954399124157,0,0,0.08290537486461451,0,0,0,0,0,0,0.01582110606882896,0,0,0,0.19424423215544656,0,0,0,0,0,0,0,0.06427131186055052,0,0,0,0,0,0,0,0,0,0.008862325182111757,0,0,0,0.007522676986763615,0,0,0,0,0,0.01964237061776393,0,0,0.013456750458366766,0.01456591231698588,0.516008398615255,0,0.018203259800159823,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,0.005764487923465738,0.015002917128347438,0,0,0.0015013838862805975,1,0.058766206168826066,0,0,0,0,0,0,0.019369863197429726,0.05820958738894985,0,0,0.0013926553113062028,0,0.002835498565106761,0.005112686243836596,0.0161814078578658,0.1990605400498982,0.03520363702087546,0.093296971282560065,0.05480645302859725,0.9062630470470132,0.468237695905336,0.23684078155438676,0.07719135599062386,0.2836243133581741,0,0,0.3341926626783726,0,0.06591771425005422,0.047621911315386414,0,0.014797141108398802,0,0,0.031966070274569006,0.003507042043274538,0,0,0,0,0,0,0.04669216150643026,0,0.026280553786730262,0,0,0,0,0,0,0.0037815965415283373,0.02793003424760876,0,0.004274388413737884,0,0,0.009132479533646268,0,0.00213135931943381,0,0.00287505251177453,0,0.15818750845233487,0.01640931312211137,0,0.07512258467497224,0.12203408580700685,0.13420451301203834,0.043793490475570115,0.04843157049060641,0.009666108523398347,0,0.022509589183242737,0.08064518492338714,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1093514028737881,0.6451604374938337,0,0.026227894479636613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0.02745096109669974,0.04817443502027516,0.10476402689839526,0.23630736719591133,0.1318999311300544,0.3500818536277754,0.40345632815042876,0.3334782001877894,0.15713138992849612,0.21832409240016584,0.457749335685198,0.25073029837113214,0.007173643184723143,0.02480397183559783,0.011455276910059582,0.1229165608112114,0.12176714503818221,0.029760529859834954,0.0137384435319955,0.004285215463206671,0.08669619117468885,0.09242063380809923,0.01132779879979259,0.008947113389748304,0.4249941071173704,0.1814402475078249,0.11678137762721266,0.21113414122384078,0.1992066829032099,0.42444383636974936,0.32917929716767874,0.3511370487675614,0.18496495244982217,0.5092429388347676,1,0.5322642710604649,0.07527575061417506,0.009186374502880505,0.01931375895078544,0.043676676098379996,0.15263286847796664,0.039430735448380404,0.027412479518718127,0.03733595032738607,0.012334966437998808,0.06370440444014433,0.018183920508693194,0.04637921838871817,0.2133956142373433,0.17554744206302714,0.22005328202825553,0.2736013220942088,0.249597770389406,0,0,0.021169786819103364,0,0.07141075495024068,0,0.08376501102317087,0.85581777709137,0,0.041063574289431366,0.06095372183812621,0.1814957139631012,0.0463018191600722,0.10792964024500921,0.05672183646479835,0.056731417113909124,0.040008785615450064,0.17030049059416097,0.17668961201411176,0.15707956274305312,0.11844631394513633,0.03803434967488689,0.603359939629999,0.6321671946937729,0.14445589380345294,0.7047065672742646,0.16519890863126263,0.08084416428774005,0.15390447098047763,0.019995924402835798,0.34715922581403397,0.10666466740686939,0.1043829517846158,0.02368474605379364,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
