sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,1,0,0.06628902169514214,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.02543801898768975,0,0,0,1,0,0.03253218699832655
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.5438307593234507,1,0.5186433168910585,0.7963989631748558,0,0.2661189486604948,0.12447805959517078
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.7357850836459304,1,0.7900170577341208,0.5495365736178278,0.18932398860278946,0.6217992141322116,0.5263078060912544
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;,0.20481190047287517,1,0.5453870546883225,0.3765900534017933,0,0.5003467965532948,0.21213124531193409
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon furcatus,0,1,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0.342255439115807,0.23337202728589754,0.7608631946788362,0.1998593424922259,1,0.5121482782378467,0.04107903353627728
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0,0.5648068907573691,0.3095122546948067,1,0,0.7848240647917815,0
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0.7691940288431489,1,0.5778408459667521,0.12327277679178247,0,0.33587004281105326,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,1,0.33694408960991307,0.4437312557382889,0.30965041145358413,0.5314869983666933,0.535635194234016,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,1,0,0.06988309812264225,0,0,0,0.020212957637089655
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0.0544286304638136,0.08565835688086088,0.23673978840643603,0,0.05401569008876324,0.6026162243548442,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,0.14132730647105726,0.14908722845422423,1,0.2405326352690629,0.12923715972028202,0.3260428562612496,0.13855974175434438
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0.3169119804898018,0.2557849894614309,0.19702516243321977,0.1907924312038754,0.3030502814896015,1,0.10201568634675126
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,0.13468304871274828,0.6044012750350087,0.7262620527417281,0.1564655216037602,0.998180756055663,0.39228663139550946,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,0.5066390830230588,0.1479306758339739,0.6246040348028925,0.33798128842077507,0.46175204845638484,1,0.31839502176566103
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador,0.16873483435785538,0.28749319890420394,0.24287772314912212,0,0,0.3221126187163041,1
Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea,1,0,0.19894474753272545,0.9207961968646245,0.43986646551550923,0.5218054364560607,0.0376626838472032
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula pacificus,0,1,0.23395561219528535,0,0,0,0.05669190473179107
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;,0,0,0,0,0,1,0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,0.3469205584236847,0.43067637647929397,1,0.4340517628903495,0.34501819272820017,0.23397873650518647,0.5474477617856869
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,0.1819529442274953,0.13157164251858425,1,0.04140016465571024,0.4458826297786715,0.013620818468702759,0.16918827554323734
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,0.28944078471202983,0.036695507672095784,0.03450805997773965,0.07252860917284151,1,0.13294464245083612,0.1808513142344382
