fishcard_12S_all_elas_LA11_1_1,fishcard_12S_all_elas_LA11_1_2,fishcard_12S_all_elas_LA11_1_3,fishcard_12S_all_elas_LA11_2_1,fishcard_12S_all_elas_LA11_2_2,fishcard_12S_all_elas_LA11_2_3,fishcard_12S_all_elas_LA11_3_1,fishcard_12S_all_elas_LA11_3_2,fishcard_12S_all_elas_LA11_3_3,fishcard_12S_all_elas_LA11_4_1,fishcard_12S_all_elas_LA11_4_2,fishcard_12S_all_elas_LA11_4_3,fishcard_12S_all_elas_LA14_1_1,fishcard_12S_all_elas_LA14_1_2,fishcard_12S_all_elas_LA14_1_3,fishcard_12S_all_elas_LA14_2_1,fishcard_12S_all_elas_LA14_2_2,fishcard_12S_all_elas_LA14_2_3,fishcard_12S_all_elas_LA14_3_1,fishcard_12S_all_elas_LA14_3_2,fishcard_12S_all_elas_LA14_3_3,fishcard_12S_all_elas_LA14_4_1,fishcard_12S_all_elas_LA14_4_2,fishcard_12S_all_elas_LA14_4_3,fishcard_12S_all_elas_LA3_1_1,fishcard_12S_all_elas_LA3_1_2,fishcard_12S_all_elas_LA3_1_3,fishcard_12S_all_elas_LA3_2_1,fishcard_12S_all_elas_LA3_2_2,fishcard_12S_all_elas_LA3_2_3,fishcard_12S_all_elas_LA3_3_1,fishcard_12S_all_elas_LA3_3_2,fishcard_12S_all_elas_LA3_3_3,fishcard_12S_all_elas_LA3_4_1,fishcard_12S_all_elas_LA3_4_2,fishcard_12S_all_elas_LA3_4_3,fishcard_12S_all_elas_LA6_1_1,fishcard_12S_all_elas_LA6_1_2,fishcard_12S_all_elas_LA6_1_3,fishcard_12S_all_elas_LA6_2_1,fishcard_12S_all_elas_LA6_2_2,fishcard_12S_all_elas_LA6_2_3,fishcard_12S_all_elas_LA6_3_1,fishcard_12S_all_elas_LA6_3_2,fishcard_12S_all_elas_LA6_3_3,fishcard_12S_all_elas_LA6_4_1,fishcard_12S_all_elas_LA6_4_2,fishcard_12S_all_elas_LA6_4_3,fishcard_12S_all_elas_LB1_0_1,fishcard_12S_all_elas_LB1_0_2,fishcard_12S_all_elas_LB1_0_3,fishcard_12S_all_elas_LB1_1_1,fishcard_12S_all_elas_LB1_1_2,fishcard_12S_all_elas_LB1_1_3,fishcard_12S_all_elas_LB1_2_1,fishcard_12S_all_elas_LB1_2_2,fishcard_12S_all_elas_LB1_2_3,fishcard_12S_all_elas_LB1_3_1,fishcard_12S_all_elas_LB1_3_2,fishcard_12S_all_elas_LB1_3_3,fishcard_12S_all_elas_LB1_4_1,fishcard_12S_all_elas_LB1_4_2,fishcard_12S_all_elas_LB1_4_3,fishcard_12S_all_elas_LB14_1_1,fishcard_12S_all_elas_LB14_1_2,fishcard_12S_all_elas_LB14_1_3,fishcard_12S_all_elas_LB14_2_1,fishcard_12S_all_elas_LB14_2_2,fishcard_12S_all_elas_LB14_2_3,fishcard_12S_all_elas_LB14_3_1,fishcard_12S_all_elas_LB14_3_2,fishcard_12S_all_elas_LB14_3_3,fishcard_12S_all_elas_LB14_4_1,fishcard_12S_all_elas_LB14_4_2,fishcard_12S_all_elas_LB14_4_3,fishcard_12S_all_elas_LB2_1_1,fishcard_12S_all_elas_LB2_1_2,fishcard_12S_all_elas_LB2_1_3,fishcard_12S_all_elas_LB2_2_1,fishcard_12S_all_elas_LB2_2_2,fishcard_12S_all_elas_LB2_2_3,fishcard_12S_all_elas_LB2_3_1,fishcard_12S_all_elas_LB2_3_2,fishcard_12S_all_elas_LB2_3_3,fishcard_12S_all_elas_LB2_4_1,fishcard_12S_all_elas_LB2_4_2,fishcard_12S_all_elas_LB2_4_3,fishcard_12S_all_miu_LA11_1_1,fishcard_12S_all_miu_LA11_1_2,fishcard_12S_all_miu_LA11_1_3,fishcard_12S_all_miu_LA11_2_1,fishcard_12S_all_miu_LA11_2_2,fishcard_12S_all_miu_LA11_2_3,fishcard_12S_all_miu_LA11_3_1,fishcard_12S_all_miu_LA11_3_2,fishcard_12S_all_miu_LA11_3_3,fishcard_12S_all_miu_LA11_4_1,fishcard_12S_all_miu_LA11_4_2,fishcard_12S_all_miu_LA11_4_3,fishcard_12S_all_miu_LA14_1_1,fishcard_12S_all_miu_LA14_1_2,fishcard_12S_all_miu_LA14_1_3,fishcard_12S_all_miu_LA14_2_1,fishcard_12S_all_miu_LA14_2_2,fishcard_12S_all_miu_LA14_2_3,fishcard_12S_all_miu_LA14_3_1,fishcard_12S_all_miu_LA14_3_2,fishcard_12S_all_miu_LA14_3_3,fishcard_12S_all_miu_LA14_4_1,fishcard_12S_all_miu_LA14_4_2,fishcard_12S_all_miu_LA14_4_3,fishcard_12S_all_miu_LA3_1_1,fishcard_12S_all_miu_LA3_1_2,fishcard_12S_all_miu_LA3_1_3,fishcard_12S_all_miu_LA3_2_1,fishcard_12S_all_miu_LA3_2_2,fishcard_12S_all_miu_LA3_2_3,fishcard_12S_all_miu_LA3_3_1,fishcard_12S_all_miu_LA3_3_2,fishcard_12S_all_miu_LA3_3_3,fishcard_12S_all_miu_LA3_4_1,fishcard_12S_all_miu_LA3_4_2,fishcard_12S_all_miu_LA3_4_3,fishcard_12S_all_miu_LA6_1_1,fishcard_12S_all_miu_LA6_1_2,fishcard_12S_all_miu_LA6_1_3,fishcard_12S_all_miu_LA6_2_1,fishcard_12S_all_miu_LA6_2_2,fishcard_12S_all_miu_LA6_2_3,fishcard_12S_all_miu_LA6_3_1,fishcard_12S_all_miu_LA6_3_2,fishcard_12S_all_miu_LA6_3_3,fishcard_12S_all_miu_LA6_4_1,fishcard_12S_all_miu_LA6_4_2,fishcard_12S_all_miu_LA6_4_3,fishcard_12S_all_miu_LB1_0_1,fishcard_12S_all_miu_LB1_0_2,fishcard_12S_all_miu_LB1_0_3,fishcard_12S_all_miu_LB1_1_1,fishcard_12S_all_miu_LB1_1_2,fishcard_12S_all_miu_LB1_1_3,fishcard_12S_all_miu_LB1_2_1,fishcard_12S_all_miu_LB1_2_2,fishcard_12S_all_miu_LB1_2_3,fishcard_12S_all_miu_LB1_3_1,fishcard_12S_all_miu_LB1_3_2,fishcard_12S_all_miu_LB1_3_3,fishcard_12S_all_miu_LB1_4_1,fishcard_12S_all_miu_LB1_4_2,fishcard_12S_all_miu_LB1_4_3,fishcard_12S_all_miu_LB14_1_1,fishcard_12S_all_miu_LB14_1_2,fishcard_12S_all_miu_LB14_1_3,fishcard_12S_all_miu_LB14_2_1,fishcard_12S_all_miu_LB14_2_2,fishcard_12S_all_miu_LB14_2_3,fishcard_12S_all_miu_LB14_3_1,fishcard_12S_all_miu_LB14_3_2,fishcard_12S_all_miu_LB14_3_3,fishcard_12S_all_miu_LB14_4_1,fishcard_12S_all_miu_LB14_4_2,fishcard_12S_all_miu_LB14_4_3,fishcard_12S_all_miu_LB2_1_1,fishcard_12S_all_miu_LB2_1_2,fishcard_12S_all_miu_LB2_1_3,fishcard_12S_all_miu_LB2_2_1,fishcard_12S_all_miu_LB2_2_2,fishcard_12S_all_miu_LB2_2_3,fishcard_12S_all_miu_LB2_3_1,fishcard_12S_all_miu_LB2_3_2,fishcard_12S_all_miu_LB2_3_3,fishcard_12S_all_miu_LB2_4_1,fishcard_12S_all_miu_LB2_4_2,fishcard_12S_all_miu_LB2_4_3,sum.taxonomy
0.10005676084762866,0.2003437551154035,0.0595692366643782,0.3073437136881246,0.09864843250159949,0.06436113643269523,0.1446151122128281,0.130977522216414,0.3335508637236084,0.21099495313626532,0.3947786409449274,0.06264753692840483,0.1257301138074306,0.1543395536648997,0.3292067111907477,0.15899971743430347,0.11717321088064754,0.1777898250920193,0.18914185639229422,0.17810340184902612,0.06933224256058902,0.19481019223369192,0.1851401179941003,0.061046626008262835,0.09980992437416589,0.1679697853167241,0.09145153433999026,0.06387438274894312,0.1978798586572438,0.10825526219734762,0.03167137033552838,0.039425525143220876,0.009446567850595071,0.01662420382165605,0.05856269113149847,0.17174658338421078,0.2786583850931677,0.341396301273437,0.5336687306501547,0.3451600873688136,0.25796976045177156,0.44687100288976267,0.3391591875295229,0.6644353899883586,0.32462359304195293,0.13686157759343295,0.24506764374295378,0.5430855513897066,0.09216990788126919,0.16338826158081635,1,0.5267696317019891,0.58536901725107,0.5125909345271404,0.6197739593861986,0.2510765002290426,0.6263927454219536,0.6775262286029817,0.40114443567482244,0.53550557073786,0.11225693910009749,0.7459112149532711,0.3175003656574521,0.573555989300947,0.6649932265519165,0.7367315100767295,0.5401610017889088,0.6363421114940412,0.6915861682766344,0.3036310306463032,0.6209427531179798,0.516322029225255,0.5322937556185603,0.4702945051209043,0.5821244834275112,0.22715083798882682,0.483955880459507,0.05170953505995631,0.32299820535339263,0.06691435720514084,0.21581576338091407,0.060746671519121706,0.3126654329952449,0.33880006091061365,0.31235704402338127,0.11338289962825279,0.07474150664697193,0.2334972206734587,0.31160908252239383,0.21570833226804387,0.217436483607835,0.31067269321605995,0.4278285164228864,0.2518096144898997,0.3044547170137987,0.32239255149064233,0.39963861443235554,0.40139003173856824,0.26100806542710614,0.19028541209275493,0.09655937846836848,0.18481115673436171,0.2672805884665057,0.37498979897173634,0.17629201197053407,0.24512269298158015,0.27155383451284104,0.29361521773486776,0.1587568345323741,0.23618860445362336,0.3993671071522752,0.1729324357319753,0.3042363194327591,0.3275255391600454,0.27368558254720826,0.2001844507977497,0.25323048523206754,0.23562406682539042,0.21155128618206614,0.1784447765681792,0.08676633370230585,0.024703233085072433,0.06821198613174839,0.6447967729440207,0.757779604675269,0.6312502439595613,0.75088329618959615,0.6821571765637633,0.6680394263399329,0.7909855109196131,0.6908403109358061,0.6299697565067661,0.4416461042042327,0.5050572428157203,0.3445280945449638,0.5807583096709538,0.24870996538134948,0.28289473684210525,0.8531593885375691,0.8433649624699051,0.7833333333333333,0.6181725658713106,0.5518914914812639,0.6897024841132293,0.5933182099401939,0.7727218344965104,0.7910764466364627,0.23174811552468874,0.8362470739576963,0.6318024039702803,0.5618209535074615,0.6088566904303977,0.6978673222601987,0.8527213630623357,0.6690170381671965,0.7029942285874016,0.6878295383820473,0.6306643510200822,0.7028312252234831,0.5712214875078125,0.5534952044373859,0.7051439900777664,0.3594441457463088,0.2523295828016858,0.4739533235457905,0.3141494293865906,0.5526023804720597,0.2728661864221786,0.41282063621925985,0.481057932137983,0.4039404872907123,0.5482933914306464,0.30768664950349395,0.2825043630017452,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0,0,0,0,0.7949729576343225,0.40000447397664224,0.023608086728581553,0.1925708548801153,0.0031478844840654562,0.8401401626866474,0.06332033205480513,0.2874773771226973,0.4700638187447214,0.42579829506900213,0.12104845241790692,1,2.72614239451578e-4,0,0,0,0,0,0,0,0,0,0,0,0.13498612255723852,0,0,0.11060716786889906,0,0.01245423088056505,0.0033168656013419,0.23836533012767144,3.6951463413166036e-4,0,0.6995284697881347,0,0,0,0,0,0,0,0,0,1.7769847190571078e-4,0,0,0,0,0,0,0.030700407347061934,0,0,0,0,0,0,2.6109428688973464e-4,0,0,7.161757148994062e-5,0.011370384243770211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006128312381850714,0,0,0,5.401301500712464e-4,0.0012922784146853418,0.009725016078786949,0.004542152147062162,0.0018337184241231656,0.0035399981139294097,0.09347701911522185,0.0014101741133627141,0.011863916880272378,0.021570983356541343,0.033232557093987015,0.006024156439304834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.160368944555049e-5,0,0,0,0,0,0,0,3.5738851968936884e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042053306301595e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,0.037371195970609665,0,0,0,0,0.5250847166523414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24967461726610413,0.0685537827314479,0,0.022011350568509627,0,0,0,0,0,0.09062698680822462,0,0,0,0,0,0,0,0.04680152381906108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06174145737692285,0,0,0,0,0,0,0,0,0.10308335630916275,0,0,0,0,0,1,0.03684219386207046,0.036579604013108516,0.06317719777539467,0,0,0,0.6845540593348716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016683269617418187,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,0,0,0.17251341457526045,0,0,0.008701772381619307,0,0.018002693474446003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040392665263164325,0.009804453023551984,0.01013546673528844,0.20106599852402682,0.012364884385685773,0.004219514378786384,0,0,0.044830671795674584,0,0,0,0,0,0,0,0,0,0,0,0,0.18203665821172196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013868061032978043,0,0,0,0,0,0,0,0,0,0,0,0.15356735177373657,0,0.15061423039662525,0,0,0,0.18032316197386813,0,0,0,0.09788798686341317,0,0,0,0.029718478553998753,0,0.18003822205345055,0,0,0.07584308031879773,0.014672152387495,0,0,0,1,0,0,0,0,0,0,0,0.03232253100943298,0.0017708039222791671,0.027555200993724972,0.014464910800278268,0,0.029494622492237884,0.016793602524149284,0.09147085889158561,0.014476019930316312,0,0.03628870746053956,0,0,0,0,0,0,0.6342155546396318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1757528783356475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023815197240508602,0,0,0,6.279287098243744e-4,0,0,0,0,0.08255522017653709,0,0,0,0,0.029742666225586443,0.11326225651772642,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,0.13058951657945975,0,0.017459382278189304,0,0.006783862338126365,0,0,0,0,0.0131815158231643,0.0019636074688707274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15329676100567477,0,0,0.004687071002944181,0,0,0.01089852050475034,0,0,0,0,0,0,0.3123179272788923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009027867631000665,0,0.11150946601440276,0,0,1,0,0.009449184240200297,0.028920521098063118,0.0077330461733513,0,0.015608420726095829,0,0.002748670666246391,0.004354851574822397,0.018565085024694596,0.0402406560839935,0,0,0,0.009543364115860377,0,0,0,0,0.003886511681864464,0.4353749769781915,0,0.011237854021415907,0,0,6.908917203413772e-4,0,0.016489857600562895,0.05948209954441889,0.039577599119896244,0,0.0014870002042954406,0.01228502793541212,0,0,0,0,0.20102547144941801,0,0.004314846687278504,0.02226581065882926,0.016582388988878385,0,0,0.03329487307912736,0.0051792646125823835,0.012426968741984241,0.01205177120916277,0.5027282264373851,0.03845522910917816,0,0,0,0,0.0858389112815008,0.1140549743532344,0.07451928427037943,0.017052535425229994,0.2904540983414914,0,0,0.006696069888092338,0.6108536649415547,0,0,0,0,0,0.015499618277079089,0,0,0.009768415121099062,0,0,0.09108759561120497,0,0,0,0,0,0,0,0.030819659027406784,0,0.02196084919068026,0.046711428911136534,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,0,0,0,0,0,0.05762588200143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05100848453611375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5122437560583976,0,0.024308311413267256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02515790600033129,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,0.06582904895063053,0,0.005575285538693798,0,0,0.01066194356112628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03352296391654992,0,0.008015090957646643,0.11099879092429947,0.01684470980461977,0.7313735491399783,0,0,0,0.021953260600049592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012440959215152763,0,0,0,0,0,0,0,0,0.012278820053874775,0.021149455732296235,0,0,0.01650672369405603,0,0,0,0,0,0,0,0,0.008654924560597391,0,0,0.019976252993053577,0,0.17006069896181275,0,0,0,0,0,0,0,0,0,0,0,0,0.3067757122938678,0.012853128459796557,0,0.0030075689565400698,0,0.10953059326279263,0,0,0.8267587197475681,0.02229325777163287,0,0.3119428938596844,0,0,0.06685025110314935,0,0,0,0,0,0,0.014355680552771755,0,0,0,0.19336579264402642,0,0,0,0,0,0,0,0.05252082983316227,0,0,0,0,0,0,0,0,0,0.006981786208959746,0,0,0,0,0,0,0,0,0,0.02699721874024512,0,0,0,0,1,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,0.009995856895331735,0,0,0,0,0,0,0,0,0,0,0,0,0.06913421725226634,0.13582558046465218,0,0,0,0,0.01277167082170715,0.01627525790601694,0.020830625696686682,0.41136525258349965,0.036862192388415406,0.028817840163799065,0.014147072723574461,0,0.01472010368268634,0,0,0.8268508228415752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23214562485223025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006151205056613049,0,0,0.008282800313996174,0,0,0.06385464192963115,0.10240688348788868,0.06544753424894338,0,0.011220931581434794,0,0,0,0,0,0,0,0,0,0.01480679901939483,0,0,0.0013490237224778948,1,0.09988639409251378,0,0,0,0,0,0,0,0,0,0,0.0017532747312023044,0,0,0,0.00597436822565934,0.003430222009421039,0.019416834480516013,0.07070289427654916,0.039647502896187826,0.7000432852589549,0.39425483436636793,0.17092439380355964,0.05417643821982759,0.008342218376314419,0,0,0.2773572289780216,0,0.059488864465524226,0.03724900050859364,0,0.01214084009597001,0,0,0.029376952405973534,0.0030442273822607955,0,0,0,0,0,0,0,0,0.05321191341369316,0,0,0,0,0,0,0.002683514449857437,0.023251000485404134,0,0.003269000935846145,0,0,0.007107966659025987,0,0.0023132447927808053,0,0,0,0.14367244917043218,0.016280921491879142,0,0.10793386533214622,0.10352699105579447,0.05515042207524168,0,0.09660375446629453,0,0,0.06000955153033549,0.09951198267666726,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.20224088506222254,0.8678556961888109,0,0.04335506646014192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007907713744546739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046180913630575006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6074026092454344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Cosmocampus;Cosmocampus arctus
