"","seq_number","sum.taxonomy"
"1","merged_fishcard_12S_all_elas_1","Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"2","merged_fishcard_12S_all_elas_2",""
"3","merged_fishcard_12S_all_elas_3",""
"4","merged_fishcard_12S_all_elas_4","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"5","merged_fishcard_12S_all_elas_5",""
"6","merged_fishcard_12S_all_elas_6","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"7","merged_fishcard_12S_all_elas_7","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"8","merged_fishcard_12S_all_elas_8",""
"9","merged_fishcard_12S_all_elas_9",""
"10","merged_fishcard_12S_all_elas_10",""
"11","merged_fishcard_12S_all_elas_13",""
"12","merged_fishcard_12S_all_elas_14","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"13","merged_fishcard_12S_all_elas_15",""
"14","merged_fishcard_12S_all_elas_16",""
"15","merged_fishcard_12S_all_elas_17",""
"16","merged_fishcard_12S_all_elas_19","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus"
"17","merged_fishcard_12S_all_elas_21","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres californica"
"18","merged_fishcard_12S_all_elas_22",""
"19","merged_fishcard_12S_all_elas_23","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"20","merged_fishcard_12S_all_elas_24","Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus"
"21","merged_fishcard_12S_all_elas_25",""
"22","merged_fishcard_12S_all_elas_26",""
"23","merged_fishcard_12S_all_elas_27","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus"
"24","merged_fishcard_12S_all_elas_28","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii"
"25","merged_fishcard_12S_all_elas_29",""
"26","merged_fishcard_12S_all_elas_30",""
