Group	Species	Genus
Algae	Ulva australis	Ulva
Algae	Colpomenia claytoniae	Colpomenia
Algae	Mutimo cylindricus	Mutimo
Algae	Codium fragile	Codium
Algae	Sargassum horneri	Sargassum
Algae	Sargassum muticum	Sargassum
Algae	Elachista nigra	Elachista
Algae	Ascophyllum nodosum	Ascophyllum
Algae	Caulacanthus okamurae	Caulacanthus
Algae	Undaria pinnatifida	Undaria
Algae	Caulerpa taxifolia 	Caulerpa
Algae	Grateloupia turuturu	Grateloupia
Algae	Agarophyton vermiculophyllum	Agarophyton
Annelids-Leeches	Myzobdella lugubris	Myzobdella
Annelids-Polychaetes	Branchiomma bairdi	Branchiomma
Annelids-Polychaetes	Streblospio benedicti	Streblospio
Annelids-Polychaetes	Neodexiospira brasiliensis	Neodexiospira
Annelids-Polychaetes	Laonome calida	Laonome
Annelids-Polychaetes	Pseudopolydora kempi	Pseudopolydora
Annelids-Polychaetes	Myrianida convoluta	Myrianida
Annelids-Polychaetes	Polydora cornuta	Polydora
Annelids-Polychaetes	Hediste diadroma	Hediste
Annelids-Polychaetes	Hydroides elegans	Hydroides
Annelids-Polychaetes	Sabaco elongatus	Sabaco
Annelids-Polychaetes	Ficopomatus enigmaticus	Ficopomatus
Annelids-Polychaetes	Heteromastus filiformis	Heteromastus
Annelids-Polychaetes	Terebrasabella heterouncinata	Terebrasabella
Annelids-Polychaetes	Boccardiella ligerica	Boccardiella
Annelids-Polychaetes	Marenzelleria neglecta	Marenzelleria
Annelids-Polychaetes	Amblyosyllis nigrolineata	Amblyosyllis
Annelids-Polychaetes	Megasyllis nipponica	Megasyllis
Annelids-Polychaetes	Epigamia noroi	Epigamia
Annelids-Polychaetes	Haplosyllis ohma	Haplosyllis
Annelids-Polychaetes	Proceraea okadai	Proceraea
Annelids-Polychaetes	Myrianida pachycera	Myrianida
Annelids-Polychaetes	Pseudopolydora paucibranchiata	Pseudopolydora
Annelids-Polychaetes	Myrianida pentadentata	Myrianida
Annelids-Polychaetes	Diplocirrus SD1	Diplocirrus
Annelids-Polychaetes	Alitta succinea	Alitta
Annelids-Polychaetes	Marenzelleria viridis	Marenzelleria
Bryozoans	Watersipora arcuata	Watersipora
Bryozoans	Aeverrillia armata	Aeverrillia
Bryozoans	Conopeum chesapeakensis	Conopeum
Bryozoans	Schizoporella errata	Schizoporella
