"seq_number","Site","Bio_rep1.x","Bio_rep2.x","Bio_rep3.x","Bio_rep4.x","Bio_rep0.x","Bio_rep1.y","Bio_rep2.y","Bio_rep3.y","Bio_rep4.y","Bio_rep0.y","max_Occupancy_prob","sum.taxonomy"
"merged_CO1_3","LA11",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LA14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LA3",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LA6",3,1,3,3,NA,3,1,3,3,NA,0.998203224349252,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LB1",3,3,3,2,3,3,3,3,2,3,0.998372257956139,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LB14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_3","LB2",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LA11",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LA14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LA3",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LA6",3,1,3,3,NA,3,1,3,3,NA,0.998203224349252,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LB1",3,3,3,2,3,3,3,3,2,3,0.998372257956139,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LB14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_6","LB2",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"merged_CO1_7","LA11",1,2,2,1,NA,1,2,2,1,NA,0.970974490947577,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_7","LA14",2,1,3,1,NA,2,1,3,1,NA,0.993535033287493,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_7","LA3",2,1,NA,NA,NA,2,1,NA,NA,NA,0.956651635054352,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_7","LA6",3,2,2,3,NA,3,2,2,3,NA,0.99345200522616,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_7","LB14",3,2,1,1,NA,3,2,1,1,NA,0.993387369305772,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_7","LB2",NA,NA,NA,2,NA,NA,NA,NA,2,NA,0.943519582193757,"Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"merged_CO1_8","LA14",1,NA,NA,2,NA,1,NA,NA,2,NA,0.949515823817635,"Eukaryota;Annelida;Clitellata;Haplotaxida;;;"
"merged_CO1_8","LA6",3,1,3,3,NA,3,1,3,3,NA,0.998203224349252,"Eukaryota;Annelida;Clitellata;Haplotaxida;;;"
"merged_CO1_8","LB1",NA,2,NA,2,NA,NA,2,NA,2,NA,0.949459096256644,"Eukaryota;Annelida;Clitellata;Haplotaxida;;;"
"merged_CO1_8","LB14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;Annelida;Clitellata;Haplotaxida;;;"
"merged_CO1_12","LA11",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LA14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LA3",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LA6",3,1,3,3,NA,3,1,3,3,NA,0.998203224349252,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LB1",3,3,3,2,3,3,3,3,2,3,0.998372257956139,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LB14",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_12","LB2",3,3,3,3,NA,3,3,3,3,NA,0.99816866743589,"Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"merged_CO1_14","LA11",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_14","LA14",2,3,3,3,NA,2,3,3,3,NA,0.997112954456401,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_14","LA3",3,3,3,2,NA,3,3,3,2,NA,0.998205583601508,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_14","LA6",3,1,3,3,NA,3,1,3,3,NA,0.998203224349252,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"merged_CO1_14","LB1",3,3,3,2,3,3,3,3,2,3,0.998372257956139,"Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
