sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,0.6646789471911165,0.5946120999634025,1,0.8289555396510216,0.8201657476054752,0.6535313723355822,0.5494901348286225
Bacteria;Proteobacteria;Alphaproteobacteria;;;;,0,1,0,0,0.4161889919592495,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;;;,0.14722634917668367,0,0,0,1,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;NA;Candidatus Fonsibacter;Candidatus Fonsibacter ubiquis,0.8829736632258397,0.32337419696062936,0.7543595320194894,1,0.9231788495322162,0.7847604908631599,0.7855092498166498
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,1,0,0.5958144865211894,0.3036895595779465,0.9029396482349316,0.5706237599656222,0.7644866755732623
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;,0.4918591981716118,0.41831943364764956,0.2553084134978141,0.5680362800298118,0.26114991511016916,1,0.3865753858870811
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,0.4232493093432145,1,0.6914407107510264,0.6486439741384589,0.5453433501493606,0.4314263325577718,0.767348044290262
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,0.2294890589389991,1,0.4819492293642085,0.3934384913300472,0.19488776317296747,0.15054086015281845,0.43344599044183574
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,0.6834446411789731,0.1801445298136839,0.32250732461616904,1,0.3256906563531055,0.7464403831803028,0.3567306747976149
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,0.6003562971278236,1,0.6819521871904496,0.7252201368081167,0.6448181102249796,0.6378594602924288,0.6924399971537326
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,0.6585263041893173,0.9438970574873823,0.7652136870872407,0.7199457547479846,0.7764636214369256,0.6738398672957229,1
