sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,45,12,62,44,109,50,7
Bacteria;Proteobacteria;Alphaproteobacteria;;;;,0,18,0,0,37,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;;;,3,0,0,0,40,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;NA;Candidatus Fonsibacter;Candidatus Fonsibacter ubiquis,229,5,43,61,188,184,46
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,126,0,11,6,67,13,58
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;,71,42,9,75,37,87,7
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,64417,85720,67570,69218,147166,57817,96048
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,7721,12787,9652,9859,11021,5094,7546
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,350,10,22,292,253,377,100
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,3159,1552,1522,2110,5749,3194,2165
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,2280,835,1294,1551,4649,2377,2275
Eukaryota;;;;;;,40885,13588,59245,32859,42492,79636,8305
Eukaryota;;;;Vannellidae;Ripella;,16,0,60,0,0,5,31
Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus,0,0,0,0,0,200,0
Eukaryota;;Chlorarachniophyceae;;;Bigelowiella;Bigelowiella natans,4,0,35,0,9,0,4
