CO1_LA11_1_1,CO1_LA11_1_2,CO1_LA11_1_3,CO1_LA11_2_1,CO1_LA11_2_2,CO1_LA11_2_3,CO1_LA11_3_1,CO1_LA11_3_2,CO1_LA11_3_3,CO1_LA11_4_1,CO1_LA11_4_2,CO1_LA14_1_1,CO1_LA14_1_2,CO1_LA14_1_3,CO1_LA14_2_1,CO1_LA14_2_2,CO1_LA14_2_3,CO1_LA14_3_1,CO1_LA14_3_2,CO1_LA14_3_3,CO1_LA14_4_1,CO1_LA14_4_2,CO1_LA14_4_3,CO1_LA3_1_1,CO1_LA3_1_2,CO1_LA3_1_3,CO1_LA3_2_1,CO1_LA3_2_2,CO1_LA3_2_3,CO1_LA3_3_1,CO1_LA3_3_2,CO1_LA3_3_3,CO1_LA3_4_1,CO1_LA3_4_2,CO1_LA6_1_1,CO1_LA6_1_2,CO1_LA6_1_3,CO1_LA6_2_3,CO1_LA6_3_1,CO1_LA6_3_2,CO1_LA6_3_3,CO1_LA6_4_1,CO1_LA6_4_2,CO1_LA6_4_3,CO1_LB1_0_1,CO1_LB1_0_2,CO1_LB1_0_3,CO1_LB1_1_1,CO1_LB1_1_2,CO1_LB1_1_3,CO1_LB1_2_1,CO1_LB1_2_2,CO1_LB1_2_3,CO1_LB1_3_1,CO1_LB1_3_2,CO1_LB1_3_3,CO1_LB1_4_1,CO1_LB1_4_2,CO1_LB14_1_1,CO1_LB14_1_2,CO1_LB14_1_3,CO1_LB14_2_1,CO1_LB14_2_2,CO1_LB14_2_3,CO1_LB14_3_1,CO1_LB14_3_2,CO1_LB14_3_3,CO1_LB14_4_1,CO1_LB14_4_2,CO1_LB14_4_3,CO1_LB2_1_1,CO1_LB2_1_2,CO1_LB2_1_3,CO1_LB2_2_1,CO1_LB2_2_2,CO1_LB2_2_3,CO1_LB2_3_1,CO1_LB2_3_2,CO1_LB2_3_3,CO1_LB2_4_1,CO1_LB2_4_2,CO1_LB2_4_3,Metazoa_16s_LA11_1_2,Metazoa_16s_LA11_1_3,Metazoa_16s_LA11_2_1,Metazoa_16s_LA11_2_2,Metazoa_16s_LA11_2_3,Metazoa_16s_LA11_3_1,Metazoa_16s_LA11_3_2,Metazoa_16s_LA11_3_3,Metazoa_16s_LA11_4_1,Metazoa_16s_LA11_4_2,Metazoa_16s_LA11_4_3,Metazoa_16s_LA14_1_2,Metazoa_16s_LA14_1_3,Metazoa_16s_LA14_2_1,Metazoa_16s_LA14_2_2,Metazoa_16s_LA14_2_3,Metazoa_16s_LA14_3_1,Metazoa_16s_LA14_3_2,Metazoa_16s_LA14_3_3,Metazoa_16s_LA14_4_1,Metazoa_16s_LA14_4_2,Metazoa_16s_LA14_4_3,Metazoa_16s_LA3_1_2,Metazoa_16s_LA3_1_3,Metazoa_16s_LA3_2_1,Metazoa_16s_LA3_2_2,Metazoa_16s_LA3_2_3,Metazoa_16s_LA3_3_1,Metazoa_16s_LA3_3_2,Metazoa_16s_LA3_3_3,Metazoa_16s_LA3_4_1,Metazoa_16s_LA3_4_2,Metazoa_16s_LA3_4_3,Metazoa_16s_LA6_1_2,Metazoa_16s_LA6_1_3,Metazoa_16s_LA6_2_1,Metazoa_16s_LA6_2_2,Metazoa_16s_LA6_2_3,Metazoa_16s_LA6_3_1,Metazoa_16s_LA6_3_2,Metazoa_16s_LA6_3_3,Metazoa_16s_LA6_4_1,Metazoa_16s_LA6_4_2,Metazoa_16s_LA6_4_3,Metazoa_16s_LB1_0_2,Metazoa_16s_LB1_0_3,Metazoa_16s_LB1_1_2,Metazoa_16s_LB1_1_3,Metazoa_16s_LB1_2_1,Metazoa_16s_LB1_2_2,Metazoa_16s_LB1_2_3,Metazoa_16s_LB1_3_1,Metazoa_16s_LB1_3_2,Metazoa_16s_LB1_3_3,Metazoa_16s_LB1_4_1,Metazoa_16s_LB1_4_2,Metazoa_16s_LB1_4_3,Metazoa_16s_LB14_1_2,Metazoa_16s_LB14_1_3,Metazoa_16s_LB14_2_1,Metazoa_16s_LB14_2_2,Metazoa_16s_LB14_2_3,Metazoa_16s_LB14_3_1,Metazoa_16s_LB14_3_2,Metazoa_16s_LB14_3_3,Metazoa_16s_LB14_4_1,Metazoa_16s_LB14_4_2,Metazoa_16s_LB14_4_3,Metazoa_16s_LB2_1_2,Metazoa_16s_LB2_1_3,Metazoa_16s_LB2_2_1,Metazoa_16s_LB2_2_2,Metazoa_16s_LB2_2_3,Metazoa_16s_LB2_3_1,Metazoa_16s_LB2_3_2,Metazoa_16s_LB2_3_3,Metazoa_16s_LB2_4_1,Metazoa_16s_LB2_4_2,Metazoa_16s_LB2_4_3,sum.taxonomy
0.5671280787269918,0.28507215444838974,0.5535818320739614,0.503090795630196,0.24875409855606329,0.16155954171008463,0.2771440270680658,0.1899341513967238,0.11675193439076349,0.23024283355186695,0.40696001248995023,0.02709247252915484,0.02293128336480776,0,0,0.04611559126471458,0.03309208322726725,0.1187192153129817,0.49695758451822364,0.07028635076463062,0.26814747264200106,0.3160930149999035,0.1348560360305902,0.3942331543887161,0.34172989174187446,0.460737455553627,0.5169823535874537,0.3791842806197987,0.3102906342546408,0.37952213058184125,0.37866033441048674,0.4111702075989793,0.5877722357599756,0.5794220850050318,0.6858802601497341,0.8000263546078852,0.34632512116782366,0.9616847035829273,0.56352904633049306,0.10820554207458537,0.2053074436731272,0.29693478090095227,0.5078310042633823,0.2638607974947316,0.16883726775525976,0.11704224206512395,0.07170666830978017,0.21021532525745412,0.15445227380327367,0.1592972944846374,0.2354250576236172,0.08623889001651718,0.16985134881077613,0.17415166885496772,0.21853477107176197,0.3404286990175648,0.178554413115162,0.24072355042003665,0.878092261617085,0.1602184377714764,0.14937668190353967,0.45759141574197965,0.19993099152446742,0.5885911886189948,0.45763960893543193,0.2810887095185406,0.42031969883776926,0.8141573896959188,1,0.4877899644605386,0.07681525062880824,0.05580349955727281,0.12012213934067847,0.04406020769692303,0.0528022379244432,0.05400228878636237,0.048587735580237976,0.04161013220281136,0.038474842341829116,0.009787532140081493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;;Oomycetes;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537714152249899,0,0,0.6790720396917795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3792749742027419,0,0,0.46576566893141824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Candacia;Candacia bispinosa
0,0,0,0,0,0,0,0,0,0,0.5059625306955826,0,0,0,0,0,0,0,0,0,0,0,0,0.4035705482587415,0,0.7379261904065088,0,0,0,0.5812787269787935,0,0.5803588948317878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;
0.14414334298619458,0.005637058361429232,0.008182103770922844,0,0,0.005694610176419398,0.00238146880147496,0.003480643531419689,0,0.004262999673654813,0,0,0,0,0.009246645247243016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08227565261404964,0.018681339161807333,0,0,0,0,0.0026229556110240622,0.002006521685475312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5327323388782225,0,0,0,0.005047647778969237,0,1,0,0.004876799500437555,0.0010376149593738138,0.24115262645793398,0,0,0,0,0,0,0.004827924375035807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002217790654898956,0,0.0116503342368274,6.43467039733655e-4,0.017910247009278412,0.47153799847527894,0.5745755916973811,0.0019207701868395187,0,0,3.788899412245768e-4,0.009585441884155372,6.576946452667665e-4,0.0023570210157396122,0.0030017950146265034,0.011521556235788577,2.825353617529558e-4,0.0012743708026565605,4.539002654562402e-4,0.13397599869974644,0.012517103451522196,0.001986688160254772,0.7281869045287377,0.00336231714652542,0.00299080090687586,0.003763315891896748,0.00144573040379126,0.0044662074872434355,0.003182762415517523,0.0032510061982670606,0.8665293130957904,0.007340860484245834,0.0021670773428903918,0.004880498599636861,1,0.00964993293496908,0.009162849134077963,0.006503241996116005,0.03222884048361353,0.004887430887378747,0.011268126078239743,0.632917311446218,0.2892327628012051,0.05993704275560143,0,2.9904012643187813e-4,0.5898329422438991,0.007980436218080374,0,0,0.45735423094655614,0.18988718593103066,7.320696271814056e-4,0,0,5.376160687290575e-4,0.29787395287385265,0.008656978740883024,0.0028932854234345394,0.0036794027460032527,0.009499120538563041,0,0.0016407868874345286,0.0071804663115236644,0.0042028740872734,0.005173346414195362,0.004054693444837823,0.005087471118741961,0,0,0,0,0.001243383228690015,0.006471594541372426,0.0028370815609895074,0.020421365416441628,0,0.004189260815589501,5.153411570975871e-4,Eukaryota;Nemertea;Palaeonemertea;;Tubulanidae;Tubulanus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2790940024773161,0,0,0,0,0,0.39899577205123565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Spionida;Cirratulidae;Tharyx;Tharyx sp. CMC01
0.08737152150472169,0.05276726982340174,0.14093916871048082,0.095655851806369,0.05869478520360254,0.042870433677515744,0.049238450741911285,0.01930758072009574,0.04239445886509482,0.056162602610369254,0.07264012072737876,0,0,0,0.041966459546052944,0.017558831183513618,0,0.023666921537188794,0.03708283534787504,0.019810842632638527,0.012790425403347636,0.03051757716502057,0.02848467292964445,0.02595707069778051,0.020473743246955407,0,0.03387925607081256,0.025419278872163702,0.046382662112420196,0.010014375612980207,0.030103004593981426,0.039994114309926464,0.061480359018189594,0.0664753397880107,0.10775069807584359,0.22064182601534874,0.08255183331238451,0.1758532520044774,0.13372274643091797,0.0636266172706718,0.10103894058133417,0.06876797323988346,0.10392767627989848,0.07513044172715495,0.010550586220842519,0.014515341627889372,0.028571616583028023,0.016380260995472903,0.02084434712571117,0.017513942891979696,0.021055484468665935,0.01584469976616822,0.04273980871119111,0,0.023888191743583493,0.0748939323922217,0,0.0404996758918918,0.3080103293371653,0.055194349737557505,0.05795123037920962,0.1899484923782819,0.4351853509895036,0.2323996376797216,0.1678484544306684,0.1171526338226742,0.15211333649534325,1,0.3184867502235217,0.18128549903138066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.642168388530527e-4,3.1902160009153864e-4,0,0,0,4.405072619608798e-4,0,0,1,1.889486726573624e-4,1.927327340517785e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.283803867601081e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.856653872084157e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;;;;
0.14869559184099254,0.21286733810423947,0,0.273074651685044,0,0.1843205291139576,0.4578220824107168,0.43812172704156976,0,0.1811024476816082,0.6230677731939244,0,0,0,0.12697201167207803,0,0,0,0,0,0,0,0,0.5490413929834507,0.3252087517478528,0.4091204767204417,0.8166688073631879,0.35569735128026236,0.28308653177932575,0.6476429888789978,0.7684742134287349,0.3062928031666759,0.7096780165022222,0.41543869406659084,0.0995482991544772,0.03230152873141021,0,0.05344296838381933,0,0,0,0,0,0.023678292307456484,1,0.7773313735229838,0.7536933905893348,0.12324652915195744,0.17923966527360413,0,0.183150773017936,0.2292087196597591,0.1039112882882378,0.44423706302556926,0.13305196323321314,0.27270569104086384,0,0.5317107766754091,0,0,0.025869081188674672,0,0,0,0.06294147010594724,0,0.030910830368254247,0.17780805546297695,0.20461999563551211,0.10143308705044919,0.5747424496749673,0.33189073050951506,0.5253403266332985,0.3156192235796011,0.1382278096699065,0.459450390095996,0,0.5451128591673684,0.6702741450451081,0.16526314471138875,0.20053633583865518,0.07459770841837175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina parva
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005620456868114883,0,0,0,0,0,0,0,0,0.007317756296180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046546422833345195,0,0,0,0,0,0,0,0,0,0,0,0,0.04057233533843351,0.004204536279658405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.013188959975438858,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;;
0.562090930477711,0.4616578470152815,1,0.5966540530886523,0.5054570702405901,0.8096135951809589,0.7612874216377545,0.5260069379772769,0.4680575463184159,0.22096622851689376,0.39965628830789,0.02060871536794766,0,0,0,0,0,0.14898427493350727,0.12197136619279024,0,0.11473568536726432,0.06636508020142563,0,0.1164231134899116,0,0,0.10960749094372148,0.11823362969518983,0.1434733366023424,0.08983330993664781,0.12376698553358312,0,0.1598566932103332,0.1889952959473004,0.12887609080145587,0.12769375846853487,0.02821051014923081,0,0.18238791150036918,0.11530473993398303,0.1359544940547579,0,0.07458212086350409,0,0,0,0,0.3093433132565347,0.5445466045570223,0.23042461795788033,0.04197263647644649,0.16582283242429943,0.3560093595345081,0.26436652940470956,0.46753632410648,0.43747146968343753,0.30221995088935144,0.19029985754706244,0.05769099903159107,0.06690775015278515,0.09658373886506104,0.12296334864347211,0.1783995581836014,0.2176822273711399,0.21691909592440436,0.142399747786673,0.14482498069942015,0.608070561735191,0.2027029934550704,0.4108840756778123,0,0.06400116144018583,0,0.09902377882503044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium
