LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
0.6458638841464962,0.1629158015476223,0.08608815599022755,0.3240497972889138,0.036084307960079484,0.03515202076737281,0.07977810417010651,0.05911834179969407,0.011332815834233092,0.08874027882340683,0.14039513630242142,0,0.03085378805099779,0.013058349532999771,0,0,0.010029604224787351,0.007043694614809991,0.04611996766715805,0.21444911791299445,0.014415219985191264,0.04847316545689672,0.08288399542459819,0.02268939726529415,0.4489655263134886,0.2074550197112262,0.13872306929806566,0.36964782908270805,0.20994510140967737,0.10988978886201188,0.12097200123760367,0.19745778189437202,0.1442695693225099,0.20804928419401233,0.2235969044953851,0,0.7811027270490059,0.4412383503753854,0.08911080011770395,0,0,0.30302933027590473,0.18782187556580215,0.056393623781595,0.03900276790167386,0.2265711751790702,0.15874704874657666,0.12498947130095496,0.1922773666679751,0.07231180947634878,0.017237697912306695,0.23940004307784687,0.0843222768768286,0.03191768629714423,0.2273157818010986,0.01704290967837758,0.048804079540118096,0.05336680150665101,0.09317805876777428,0.08179137170843194,0.04418634942436328,0.047970816568997245,0,1,0.11854041300712909,0.05352271722864792,0.23342858517105247,0.09468247594629062,0.22443813241236715,0.22638092333833548,0.17980029499527977,0.18816253096259616,0.3176911963216063,0.49448807779805426,0.22067240144013672,0.08747970342814107,0.03119007704727394,0.014433828647943688,0.016986231418984157,0.010461733474240934,0.015354641008683688,0.012670733661799688,0.013342451453266593,0.00586073337781766,0.0019054976597369677,0,0,Eukaryota;;Oomycetes;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.349427024215186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22192090542094517,0,0,0.2900274117089458,0,0,0,0,0.8075036759950928,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Candacia;Candacia bispinosa
0,0,0,0,0,0,0,0,0,0,0.3797863626485682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4834246363354998,0,0,0,0.4031371992334445,0,0.4430680422021569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5384411201486452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;
0.2566300106134045,0.005036327279451971,0.001989205089037356,0,0,0.0019370225882776745,0.0010717070471973704,0.0016936814563468202,0,0.002568638387555997,0,0,0,0,0,0.0026551131100310548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033095632535019744,0,0,0.009202651262896228,0,0,0,0,0.001281829879452797,0.0014859199711098376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6161919294871205,0,0,0,0.0030090190287962843,0,1,0,0.0029749845423673545,8.021305389492241e-4,0.17055331225443138,0,0,0,0,0,0,0.001968287630491239,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;;;;
0,0.0014273473665118684,0,0.006538177078707798,7.253987460121927e-4,0.01871734073526941,0.45519435540764536,0.5394092178914429,0.0022699106645645284,0,0,4.894817635093799e-4,0,0.006191209602723903,6.778246098125924e-4,0.0025538938574609224,0.0031373754800652865,0.012102549752841207,2.404928051026607e-4,0.001022511696403662,4.8078385775125444e-4,0.1456076469784876,0.012447384042574514,0.002187389793996976,0,0.43925997974540515,0.0031953116903247736,0.0014379194172130627,0.0024980812314017433,0.0012868982924382974,0.0041549037958922685,0.0022290108465844575,0.00290592150698281,0.7715154329485737,0.006270016289230277,0.0027996120351753604,0,0.003251545221947073,1,0.012466591684882455,0.011837336030677268,0.0060768475792032485,0.029450562112122332,0.003424479185216228,0.012128788552319938,0.26981507847000014,0.2710905024122044,0.04522415931048395,0,0,3.0477718473353695e-4,0,0.39670320477395116,0.008495896472855266,0,0,0.4417739862324582,0.1793032289275311,5.91662593321282e-4,0,0,5.730044304391838e-4,0.38481852351361845,0,0.003918002834860123,0.0025617806310304385,0.0026241575816806006,0.007168631440290811,0,0.0011989765892700215,0.005320432728403371,0.003295285938592564,0.004393380804838353,0.002963737151444407,0.003961578639040471,0,0,0,0,0,0.0012052588455486533,0.006446071623301995,0.0026331980232353813,0.022853259371776295,0,0.004234010796813082,5.432915265546257e-4,Eukaryota;Nemertea;Palaeonemertea;;Tubulanidae;Tubulanus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5291851350062174,0,0,0,0,0,0.6540613418676008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Spionida;Cirratulidae;Tharyx;Tharyx sp. CMC01
0.004728896250152449,0.0014331877023903011,0.0010416536005838845,0.00292824198278058,4.04648272151415e-4,4.4330802942751436e-4,6.73616327229579e-4,2.856124138281319e-4,1.955747931822262e-4,0.001028754930573967,0.0011909867208744,0,0,3.9470110663441014e-4,3.0248804116654756e-4,3.6633481855905816e-4,1.8149374203920934e-4,0,7.819250037607239e-4,7.605152218766027e-4,1.9310044032820552e-4,1,5.531757904466731e-4,4.2299881995915115e-4,0.0014049005004570369,5.907017649864441e-4,0,0.0011512677605534016,6.688807288102619e-4,7.806823846871512e-4,1.517056213274771e-4,7.460437939566027e-4,6.669284080996392e-4,0.001034245381517819,0.0012191617965902454,0,0.005831898807606653,0.00578344804559524,0.001009492526111121,0,0,0.0026334943977346322,0.0021181913574407464,0.0015759751642397744,9.122409299542572e-4,0.002493789823173503,0.0015440014439534605,0.00169139304192519,5.710399310598708e-4,4.2621025531826973e-4,3.264258710032687e-4,8.86565249911828e-4,5.40836947155477e-4,1.6677731146831344e-4,9.662114477630444e-4,1.488177163128793e-4,8.754694514839794e-4,0,4.840680561604091e-4,8.55180910726929e-4,0,3.835660108104309e-4,0,0.016670751136364587,0.0019407902487838817,9.868429510768916e-4,0.004605131723329785,0.009794759828761183,0.004211612186131425,0.0039460592762325265,0.0035614683744326354,0.0032363145912111336,0.018614198206406366,0.007484748839797462,0.0038976986939733256,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;;;;
0.14869559184099254,0.10682123402971623,0,0.15444964721092447,0,0.03521531211287847,0.11572177185824423,0.11974410000343295,0,0.0612913429764786,0.18874513384820887,0,0,0,0,0.020478303707845643,0,0,0,0,0,0,0,0,0.5490413929834507,0.1733577864823252,0.10816494559780852,0.5127416049991038,0.17293233353535906,0.08803351230087172,0.18126901634400724,0.35187943744198324,0.09436914895233202,0.22057620501547548,0.1407725042514585,0,0.0995482991544772,0.015643437266659083,0,0,0,0.014787088759592589,0,0,0,0,0,0.009848930838882131,1,0.4217090710203954,0.15909428447111848,0.12324652915195744,0.08592554446104687,0,0.15528367794647593,0.03977515396415575,0.026217423251360544,0.11953593228544987,0.049814359180859885,0.05753282212119302,0,0.09304095158200944,0,0,0,0.008139102145807202,0,0,0,0.027339669068426775,0,0.012150781842074484,0.06092399773339,0.08884726145433106,0.04029349629727569,0.5747424496749673,0.16288844790584697,0.05542929777424212,0.10684497296620749,0.02404843937942142,0.11471131928544222,0,0.15348400129501957,0.08965359992984304,0.02825214202843613,0.04365033354377222,0.013722543667221724,Eukaryota;NA;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina parva
0,0,0.00708076220812897,0,0,0,0,0,0,0,0,0.010677036407495271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03681659435947797,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01953433311575636,0.004450760877529415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.011599151371393578,0,0,0,0,0,0,0,0.00566447641617216,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Bugulidae;;
1,0.4121565493803785,0.24293783043079656,0.6003735483278635,0.1145423221161934,0.275187718666864,0.34234218213922724,0.25576683413995926,0.07097519101124264,0.13304364742799565,0.2153875258370571,0,0.03666437981917389,0,0,0,0,0,0.09041531098825234,0.08222358367967496,0,0.03240110038860086,0.027184977300429472,0,0.20712505250879196,0,0,0.12242954878257285,0.10226570464499847,0.07937677356849597,0.04473204297828992,0.10082374513446292,0,0.08839374926661712,0.1139345152900713,0,0.22927979053482753,0.11002014179937404,0.011339420490597534,0,0,0,0.09496410712919752,0.09387743830681916,0.04034761546230005,0,0.03642124179452988,0,0,0,0,0.5503438971940525,0.46442612847194137,0.0721249375734972,0.06331064308663759,0.051193931781079366,0.1598019645311361,0.12655624355771342,0.31141680223403423,0.16419677912550146,0.11683534267814193,0.059242116545917434,0,0.10263641682060326,0.07733283680696561,0.05406210237960192,0.09799082697425653,0.1319826466037379,0.12966997720167128,0.16762839193469656,0.14229504926493622,0.10128157658755575,0.3706673742435186,0.1565847846618779,0.29038089670646094,0,0.05588257884073745,0,0.05963806772330708,0,0,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium
