sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,0.6903425335261051,0.6930115177874231,1,0.9805071651089865,0.8137889761036101,0.6737340583858422,0.6179544864658939
Archaea;Euryarchaeota;Methanococci;Methanococcales;;;,0,0,0,0,0,1,0
Bacteria;;;;;;,0,1,0.3222530308698895,0.47491459772734235,0.7160036596117136,0.4486998741178915,0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithiomicrobium;,0,0,1,0,0,0,0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei,0,0,0,1,0,0,0
Bacteria;Chloroflexi;Ardenticatenia;Ardenticatenales;Ardenticatenaceae;Candidatus Promineofilum;Candidatus Promineofilum breve,1,0,0,0,0,0,0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;NA;NA;Victivallales bacterium CCUG 44730,0.7609108813976625,0,1,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;;,1,0.47056226899942355,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;;;;,0,1,0,0,0.3543186834086773,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;;;,0.15410902654933709,0,0,0,1,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;NA;Candidatus Fonsibacter;Candidatus Fonsibacter ubiquis,0.775319889457285,0.3186343112518797,0.6377623083321379,1,0.774419869015547,0.6839741028665516,0.7468413577392891
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,1,0,0.5736649943895485,0.34585709273069604,0.8626133777695953,0.5663947304147515,0.8277778505280431
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;,0.4955317024733592,0.47292545363224786,0.2476526988138276,0.6517387545464596,0.25134948612214425,1,0.42170497651903444
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,0.3771744422647206,1,0.5932643288996096,0.6582929610633323,0.464273062391612,0.38161198072580005,0.7404270396819016
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,0.20450690857709788,1,0.4135181537284348,0.39929113624766616,0.16591591078571608,0.1331587608074199,0.41823932953615417
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,0.6001178129290646,0.17750404553757682,0.2726591327753199,1,0.27320959049306925,0.6505754269911856,0.33917006270173194
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,0.5350015854265208,1,0.5851230631701163,0.7360082422969725,0.5489599875706385,0.5642094459644235,0.6681470045630883
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,0.6081759553557696,0.9782159784243493,0.6804342088282292,0.757221120470121,0.6850696026036996,0.6177065039074442,1
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;;,1,0,0,0,0,0,0
Eukaryota;;;;;;,0.5060136872462798,0.9248423961576845,0.8703530291321531,1,0.5353553132414341,0.9806161742233789,0.34986292391208085
Eukaryota;;;;Paramoebidae;;,0,0,0,0,0,1,0
Eukaryota;;;;Paramoebidae;Cunea;Cunea profundata,0,0.7543160985434353,0,0.21168474747669005,0,1,0
Eukaryota;;;;Vannellidae;Ripella;,0.717533107383779,0,0.7072442301644385,0,0,0.2461888381536399,1
Eukaryota;;;;Vexilliferidae;Pseudoparamoeba;Pseudoparamoeba pagei,0,0,0,1,0,0,0
Eukaryota;;;;Vexilliferidae;Vexillifera;Vexillifera abyssalis,0,0,1,0.8289742395921432,0,0.8354302323984445,0
Eukaryota;;;Himatismenida;;Parvamoeba;Parvamoeba rugata,0,1,0,0,0,0.49997985973136483,0
Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium gallicum,0,0,0,1,0,0,0
Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus,0,0,0,0,0,1,0
Eukaryota;;;Longamoebia;Acanthamoebidae;Acanthamoeba;,0,0,1,0,0,0,0
Eukaryota;;Chlorarachniophyceae;;;Bigelowiella;Bigelowiella natans,0.2608837307649129,0,1,0,0.2856687278631598,0,0.37531276565765315
Eukaryota;;Chrysophyceae;;;;,0.4039925605613397,0.38324897040856815,0.5873082329336812,0.6760391136980122,0.283119019810669,1,0
Eukaryota;;Dictyochophyceae;Florenciellales;;Pseudochattonella;Pseudochattonella farcimen,0.42655442110467506,0.18070811284119737,1,0.026623990176681968,0.6303401343117356,0.10434408417628582,0.2211963466292342
Eukaryota;;Dinophyceae;;;;,0.49928301811076403,0.3198773005927337,1,0.4240124734051101,0.47877795375836996,0.37824439772575946,0.3274763660828466
Eukaryota;;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;,0.6561215856011282,0.25322703869523683,0.8855078485385505,0.2931367169631092,1,0.3348089310034883,0.7983682853406376
Eukaryota;;Dinophyceae;Gonyaulacales;;;,0.8667281256470123,0,0.9210341261371803,0.1296653882993056,0.8654796639195056,0.1960128197726992,1
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;;,0.423847681571973,0,0.2992029161874526,0,0.2351515520267205,0,1
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium;,1,0.750890952791296,0.888724048575858,0.7434429430973091,0.7579563132671169,0.6516616294219962,0.8025451131400397
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;,0.5313731289680984,0.588766737367927,0.8605394170525805,0.5452471405530414,0.6991289418151153,0,1
Eukaryota;;Dinophyceae;Gymnodiniales;;;,0.3640011918231432,0.46878062055922204,0.5413197465746591,0.4412859703877413,0.23495404791281718,1,0.11024414560808111
Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;,0.8314045842215767,0.4002816313365521,0.5397910562958464,1,0.6070786963383229,0.6436093632227688,0.5075849209091076
Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium polykrikoides,0,0,0.5319946863408147,0,0,1,0
Eukaryota;;Dinophyceae;Gymnodiniales;Kareniaceae;;,1,0.11515727799484997,0.6905997323905015,0.13193509715719035,0.5436640793557488,0.1837392455412131,0.1437674977289268
Eukaryota;;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia;,0.46776095635712117,0.3512404100628945,0.8610694107246879,0.21685195746578823,0.24181885638218775,0,1
Eukaryota;;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum,0.8811787040585854,0,0.7599753646264824,1,0,0.9271648949968813,0
Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;,1,0.6778820116701987,0.9311235785799737,0.4551666651720805,0.6247332142024808,0.26212084057164753,0.5516766975876937
Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans,0,0,1,0,0,0,0
Eukaryota;;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;,0.578812550806769,0,1,0,0.6855993819415354,0,0.6736382973342492
Eukaryota;;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Scrippsiella;,0,1,0,0,0,0,0
Eukaryota;;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis gaditana,0,0,1,0,0,0,0
Eukaryota;;Haptophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,1,0.41559790384812023,0.6919597013808533,0,0.7391023202504922,0.9870940623293801,0.8036157598024251
Eukaryota;;Haptophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;,0,0,0,0,0,1,0
Eukaryota;;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. CCMP291,0.40880724119894096,0.3397496930262806,1,0.4235492330778558,0.23795273336205397,0.23912188236106835,0.21890877655507035
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;,0.14870224127110862,0,0.06979522124004858,0,0.9407929469524936,1,0.8378773804598307
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;Thraustochytrium aureum,1,0,0.5348546776443782,0,0.7884783301001225,0.2553335815107645,0.986960792433917
Eukaryota;;Oomycetes;;;;,0.3786550903035222,0.6544647707080948,0.6454854152864553,1,0.2880640399587624,0.6292698306332553,0.22947588409683276
Eukaryota;;Oomycetes;Lagenidiales;;Paralagenidium;Paralagenidium karlingii,0,0,0,0,0.7880146051396955,1,0
Eukaryota;;Oomycetes;Peronosporales;;;,0,1,0,0,0,0,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;;,0.23326657325931044,0.27629018129377864,0.48788264995944486,1,0.07199049951694844,0.0187398581902891,0.049109582632515233
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Nothophytophthora;Nothophytophthora vietnamensis,1,0,0,0,0,0.8395968944971612,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;,0.385006419382568,0.33223986215306633,0.4827638956688431,0.8855433544293072,0.3424448047598808,1,0.18638318715285715
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora bisheria,0,0,0,0,0.5173819493508444,0,1
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora cryptogea,0,0,0,0,0,1,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora fallax,0.41400055808433656,0.5259952133438212,0.8841388963334564,0.9321345414456524,0.40296201399188974,1,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora multivora,0,0,0,0,0,1,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora riparia,0.46368006835170056,0,1,0.6631793916737144,0.6110136679295362,0.5848011626789111,0
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;;,0.27367214893966346,0,1,0,0,0.1825309751458786,0.2943629534569828
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Phytopythium;,0,0,0,0,0,0,1
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Phytopythium;Phytopythium sp. SL-2017a,0,0,1,0,0.5386346383951834,0,0
