sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
;;;;;;,45,12,62,44,109,50,7
Archaea;Euryarchaeota;Methanococci;Methanococcales;;;,0,0,0,0,0,2,0
Bacteria;;;;;;,0,13,6,8,9,15,0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithiomicrobium;,0,0,3,0,0,0,0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei,0,0,0,29,0,0,0
Bacteria;Chloroflexi;Ardenticatenia;Ardenticatenales;Ardenticatenaceae;Candidatus Promineofilum;Candidatus Promineofilum breve,15,0,0,0,0,0,0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;NA;NA;Victivallales bacterium CCUG 44730,3,0,3,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;;,8,2,0,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;;;;,0,18,0,0,37,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;;;,3,0,0,0,40,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;NA;Candidatus Fonsibacter;Candidatus Fonsibacter ubiquis,229,5,43,61,188,184,46
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;;,126,0,11,6,67,13,58
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;,71,42,9,75,37,87,7
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321,64417,85720,67570,69218,147166,57817,96048
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39,7721,12787,9652,9859,11021,5094,7546
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS40,350,10,22,292,253,377,100
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter ubique,3159,1552,1522,2110,5749,3194,2165
Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;NA;alpha proteobacterium HIMB5,2280,835,1294,1551,4649,2377,2275
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;;,3,0,0,0,0,0,0
Eukaryota;;;;;;,40885,13588,59245,32859,42492,79636,8305
Eukaryota;;;;Paramoebidae;;,0,0,0,0,0,3,0
Eukaryota;;;;Paramoebidae;Cunea;Cunea profundata,0,11,0,4,0,50,0
Eukaryota;;;;Vannellidae;Ripella;,16,0,60,0,0,5,31
Eukaryota;;;;Vexilliferidae;Pseudoparamoeba;Pseudoparamoeba pagei,0,0,0,5,0,0,0
Eukaryota;;;;Vexilliferidae;Vexillifera;Vexillifera abyssalis,0,0,8,3,0,4,0
Eukaryota;;;Himatismenida;;Parvamoeba;Parvamoeba rugata,0,7,0,0,0,12,0
Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium gallicum,0,0,0,4,0,0,0
Eukaryota;;;Himatismenida;Cochliopodiidae;Cochliopodium;Cochliopodium minus,0,0,0,0,0,200,0
Eukaryota;;;Longamoebia;Acanthamoebidae;Acanthamoeba;,0,0,6,0,0,0,0
Eukaryota;;Chlorarachniophyceae;;;Bigelowiella;Bigelowiella natans,4,0,35,0,9,0,4
Eukaryota;;Chrysophyceae;;;;,125,21,169,128,50,501,0
Eukaryota;;Dictyochophyceae;Florenciellales;;Pseudochattonella;Pseudochattonella farcimen,1152,165,2055,9,2226,140,302
Eukaryota;;Dinophyceae;;;;,7262,949,10178,2047,6899,4116,1685
Eukaryota;;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;,1229,24,601,18,2291,136,594
Eukaryota;;Dinophyceae;Gonyaulacales;;;,1204,0,1582,31,1544,31,1207
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;;,100,0,94,0,114,0,164
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium;,3186,41,1112,263,2481,244,344
Eukaryota;;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;,344,90,471,135,465,0,50
Eukaryota;;Dinophyceae;Gymnodiniales;;;,57,26,43,111,63,1141,8
Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;;,10745,767,5370,2276,10404,3788,2386
Eukaryota;;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Margalefidinium;Margalefidinium polykrikoides,0,0,4,0,0,9,0
Eukaryota;;Dinophyceae;Gymnodiniales;Kareniaceae;;,10062,162,5844,481,7395,709,688
Eukaryota;;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia;,752,360,1264,72,679,0,1341
Eukaryota;;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium cf. depressum,64,0,21,100,0,92,0
Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;,3619,531,2754,42,2753,32,1028
Eukaryota;;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans,0,0,37,0,0,0,0
Eukaryota;;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;,89,0,234,0,352,0,144
Eukaryota;;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Scrippsiella;,0,357,0,0,0,0,0
Eukaryota;;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis gaditana,0,0,46,0,0,0,0
Eukaryota;;Haptophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,1678,39,186,0,1073,794,148
Eukaryota;;Haptophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;,0,0,0,0,0,39,0
Eukaryota;;Haptophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. CCMP291,687,91,1982,147,493,183,179
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;,4,0,10,0,26,49,47
Eukaryota;;Labyrinthulomycetes;;Thraustochytriaceae;Thraustochytrium;Thraustochytrium aureum,86,0,35,0,418,20,59
Eukaryota;;Oomycetes;;;;,6445,1860,8957,8537,3850,15051,543
Eukaryota;;Oomycetes;Lagenidiales;;Paralagenidium;Paralagenidium karlingii,0,0,0,0,16,36,0
Eukaryota;;Oomycetes;Peronosporales;;;,0,9,0,0,0,0,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;;,164,86,261,242,26,2,4
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Nothophytophthora;Nothophytophthora vietnamensis,17,0,0,0,0,13,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;,5674,1951,5752,7019,5185,11745,1432
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora bisheria,0,0,0,0,13,0,17
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora cryptogea,0,0,0,0,0,82,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora fallax,20,18,65,62,60,176,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora multivora,0,0,0,0,0,11,0
Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora riparia,65,0,120,16,11,28,0
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;;,107,0,119,0,0,78,16
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Phytopythium;,0,0,0,0,0,0,3
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Phytopythium;Phytopythium sp. SL-2017a,0,0,11,0,8,0,0
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Pythium;,161,15,339,632,354,1246,76
Eukaryota;;Oomycetes;Pythiales;Pythiaceae;Pythium;Pythium irregulare,0,0,0,0,20,0,0
Eukaryota;;Oomycetes;Saprolegniales;Saprolegniaceae;;,0,0,33,0,2,0,0
Eukaryota;;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia diclina,0,0,16,0,0,0,0
Eukaryota;;Oomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia turfosa,83,11,203,88,14,83,0
Eukaryota;;Oomycetes;Saprolegniales;Saprolegniaceae;Thraustotheca;Thraustotheca clavata,0,0,4,8,0,11,0
Eukaryota;;Phaeophyceae;;;;,826,259,1712,420,908,1196,319
