LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
0.6435092389392868,0.16249798316467606,0.08652328326260048,0.31450043680766226,0.03618328906305701,0.031559626303481476,0.07981011298038385,0.05725435478730328,0.011400824656194984,0.08899282444323883,0.14101188500160153,0,0.031000002654292997,0.013074236837054191,0,0,0.010076735162000111,0.007032847282557577,0.04610850432346273,0.2151439698900483,0.014465240316061634,0.04864799186081796,0.08329768128634701,0.022660342072580424,0.4367739948049809,0.20758025189641063,0.13604443016083556,0.3688839086532641,0.2073957683584087,0.10885423181467256,0.10845057558505908,0.19735229416731806,0.14480591381427976,0.2072873812440967,0.2191400897808447,0,0.7815999345566399,0.4264329489696955,0.08962299983169428,0,0,0.30418547603491414,0.18876290272721605,0.05671743863245834,0.03909374531193375,0.22236360784200904,0.1588412474126036,0.12529631754802134,0.19333497831496071,0.07272525138975465,0.016042655174695407,0.23390066648371785,0.08433707873806723,0.031889778304280185,0.224491289576165,0.016976774441554342,0.04889395204108102,0.0491249019120455,0.0907801082272427,0.08227975729557246,0.0433494131257938,0.04825599443371081,0,1,0.11829524710750136,0.05331799788977975,0.22912995306321596,0.09140818670699585,0.22302125311856189,0.22175740198792787,0.18066454770273435,0.18255029126240252,0.31831366008102785,0.49468357034968086,0.21877945120448028,0.08097759596929921,0.031336879014144524,0.0145161431192513,0.016902219549088993,0.010446591404229003,0.015384540159624881,0.012536211501883443,0.01338897661635403,0.005877656574204315,0.0019151254778867243,0,0,Eukaryota;;Oomycetes;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44354148646260594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Eunicida;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.35053705795930906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22093144597443173,0,0,0.2880131334022318,0,0,0,0,0.807309028154834,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Candacia;Candacia bispinosa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;NA;Chrysophyceae;NA;NA;Segregatospumella;Segregatospumella sp.
0,0,0,0,0,0,0,0,0.09083667661232488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6132302739834016,0,0,0,0,0,0,0,0.624311172606603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5296039426995889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Eukaryota;Mollusca;Bivalvia;Veneroida;Cardiidae;Laevicardium;Laevicardium serratum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Thelepus;
0,0,0,0,0,0,0,0,0,0,0.39210216798325004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4873231896733721,0,0,0,0.3714976685371058,0,0.4571284086046602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542987136203455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Apolemiidae;Apolemia;
0.25447123068963495,0.004999380269358671,0.001989695460880955,0,0,0.0017307474601400848,0.001067008212994247,0.0016324334119678582,0,0.002563625791096446,0,0,0,0,0,0.002659321452036123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03312663182431276,0,0,0.009193570999458025,0,0,0,0,0.0012764549195781218,0.0014824421607097893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6119759109533413,0,0,0,0.002975719572394238,0,1,0,0.0029665540913886494,7.986089527893588e-4,0.16828140421743346,0,0,0,0,0,0,0.001938074973317285,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Ascidiacea;Enterogona;Ascidiidae;Ascidia;Ascidia zara
0,0.0014155503142534082,0,0.0063092399470847885,7.232314916579553e-4,0.016708465611943033,0.4527744886596818,0.5194162247317674,0.0022704820203334397,0,0,4.790395446694739e-4,0,0.006163315966701109,6.763612122128651e-4,0.002555548092828813,0.003134104071083788,0.01201485162173076,2.390589432205626e-4,0.0010199621722698736,4.7969492455627916e-4,0.14529764884457994,0.012438018264800559,0.0021721036759884817,0,0.43701323605377423,0.003115703856367632,0.001426746993748537,0.002453644097804998,0.0012674857045192201,0.003703555313222315,0.002215087946051707,0.002900055499982439,0.7642969450373903,0.0061099208505377145,0.002769181110014308,0,0.0031244830048845814,1,0.012465894555369495,0.011845003436222079,0.006065170558203602,0.029428960991093864,0.003424459266755821,0.01208760173420457,0.26329107499146853,0.2697011499158259,0.04507609083646971,0,0,2.820267502628635e-4,0,0.39450526602527297,0.008439955884083061,0,0,0.4400581024010913,0.16410790412249482,5.731417130577418e-4,0,0,5.731166231724292e-4,0.3772402813026501,0,0.0038875543384882983,0.0025373973629740343,0.002561112207613752,0.006881175066413111,0,0.001167776867701794,0.005315453965872171,0.00317872791680093,0.004376831337113107,0.002947964249780729,0.0039051494185606216,0,0,0,0,0,0.001200704247673515,0.006341186727825716,0.0026272786640798196,0.02278826483766381,0,0.004098178790374901,5.277101712845149e-4,Eukaryota;Nemertea;Palaeonemertea;;Tubulanidae;Tubulanus;
