"","seq_number","sum.taxonomy"
"1","merged_CO1_1",""
"2","merged_CO1_2",""
"3","merged_CO1_3","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"4","merged_CO1_4",""
"5","merged_CO1_5",""
"6","merged_CO1_6","Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla"
"7","merged_CO1_7","Eukaryota;Annelida;Polychaeta;Eunicida;Dorvilleidae;Schistomeringos;Schistomeringos longicornis"
"8","merged_CO1_8","Eukaryota;Annelida;Clitellata;Haplotaxida;;;"
"9","merged_CO1_9",""
"10","merged_CO1_10",""
"11","merged_CO1_11",""
"12","merged_CO1_12","Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Fibrocapsa;Fibrocapsa japonica"
"13","merged_CO1_13",""
"14","merged_CO1_14","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"15","merged_CO1_15",""
"16","merged_CO1_16",""
"17","merged_CO1_17","Eukaryota;;;;;;"
"18","merged_CO1_19",""
"19","merged_CO1_20",""
"20","merged_CO1_21","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"21","merged_CO1_23","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"22","merged_CO1_24",""
"23","merged_CO1_25","Eukaryota;Bacillariophyta;;;;;"
"24","merged_CO1_26","Eukaryota;;Oomycetes;Peronosporales;Peronosporaceae;Phytophthora;"
"25","merged_CO1_28","Eukaryota;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;Acartia californiensis"
"26","merged_CO1_29","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. HIMB1321"
"27","merged_CO1_30","Eukaryota;Echinodermata;Crinoidea;Comatulida;Aporometridae;Aporometra;Aporometra wilsoni"
"28","merged_CO1_32",""
"29","merged_CO1_33",""
"30","merged_CO1_35",""
"31","merged_CO1_36",""
"32","merged_CO1_37",""
"33","merged_CO1_38",""
"34","merged_CO1_39",""
"35","merged_CO1_42",""
"36","merged_CO1_43","Eukaryota;;Dinophyceae;Gymnodiniales;Kareniaceae;;"
"37","merged_CO1_45",""
"38","merged_CO1_46","Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;Stephanodiscus;"
"39","merged_CO1_50",""
"40","merged_CO1_51",""
"41","merged_CO1_52",""
"42","merged_CO1_53","Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter;Candidatus Pelagibacter sp. RS39"
"43","merged_CO1_54","Eukaryota;Chordata;Ascidiacea;Enterogona;Ascidiidae;Ascidia;Ascidia ahodori"
