Seq_number	New_name	Site	Bio_rep	Site_station	Station	Tech_rep	Replicate_per_station	k	k_station	Time_passed_h	Start_volume_mL	End_volume_mL	Volume_filtered_mL	Latitude	Longitude	Salinity	DO_mg_l	pH	CTD_depth	Sample_control	Control_Type
LA3.1.R1.S1.L001	LA3_1_1	LA3	1	LA3_1	S1	1	1	12	3	40	1000	100	900	33.70846667	-118.2739833	34.33	7.18	7.61	6.1	Sample	NA
LA3.1.R2.S2.L001	LA3_1_2	LA3	1	LA3_1	S1	2	2	12	3	41	1000	10	990	33.70846667	-118.2739833	34.33	7.18	7.61	6.1	Sample	NA
LA3.1.R3.S3.L001	LA3_1_3	LA3	1	LA3_1	S1	3	3	12	3	41	1000	200	800	33.70846667	-118.2739833	34.33	7.18	7.61	6.1	Sample	NA
LA3.2.R1.S4.L001	LA3_2_1	LA3	2	LA3_2	S1	1	4	12	3	40	1000	50	950	33.7082	-118.2711833	34.36	8.11	8.09	4	Sample	NA
LA3.2.R2.S5.L001	LA3_2_2	LA3	2	LA3_2	S1	2	5	12	3	40	1000	120	880	33.7082	-118.2711833	34.36	8.11	8.09	4	Sample	NA
LA3.2.R3.S6.L001	LA3_2_3	LA3	2	LA3_2	S1	3	6	12	3	40	1000	20	980	33.7082	-118.2711833	34.36	8.11	8.09	4	Sample	NA
LA3.3.R1.S7.L001	LA3_3_1	LA3	3	LA3_3	S1	1	7	12	3	42	1000	90	910	33.70816667	-118.2684167	34.36	7.29	8.17	3.81	Sample	NA
LA3.3.R2.S8.L001	LA3_3_2	LA3	3	LA3_3	S1	2	8	12	3	40	1000	150	850	33.70816667	-118.2684167	34.36	7.29	8.17	3.81	Sample	NA
LA3.3.R3.S9.L001	LA3_3_3	LA3	3	LA3_3	S1	3	9	12	3	40	1000	0	1000	33.70816667	-118.2684167	34.36	7.29	8.17	3.81	Sample	NA
LA3.4.R1.S10.L001	LA3_4_1	LA3	4	LA3_4	S1	1	10	12	3	40	1000	150	850	33.70801667	-118.2653	34.36	6.82	8.18	5.3	Sample	NA
LA3.4.R2.S11.L001	LA3_4_2	LA3	4	LA3_4	S1	2	11	12	3	40	1000	110	890	33.70801667	-118.2653	34.36	6.82	8.18	5.3	Sample	NA
LA3.4.R3.S8.L001	LA3_4_3	LA3	4	LA3_4	S1	3	12	12	3	40	900	10	890	33.70801667	-118.2653	34.36	6.82	8.18	5.3	Sample	NA
LA3.4.R3.S12.L001	LA3_4_3	LA3	4	LA3_4	S1	3	12	12	3	40	900	10	890	33.70801667	-118.2653	34.36	6.82	8.18	5.3	Sample	NA
