fishcard_12S_all_elas_LA11_1_1,fishcard_12S_all_elas_LA11_1_2,fishcard_12S_all_elas_LA11_1_3,fishcard_12S_all_elas_LA11_2_1,fishcard_12S_all_elas_LA11_2_2,fishcard_12S_all_elas_LA11_2_3,fishcard_12S_all_elas_LA11_3_1,fishcard_12S_all_elas_LA11_3_2,fishcard_12S_all_elas_LA11_3_3,fishcard_12S_all_elas_LA11_4_1,fishcard_12S_all_elas_LA11_4_2,fishcard_12S_all_elas_LA11_4_3,fishcard_12S_all_elas_LA14_1_1,fishcard_12S_all_elas_LA14_1_2,fishcard_12S_all_elas_LA14_1_3,fishcard_12S_all_elas_LA14_2_1,fishcard_12S_all_elas_LA14_2_2,fishcard_12S_all_elas_LA14_2_3,fishcard_12S_all_elas_LA14_3_1,fishcard_12S_all_elas_LA14_3_2,fishcard_12S_all_elas_LA14_3_3,fishcard_12S_all_elas_LA14_4_1,fishcard_12S_all_elas_LA14_4_2,fishcard_12S_all_elas_LA14_4_3,fishcard_12S_all_elas_LA3_1_1,fishcard_12S_all_elas_LA3_1_2,fishcard_12S_all_elas_LA3_1_3,fishcard_12S_all_elas_LA3_2_1,fishcard_12S_all_elas_LA3_2_2,fishcard_12S_all_elas_LA3_2_3,fishcard_12S_all_elas_LA3_3_1,fishcard_12S_all_elas_LA3_3_2,fishcard_12S_all_elas_LA3_3_3,fishcard_12S_all_elas_LA3_4_1,fishcard_12S_all_elas_LA3_4_2,fishcard_12S_all_elas_LA3_4_3,fishcard_12S_all_elas_LA6_1_1,fishcard_12S_all_elas_LA6_1_2,fishcard_12S_all_elas_LA6_1_3,fishcard_12S_all_elas_LA6_2_1,fishcard_12S_all_elas_LA6_2_2,fishcard_12S_all_elas_LA6_2_3,fishcard_12S_all_elas_LA6_3_1,fishcard_12S_all_elas_LA6_3_2,fishcard_12S_all_elas_LA6_3_3,fishcard_12S_all_elas_LA6_4_1,fishcard_12S_all_elas_LA6_4_2,fishcard_12S_all_elas_LA6_4_3,fishcard_12S_all_elas_LB1_0_1,fishcard_12S_all_elas_LB1_0_2,fishcard_12S_all_elas_LB1_1_1,fishcard_12S_all_elas_LB1_1_2,fishcard_12S_all_elas_LB1_2_1,fishcard_12S_all_elas_LB1_2_2,fishcard_12S_all_elas_LB1_2_3,fishcard_12S_all_elas_LB1_3_1,fishcard_12S_all_elas_LB1_3_2,fishcard_12S_all_elas_LB1_3_3,fishcard_12S_all_elas_LB1_4_1,fishcard_12S_all_elas_LB1_4_2,fishcard_12S_all_elas_LB1_4_3,fishcard_12S_all_elas_LB14_1_1,fishcard_12S_all_elas_LB14_1_2,fishcard_12S_all_elas_LB14_1_3,fishcard_12S_all_elas_LB14_2_1,fishcard_12S_all_elas_LB14_2_2,fishcard_12S_all_elas_LB14_2_3,fishcard_12S_all_elas_LB14_3_1,fishcard_12S_all_elas_LB14_3_2,fishcard_12S_all_elas_LB14_3_3,fishcard_12S_all_elas_LB14_4_1,fishcard_12S_all_elas_LB14_4_2,fishcard_12S_all_elas_LB14_4_3,fishcard_12S_all_elas_LB2_1_1,fishcard_12S_all_elas_LB2_1_2,fishcard_12S_all_elas_LB2_1_3,fishcard_12S_all_elas_LB2_2_1,fishcard_12S_all_elas_LB2_2_2,fishcard_12S_all_elas_LB2_2_3,fishcard_12S_all_elas_LB2_3_1,fishcard_12S_all_elas_LB2_3_2,fishcard_12S_all_elas_LB2_3_3,fishcard_12S_all_elas_LB2_4_1,fishcard_12S_all_elas_LB2_4_2,fishcard_12S_all_elas_LB2_4_3,fishcard_12S_all_miu_LA11_1_1,fishcard_12S_all_miu_LA11_1_2,fishcard_12S_all_miu_LA11_1_3,fishcard_12S_all_miu_LA11_2_1,fishcard_12S_all_miu_LA11_2_2,fishcard_12S_all_miu_LA11_2_3,fishcard_12S_all_miu_LA11_3_1,fishcard_12S_all_miu_LA11_3_2,fishcard_12S_all_miu_LA11_3_3,fishcard_12S_all_miu_LA11_4_1,fishcard_12S_all_miu_LA11_4_2,fishcard_12S_all_miu_LA11_4_3,fishcard_12S_all_miu_LA14_1_1,fishcard_12S_all_miu_LA14_1_2,fishcard_12S_all_miu_LA14_1_3,fishcard_12S_all_miu_LA14_2_1,fishcard_12S_all_miu_LA14_2_2,fishcard_12S_all_miu_LA14_2_3,fishcard_12S_all_miu_LA14_3_1,fishcard_12S_all_miu_LA14_3_2,fishcard_12S_all_miu_LA14_3_3,fishcard_12S_all_miu_LA14_4_1,fishcard_12S_all_miu_LA14_4_2,fishcard_12S_all_miu_LA14_4_3,fishcard_12S_all_miu_LA3_1_1,fishcard_12S_all_miu_LA3_1_2,fishcard_12S_all_miu_LA3_1_3,fishcard_12S_all_miu_LA3_2_1,fishcard_12S_all_miu_LA3_2_2,fishcard_12S_all_miu_LA3_2_3,fishcard_12S_all_miu_LA3_3_1,fishcard_12S_all_miu_LA3_3_2,fishcard_12S_all_miu_LA3_3_3,fishcard_12S_all_miu_LA3_4_1,fishcard_12S_all_miu_LA3_4_2,fishcard_12S_all_miu_LA3_4_3,fishcard_12S_all_miu_LA6_1_1,fishcard_12S_all_miu_LA6_1_2,fishcard_12S_all_miu_LA6_1_3,fishcard_12S_all_miu_LA6_2_1,fishcard_12S_all_miu_LA6_2_2,fishcard_12S_all_miu_LA6_2_3,fishcard_12S_all_miu_LA6_3_1,fishcard_12S_all_miu_LA6_3_2,fishcard_12S_all_miu_LA6_3_3,fishcard_12S_all_miu_LA6_4_1,fishcard_12S_all_miu_LA6_4_2,fishcard_12S_all_miu_LA6_4_3,fishcard_12S_all_miu_LB1_0_1,fishcard_12S_all_miu_LB1_0_2,fishcard_12S_all_miu_LB1_0_3,fishcard_12S_all_miu_LB1_1_1,fishcard_12S_all_miu_LB1_1_2,fishcard_12S_all_miu_LB1_2_1,fishcard_12S_all_miu_LB1_2_2,fishcard_12S_all_miu_LB1_2_3,fishcard_12S_all_miu_LB1_3_1,fishcard_12S_all_miu_LB1_3_2,fishcard_12S_all_miu_LB1_3_3,fishcard_12S_all_miu_LB1_4_1,fishcard_12S_all_miu_LB1_4_2,fishcard_12S_all_miu_LB1_4_3,fishcard_12S_all_miu_LB14_1_1,fishcard_12S_all_miu_LB14_1_2,fishcard_12S_all_miu_LB14_1_3,fishcard_12S_all_miu_LB14_2_1,fishcard_12S_all_miu_LB14_2_2,fishcard_12S_all_miu_LB14_2_3,fishcard_12S_all_miu_LB14_3_1,fishcard_12S_all_miu_LB14_3_2,fishcard_12S_all_miu_LB14_3_3,fishcard_12S_all_miu_LB14_4_1,fishcard_12S_all_miu_LB14_4_2,fishcard_12S_all_miu_LB14_4_3,fishcard_12S_all_miu_LB2_1_1,fishcard_12S_all_miu_LB2_1_2,fishcard_12S_all_miu_LB2_1_3,fishcard_12S_all_miu_LB2_2_1,fishcard_12S_all_miu_LB2_2_2,fishcard_12S_all_miu_LB2_2_3,fishcard_12S_all_miu_LB2_3_1,fishcard_12S_all_miu_LB2_3_2,fishcard_12S_all_miu_LB2_3_3,fishcard_12S_all_miu_LB2_4_1,fishcard_12S_all_miu_LB2_4_2,fishcard_12S_all_miu_LB2_4_3,sum.taxonomy
0.13459870517862146,0.2686684410036376,0.0798610283237396,0.4124967018995432,0.13225224466933305,0.08638039808630482,0.19387711206606242,0.17607259256255262,0.4483599348563165,0.28286872339020064,0.5294862451459884,0.08581968542103406,0.16855908757895158,0.20691410796735182,0.4413483864984808,0.21322799585816263,0.1570873430130529,0.23965862726592854,0.2535715412244383,0.2387729240137296,0.09296081587277591,0.2613237739659304,0.24820664213461213,0.08184973004162716,0.13387977570691403,0.22609121628984247,0.12316245018185498,0.08581407820452198,0.2652860751927967,0.1459082395230155,0.04248471474246811,0.05287234761311046,0.012703547394726619,0.022287108020888922,0.07851161097660563,0.23025070536708603,0.37358117093148246,0.4580639968943896,0.7158466263684664,0.46273615471840945,0.3459948217573247,0.5990940931458681,0.4546910955759931,0.8907700764761706,0.43520406522147487,0.18416909845401302,0.3285480078997156,0.7303918004529777,0.1260109846101924,0.2190451870214233,0.7062095610601451,0.7872892560383421,0.8308950810251934,0.336603734058043,0.8397685044341303,0.9464112409067009,0.5461036796404442,0.7179213289766768,0.1504963819415559,1,0.42565436648829913,0.7689333231661873,0.8915179356749264,0.9876933009016139,0.7267954417184532,0.8829803087883072,0.9271695537115099,0.4070605516573775,0.8325587568068742,0.6925276575280211,0.7136154343139978,0.6304966270689022,0.7805028903054171,0.3045279832708469,0.6863699772308416,0.06937036625885075,0.4330250020086203,0.08973542263400881,0.2927602856794757,0.08191904168317006,0.41917245206566894,0.4542096353006817,0.4187590128175636,0.15220929637507802,0.10020161267002031,0.2738750625705809,0.36539720483711785,0.25340487353443525,0.25521171552953736,0.36415120410535773,0.5016934479884771,0.2951495557254964,0.38491145269590865,0.3778807990887458,0.4684219851549548,0.4704748457689778,0.30593118816228393,0.2230361813387882,0.11317859214312152,0.2166197304013182,0.31328329976496055,0.43953076530578855,0.2068068993102109,0.2873117219066811,0.31837422130818854,0.34415048545402993,0.18608109652817026,0.27799748420189085,0.46810374769109037,0.20275309375052014,0.35662031913341935,0.38461211754101304,0.32139548853721384,0.23463898245425513,0.2968149781087669,0.27625070984920375,0.2537947117067058,0.2091576075533292,0.10335056616118886,0.0289550035045821,0.07995221883295803,0.7557752767033248,0.8884072585775002,0.7398972014380687,0.8805275997088621,0.8001204008928374,0.7830183144148986,0.9271251322399083,0.8097435487640827,0.7383963242631834,0.5176595488930551,0.5919846274931779,0.4040754647919269,0.6807149021315375,0.29151641384111365,0.3315848605112641,1,0.9885198168135347,0.7245686728372552,0.6468797025457116,0.808409886100501,0.6954365361403592,0.9284146603317063,0.9274976760403767,0.2716351934214033,0.9801768405680176,0.7405443958757523,0.6585181632596212,0.7136494055044751,0.8187573441198943,0.9994865842407428,0.7841641868513952,0.8239893248932406,0.8062145803272239,0.7392104681648366,0.8237982663804838,0.6699448218729256,0.6487594368341322,0.8269245775942604,0.42130948867883267,0.2957590178245743,0.5559776344325333,0.36821892088075747,0.647712945431328,0.3198302569112065,0.48387281645800134,0.5638547012447246,0.47346427023808657,0.6431071145533946,0.3611884452822879,0.33112729789681616,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0,0,0,0,0.7948947584451003,0.39996512669413425,0.023605764469410928,0.19261178027244982,0.003147574835778612,0.8446607735259666,0.06331410341698743,0.28744909880505787,0.47007366125163313,0.42600586603334367,0.121036545231952,1,2.727308089713084e-4,0,0,0,0,0,0,0,0,0,0,0,0.13497284436300705,0,0,0.11059628776188854,0,0.01245300579391538,0.0033165393308715735,0.2383418828199666,3.6947828604646154e-4,0,0.6994596591969693,0,0,0,0,0,0,0,1.7768099222128175e-4,0,0,0,0,0,0,0.030697387436836965,0,0,0,0,0,0,2.610989429756698e-4,0,0,7.161052667669156e-5,0.011370464479964433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06555956148213092,0,0,0,0.005778213246246866,0.013824557382306455,0.10403643773449471,0.04859111030769396,0.019616783263733343,0.03790187885388748,1,0.01508967943352571,0.1269180060785705,0.23076242225859248,0.35700229230017566,0.0644453203185622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.804124446775178e-4,0,0,0,0,0,0,0,0.003825636973783032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004328223731179898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,0.0373462074296406,0,0,0,0,0.5361779384688737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2506446055533578,0.06865305924017451,0,0.022114347889134297,0,0,0,0,0,0.09056638836833146,0,0,0,0,0,0,0,0.04677022961599926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06170017347104072,0,0,0,0,0,0,0,0,0.10306273503801984,0,0,0,0,0,1,0.03681755904247741,0.036566235115607,0.06388310311340874,0,0,0,0.684096326936618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,0,0,0.8561803850218911,0,0,0.043304422093819184,0,0.08934698248441411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20057338303128974,0.04885459672282263,0.050531316841853406,1,0.061366656617124295,0.02105342763997743,0,0,0.2231802452294427,0,0,0,0,0,0,0,0,0,0,0,0,0.9068252707256744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07123700262950652,0,0,0,0,0,0,0,0,0,0,0,0.7623827072639515,0,0.7518962572826567,0,0,0,0.8961375442347637,0,0,0,0.09810872082482203,0,0,0,0.029718478553998753,0,0.18003822205345055,0,0,0.07584308031879773,0.014672152387495,0,0,0,1,0,0,0,0,0,0,0,0.032331553034068386,0.0017709066770575485,0.02760651275835813,0.0144921823688398,0,0.029494622492237884,0.016798008603642594,0.09362241287747788,0.014476019930316312,0,0.03628870746053956,0,0,0,0,0,0,0.6342155546396318,0,0,0,0,0,0,0,0,0,0,0,0,0.1757528783356475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023815197240508602,0,0,0,6.28244370499944e-4,0,0,0,0,0.08255522017653709,0,0,0,0,0.02976325152248618,0.11343330342616603,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,0.13062800576105574,0,0.01747882188953353,0,0.006791342927038706,0,0,0,0,0.01318722837191466,0.0020064333124179914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15329676100567477,0,0,0.004687071002944181,0,0,0.010939309327574781,0,0,0,0,0,0.31332037909492516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009081021336088619,0,0.11150946601440276,0,0,1,0,0.015475419146745065,0.04745119415291056,0.012676862641295372,0,0.025563519987159753,0,0.0048534864819788515,0.007129124084471296,0.030392033461026816,0.06587609830882106,0,0,0,0.015622995593835832,0,0,0,0,0.00636406964867937,0.7127320370908266,0,0.01847388783261383,0,0,0.0011310921919633161,0,0.02704567046350025,0.09737536657017523,0.06479063872635184,0,0.0024915575161389442,0.020111245361174233,0,0,0,0,0.3291647082851986,0,0.007066899084305015,0.03647559572029435,0.027146254398694582,0,0,0.05450548141069588,0.008478732157689396,0.020343610025116622,0.019741570894959717,0.8229928955005701,0.06295325921120157,0,0,0,0.1405228718562468,0.18671407065086032,0.1219920392513472,0.02791590916764255,0.4874042421808274,0,0,0.010961823219531645,1,0,0,0,0,0,0.025373701045997756,0,0,0.015991416081679213,0,0,0.14919020824193435,0,0,0,0,0,0,0,0.050453424111575974,0,0.035975962573759984,0.07658458068392517,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,0,0,0,0,0,0.11249699253506358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09978946857731621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02431868452910763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02517531812338928,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,0.09005420081127337,0,0.007639360446218935,0,0,0.01457579704834121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04599279800711062,0,0.01097577458126711,0.1516791930876488,0.02314137889225953,1,0,0,0,0.029999001121817036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017008469373596805,0,0,0,0,0,0,0,0,0.016977765576514904,0.02907076566480971,0,0,0.02255634056539155,0,0,0,0,0,0,0,0,0.008654924560597391,0,0,0.019976252993053577,0,0.17006069896181275,0,0,0,0,0,0,0,0,0,0,0,0,0.3068613410471685,0.01285387429074361,0,0.003013239307649337,0,0.10953059326279263,0,0,0.8267587197475681,0.022655065663177012,0,0.3119428938596844,0,0,0.06685025110314935,0,0,0,0,0,0,0.014355680552771755,0,0,0,0.19336579264402642,0,0,0,0,0,0,0.05252082983316227,0,0,0,0,0,0,0,0,0,0.006981786208959746,0,0,0,0,0,0,0,0,0,0.027019104310485983,0,0,0,0,1,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,0.012102399955985074,0,0,0,0,0,0,0,0,0,0,0,0,0.08361147542271054,0.16426854362661303,0,0,0,0,0.01545428581900711,0.01976243144558962,0.025307521415039416,0.49856226431470346,0.044581430374265,0.03503904037163467,0.0171195526549055,0,0.017857547210161855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28075877587499165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007439316605471433,0,0,0.010597164419356396,0,0,0.07724974421599945,0.125319346962784,0.07961880216071086,0,0.013570684422702362,0,0,0,0,0,0,0,0,0,0.01480679901939483,0,0,0.0013490237224778948,1,0.09988639409251378,0,0,0,0,0,0,0,0,0,0,0.001760605578366603,0,0,0,0.005985493362300392,0.0034366892138167552,0.019416834480516013,0.07070289427654916,0.03965790507459002,0.7165095231291075,0.39425483436636793,0.1736984071473706,0.05417643821982759,0.008342218376314419,0,0,0.2773572289780216,0,0.05953011819800259,0.03724900050859364,0,0.01214084009597001,0,0,0.029376952405973534,0.0030461066255929848,0,0,0,0,0,0,0,0.05321191341369316,0,0,0,0,0,0,0.002683514449857437,0.023251000485404134,0,0.003269000935846145,0,0,0.007107966659025987,0,0.0023132447927808053,0,0,0,0.14367244917043218,0.016280921491879142,0,0.10793386533214622,0.10352699105579447,0.05515042207524168,0,0.09660375446629453,0,0,0.06010017702713994,0.09951198267666726,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2022650159398102,0.8683641826855063,0,0.04335933159211046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0.0024202071619672952,0.014255567154013573,0.0029093601281846193,8.598593437653566e-4,0.008545949506684178,0.13271750929724743,0.1434476655265972,0.1532471957228221,0.016624976636986265,0.021004337366963114,0.03873782586411835,0.060534482803459334,0.007044137680486168,0,0,9.538089288612687e-4,0,0.015102678880802503,0.01790840423190725,0.0013125167675683712,0.05744253672318439,0.027717710465290122,0.0011198497597627044,0.0016377213647939196,0.06290000542494223,0.10775589483451219,0.0341242317761291,0.0369609712109872,0.13091290344796996,0.03384696614443585,0.04416621864411199,0.1408271781443001,0.05343295772035682,0.04399004446248037,0.2607396841935839,0.055995701967522654,0.006930610278556804,4.682501339314801e-4,0.0200348625459151,0.032898084892842454,0.025419237188136896,0.001705171246093847,0.03896424363995288,0.013531095445862989,0.008056792372533053,0.06259190948961613,2.3777343640207741e-4,0.007202584165243711,0.025007893457408073,9.873594994906465e-4,0.1652775157642496,0.1360720945516893,0,0.01370609012223642,0,0.023153759002593,0,0.03083401804135268,1,0,0,0.013010359225690384,0.10051046803271711,0.014754645813623827,0.012824005787097621,0.021684885604430625,0.01763693257990796,0.027607766468387328,0.09346324368522456,0.018926554783927328,0.04091410922605667,0.05925047406079868,0.00213471139072915,0.04474171683251057,0.22222122946983403,0.05529303285423837,0.20873872951459077,0.05605151909155477,0.034408923876174086,0.004186359918131284,0,0.07940760420924398,0,0.010043585743244527,3.79768514811089e-4,0.03780568893918275,0.05134795378117385,0.2556757632797436,0.594028888698894,0.23742824557022343,0.3216986758836138,0.3898422547951555,0.22747952597676221,0.2420825386977503,0.27030899036379474,0.6241705378107633,0.3605244673541183,0.0035416974651519962,0.05417347120844827,0.018995771636750102,0.35659818046711655,0.20405281244788193,0.022183251504316975,0.00483884394189736,0.004398805162508781,0.0515974711183129,0.09876503151935459,0.0183727844813249,0.010856138751077774,0.4601209312874026,0.1443113901981843,0.12289035693702036,0.25475846691862525,0.14381523102233384,0.5050930838234065,0.35424732261457476,0.33465433487536517,0.19038825058510608,0.5421829353734788,1,0.6271147270745122,0.08881969876933823,0.01250272233064749,0.00926093388705954,0.025392403387878116,0.17848208091387735,0.04500375574924871,0.008676765845583839,0.03628442985325246,0.0054527937987672035,0.014574005537153914,0.024599363894617494,0.05348094593826185,0.3579232183197537,0.26606941367503645,0.2170398872774399,0,0.00621386272057745,0,0,0,0.07138246171191799,0,0.0796734550152361,0,0,0.10405030741137485,0.06170776443352634,0.15050697265339114,0.04662153726787338,0.11712122481298035,0.05444689132999407,0.05712770918977599,0.032440883239626475,0.14166467910985014,0.2504830440556296,0.16608830680503148,0.09241523239715752,0.0442456150387114,0.7675238337084215,0.5760495033725226,0.12284338744797059,0.8023780739896889,0.1642415022502311,0.034338329784502374,0.2619897290257279,0.05934543621907777,0.49277579331747823,0.3630570424835886,0.3268156965036372,0.04254031866394936,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
