fishcard_12S_all_elas_LA11_1_1,fishcard_12S_all_elas_LA11_1_2,fishcard_12S_all_elas_LA11_1_3,fishcard_12S_all_elas_LA11_2_1,fishcard_12S_all_elas_LA11_2_2,fishcard_12S_all_elas_LA11_2_3,fishcard_12S_all_elas_LA11_3_1,fishcard_12S_all_elas_LA11_3_2,fishcard_12S_all_elas_LA11_3_3,fishcard_12S_all_elas_LA11_4_1,fishcard_12S_all_elas_LA11_4_2,fishcard_12S_all_elas_LA11_4_3,fishcard_12S_all_elas_LA14_1_1,fishcard_12S_all_elas_LA14_1_2,fishcard_12S_all_elas_LA14_1_3,fishcard_12S_all_elas_LA14_2_1,fishcard_12S_all_elas_LA14_2_2,fishcard_12S_all_elas_LA14_2_3,fishcard_12S_all_elas_LA14_3_1,fishcard_12S_all_elas_LA14_3_2,fishcard_12S_all_elas_LA14_3_3,fishcard_12S_all_elas_LA14_4_1,fishcard_12S_all_elas_LA14_4_2,fishcard_12S_all_elas_LA14_4_3,fishcard_12S_all_elas_LA3_1_1,fishcard_12S_all_elas_LA3_1_2,fishcard_12S_all_elas_LA3_1_3,fishcard_12S_all_elas_LA3_2_1,fishcard_12S_all_elas_LA3_2_2,fishcard_12S_all_elas_LA3_2_3,fishcard_12S_all_elas_LA3_3_1,fishcard_12S_all_elas_LA3_3_2,fishcard_12S_all_elas_LA3_3_3,fishcard_12S_all_elas_LA3_4_1,fishcard_12S_all_elas_LA3_4_2,fishcard_12S_all_elas_LA3_4_3,fishcard_12S_all_elas_LA6_1_1,fishcard_12S_all_elas_LA6_1_2,fishcard_12S_all_elas_LA6_1_3,fishcard_12S_all_elas_LA6_2_1,fishcard_12S_all_elas_LA6_2_2,fishcard_12S_all_elas_LA6_2_3,fishcard_12S_all_elas_LA6_3_1,fishcard_12S_all_elas_LA6_3_2,fishcard_12S_all_elas_LA6_3_3,fishcard_12S_all_elas_LA6_4_1,fishcard_12S_all_elas_LA6_4_2,fishcard_12S_all_elas_LA6_4_3,fishcard_12S_all_elas_LB1_0_1,fishcard_12S_all_elas_LB1_0_2,fishcard_12S_all_elas_LB1_0_3,fishcard_12S_all_elas_LB1_1_1,fishcard_12S_all_elas_LB1_1_2,fishcard_12S_all_elas_LB1_1_3,fishcard_12S_all_elas_LB1_2_1,fishcard_12S_all_elas_LB1_2_2,fishcard_12S_all_elas_LB1_2_3,fishcard_12S_all_elas_LB1_3_1,fishcard_12S_all_elas_LB1_3_2,fishcard_12S_all_elas_LB1_3_3,fishcard_12S_all_elas_LB1_4_1,fishcard_12S_all_elas_LB1_4_2,fishcard_12S_all_elas_LB1_4_3,fishcard_12S_all_elas_LB14_1_1,fishcard_12S_all_elas_LB14_1_2,fishcard_12S_all_elas_LB14_1_3,fishcard_12S_all_elas_LB14_2_1,fishcard_12S_all_elas_LB14_2_2,fishcard_12S_all_elas_LB14_2_3,fishcard_12S_all_elas_LB14_3_1,fishcard_12S_all_elas_LB14_3_2,fishcard_12S_all_elas_LB14_3_3,fishcard_12S_all_elas_LB14_4_1,fishcard_12S_all_elas_LB14_4_2,fishcard_12S_all_elas_LB14_4_3,fishcard_12S_all_elas_LB2_1_1,fishcard_12S_all_elas_LB2_1_2,fishcard_12S_all_elas_LB2_1_3,fishcard_12S_all_elas_LB2_2_1,fishcard_12S_all_elas_LB2_2_2,fishcard_12S_all_elas_LB2_2_3,fishcard_12S_all_elas_LB2_3_1,fishcard_12S_all_elas_LB2_3_2,fishcard_12S_all_elas_LB2_3_3,fishcard_12S_all_elas_LB2_4_1,fishcard_12S_all_elas_LB2_4_2,fishcard_12S_all_elas_LB2_4_3,fishcard_12S_all_miu_LA11_1_1,fishcard_12S_all_miu_LA11_1_2,fishcard_12S_all_miu_LA11_1_3,fishcard_12S_all_miu_LA11_2_1,fishcard_12S_all_miu_LA11_2_2,fishcard_12S_all_miu_LA11_2_3,fishcard_12S_all_miu_LA11_3_1,fishcard_12S_all_miu_LA11_3_2,fishcard_12S_all_miu_LA11_3_3,fishcard_12S_all_miu_LA11_4_1,fishcard_12S_all_miu_LA11_4_2,fishcard_12S_all_miu_LA11_4_3,fishcard_12S_all_miu_LA14_1_1,fishcard_12S_all_miu_LA14_1_2,fishcard_12S_all_miu_LA14_1_3,fishcard_12S_all_miu_LA14_2_1,fishcard_12S_all_miu_LA14_2_2,fishcard_12S_all_miu_LA14_2_3,fishcard_12S_all_miu_LA14_3_1,fishcard_12S_all_miu_LA14_3_2,fishcard_12S_all_miu_LA14_3_3,fishcard_12S_all_miu_LA14_4_1,fishcard_12S_all_miu_LA14_4_2,fishcard_12S_all_miu_LA14_4_3,fishcard_12S_all_miu_LA3_1_1,fishcard_12S_all_miu_LA3_1_2,fishcard_12S_all_miu_LA3_1_3,fishcard_12S_all_miu_LA3_2_1,fishcard_12S_all_miu_LA3_2_2,fishcard_12S_all_miu_LA3_2_3,fishcard_12S_all_miu_LA3_3_1,fishcard_12S_all_miu_LA3_3_2,fishcard_12S_all_miu_LA3_3_3,fishcard_12S_all_miu_LA3_4_1,fishcard_12S_all_miu_LA3_4_2,fishcard_12S_all_miu_LA3_4_3,fishcard_12S_all_miu_LA6_1_1,fishcard_12S_all_miu_LA6_1_2,fishcard_12S_all_miu_LA6_1_3,fishcard_12S_all_miu_LA6_2_1,fishcard_12S_all_miu_LA6_2_2,fishcard_12S_all_miu_LA6_2_3,fishcard_12S_all_miu_LA6_3_1,fishcard_12S_all_miu_LA6_3_2,fishcard_12S_all_miu_LA6_3_3,fishcard_12S_all_miu_LA6_4_1,fishcard_12S_all_miu_LA6_4_2,fishcard_12S_all_miu_LA6_4_3,fishcard_12S_all_miu_LB1_0_1,fishcard_12S_all_miu_LB1_0_2,fishcard_12S_all_miu_LB1_0_3,fishcard_12S_all_miu_LB1_1_1,fishcard_12S_all_miu_LB1_1_2,fishcard_12S_all_miu_LB1_1_3,fishcard_12S_all_miu_LB1_2_1,fishcard_12S_all_miu_LB1_2_2,fishcard_12S_all_miu_LB1_2_3,fishcard_12S_all_miu_LB1_3_1,fishcard_12S_all_miu_LB1_3_2,fishcard_12S_all_miu_LB1_3_3,fishcard_12S_all_miu_LB1_4_1,fishcard_12S_all_miu_LB1_4_2,fishcard_12S_all_miu_LB1_4_3,fishcard_12S_all_miu_LB14_1_1,fishcard_12S_all_miu_LB14_1_2,fishcard_12S_all_miu_LB14_1_3,fishcard_12S_all_miu_LB14_2_1,fishcard_12S_all_miu_LB14_2_2,fishcard_12S_all_miu_LB14_2_3,fishcard_12S_all_miu_LB14_3_1,fishcard_12S_all_miu_LB14_3_2,fishcard_12S_all_miu_LB14_3_3,fishcard_12S_all_miu_LB14_4_1,fishcard_12S_all_miu_LB14_4_2,fishcard_12S_all_miu_LB14_4_3,fishcard_12S_all_miu_LB2_1_1,fishcard_12S_all_miu_LB2_1_2,fishcard_12S_all_miu_LB2_1_3,fishcard_12S_all_miu_LB2_2_1,fishcard_12S_all_miu_LB2_2_2,fishcard_12S_all_miu_LB2_2_3,fishcard_12S_all_miu_LB2_3_1,fishcard_12S_all_miu_LB2_3_2,fishcard_12S_all_miu_LB2_3_3,fishcard_12S_all_miu_LB2_4_1,fishcard_12S_all_miu_LB2_4_2,fishcard_12S_all_miu_LB2_4_3,sum.taxonomy
0.10005676084762866,0.2003437551154035,0.0595692366643782,0.3073437136881246,0.09864843250159949,0.06436113643269523,0.1446151122128281,0.130977522216414,0.3335508637236084,0.21099495313626532,0.3947786409449274,0.06264753692840483,0.1257301138074306,0.1543395536648997,0.3292067111907477,0.15899971743430347,0.11717321088064754,0.1777898250920193,0.18914185639229422,0.17810340184902612,0.06933224256058902,0.19481019223369192,0.1851401179941003,0.061046626008262835,0.09980992437416589,0.1679697853167241,0.09145153433999026,0.06387438274894312,0.1978798586572438,0.10825526219734762,0.03167137033552838,0.039425525143220876,0.009446567850595071,0.01662420382165605,0.05856269113149847,0.17174658338421078,0.2786583850931677,0.341396301273437,0.5336687306501547,0.3451600873688136,0.25796976045177156,0.44687100288976267,0.3391591875295229,0.6644353899883586,0.32462359304195293,0.13686157759343295,0.24506764374295378,0.5430855513897066,0.09216990788126919,0.16338826158081635,1,0.5267696317019891,0.58536901725107,0.5125909345271404,0.6197739593861986,0.2510765002290426,0.6263927454219536,0.6775262286029817,0.40114443567482244,0.53550557073786,0.11225693910009749,0.7459112149532711,0.3175003656574521,0.573555989300947,0.6649932265519165,0.7367315100767295,0.5401610017889088,0.6363421114940412,0.6915861682766344,0.3036310306463032,0.6209427531179798,0.516322029225255,0.5322937556185603,0.4702945051209043,0.5821244834275112,0.22715083798882682,0.483955880459507,0.05170953505995631,0.32299820535339263,0.06691435720514084,0.21581576338091407,0.060746671519121706,0.3126654329952449,0.33880006091061365,0.31235704402338127,0.11338289962825279,0.07474150664697193,0.2334972206734587,0.31160908252239383,0.21570833226804387,0.217436483607835,0.31067269321605995,0.4278285164228864,0.2518096144898997,0.3044547170137987,0.32239255149064233,0.39963861443235554,0.40139003173856824,0.26100806542710614,0.19028541209275493,0.09655937846836848,0.18481115673436171,0.2672805884665057,0.37498979897173634,0.17629201197053407,0.24512269298158015,0.27155383451284104,0.29361521773486776,0.1587568345323741,0.23618860445362336,0.3993671071522752,0.1729324357319753,0.3042363194327591,0.3275255391600454,0.27368558254720826,0.2001844507977497,0.25323048523206754,0.23562406682539042,0.21155128618206614,0.1784447765681792,0.08676633370230585,0.024703233085072433,0.06821198613174839,0.6447967729440207,0.757779604675269,0.6312502439595613,0.75088329618959615,0.6821571765637633,0.6680394263399329,0.7909855109196131,0.6908403109358061,0.6299697565067661,0.4416461042042327,0.5050572428157203,0.3445280945449638,0.5807583096709538,0.24870996538134948,0.28289473684210525,0.8531593885375691,0.8433649624699051,0.7833333333333333,0.6181725658713106,0.5518914914812639,0.6897024841132293,0.5933182099401939,0.7727218344965104,0.7910764466364627,0.23174811552468874,0.8362470739576963,0.6318024039702803,0.5618209535074615,0.6088566904303977,0.6978673222601987,0.8527213630623357,0.6690170381671965,0.7029942285874016,0.6878295383820473,0.6306643510200822,0.7028312252234831,0.5712214875078125,0.5534952044373859,0.7051439900777664,0.3594441457463088,0.2523295828016858,0.4739533235457905,0.3141494293865906,0.5526023804720597,0.2728661864221786,0.41282063621925985,0.481057932137983,0.4039404872907123,0.5482933914306464,0.30768664950349395,0.2825043630017452,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0,0,0,0,0.23586439453242608,0.11867927350072284,0.00700439811044144,0.05713478383724216,9.339611627816476e-4,0.2492652723485605,0.018786817385766597,0.08529306166412351,0.13946552135528514,0.1263321677736695,0.03591445427728614,0.29669486523706473,8.088324503579083e-5,0,0,0,0,0,0,0,0,0,0,0,0.04004968944099379,0,0,0.0328165787651164,0,0.0036951063527405374,9.840969925995907e-4,0.07072176949941793,1.0963309457681625e-4,0,0.20754650507328073,0,0,0,0,0,0,0,0,0,5.272222417489719e-5,0,0,0,0,0,0,0.009108653220559532,0,0,0,0,0,0,7.746533426291734e-5,0,0,2.124856572181378e-5,0.003373534620899047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018182388162638328,0,0,0,1.60253842085864e-4,3.8341237009383516e-4,0.0028853623349239816,0.0013476332191588523,5.440548407279454e-4,0.0010502992633517495,0.02773415158915327,4.183914185249477e-4,0.0035199632199761507,0.0064,0.009859929048483537,0.0017873362829265434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7178344295265532e-5,0,0,0,0,0,0,0,1.0603533868651134e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1992564609941837e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,1.5492895400823336e-4,0,0,0,0,0.0021768322849671355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001035070628348758,2.8420192546804507e-4,0,9.125197712617107e-5,0,0,0,0,0,3.757103273376227e-4,0,0,0,0,0,0,0,1.9402405898331392e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5596021646921165e-4,0,0,0,0,0,0,0,0,4.2735042735042735e-4,0,0,0,0,0,0.004145678241875808,1.5273588147695597e-4,1.5164726845357697e-4,2.619123342001384e-4,0,0,0,0.002837940869172338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.916346785627831e-5,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,0,0,0.006218010236724248,0,0,3.136434918975431e-4,0,6.488824801730354e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014558984106442352,3.533881084901493e-4,3.653190452995616e-4,0.007247149099435149,4.456753573361347e-4,1.5208662854361845e-4,0,0,0.0016158602902333675,0,0,0,0,0,0,0,0,0,0,0,0,0.00656126253721421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99855305043277e-4,0,0,0,0,0,0,0,0,0,0,0,0.00553512529855556,0,0.005428684074849119,0,0,0,0.006499501907330466,0,0,0,0.0035282386930176666,0,0,0,0.001071161940209688,0,0.006489231637355403,0,0,0.0027336601676343675,5.288376788833512e-4,0,0,0,0.03604363319822638,0,0,0,0,0,0,0,0.0011650214517423,6.382620704061087e-5,9.931895573212259e-4,5.213679391302931e-4,0,0.0010630933544303798,6.053024494572455e-4,0.0032969420862150357,5.217683525385357e-4,0,0.001307976860945429,0,0,0,0,0,0,0.022859432820040586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006334772280262586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58386233880305e-4,0,0,0,2.263283209154528e-5,0,0,0,0,0.0029755900746419204,0,0,0,0,0.001072033751772314,0.004082383229128356,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,0.006580455066295629,0,8.797848677002756e-4,0,3.4184138559708297e-4,0,0,0,0,6.642215612094608e-4,9.89469220439607e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007724681689840712,0,0,2.3618327822390176e-4,0,0,5.491805647888545e-4,0,0,0,0,0,0,0.015737818323317047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5491765990355747e-4,0,0.005619004111466423,0,0,0.0503903777168179,0,4.761479629794959e-4,0.0014573159818986015,3.8967111757676524e-4,0,7.865142159509779e-4,0,1.3850655309129313e-4,2.1944261575597982e-4,9.355016467392001e-4,0.0020277418596449984,0,0,0,4.808937224873303e-4,0,0,0,0,1.9584279164997553e-4,0.021938709538381965,0,5.662797088656085e-4,0,0,3.4814294749424116e-5,0,8.309301529889047e-4,0.0029973254634326294,0.0019943301687763712,0,7.493050195943263e-5,6.190471979270763e-4,0,0,0,0,0.010129749437037566,0,2.1742675436212425e-4,0.0011219826092695563,8.355928445967838e-4,0,0,0.0016777412304907393,2.609851001233748e-4,6.261996487836752e-4,6.072933033863831e-4,0.025332665219085795,0.0019377735199982583,0,0,0,0,0.004325455162275246,0.0057472732381414595,0.003755054881571346,8.592837011067574e-4,0.014636091724825523,0,0,3.3741749087918345e-4,0.030781146906107462,0,0,0,0,0,7.810316194485095e-4,0,0,4.922341276468572e-4,0,0,0.004589938348165383,0,0,0,0,0,0,0,0.0015530142594945644,0,0.001106615485700453,0.0023538065465244576,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,0,0,0,0,0,0.0015050241246514098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013321965256314612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013378349862840262,0,6.348639506393278e-4,0,0,0,0,0,0,0,0.02611715556239027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.570529446346439e-4,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,0.0032095107869948344,0,2.718243596445374e-4,0,0,5.198255696421867e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016344200017669405,0,3.9077764751856197e-4,0.005411772196224493,8.212677941355396e-4,0.03565828965640819,0,0,0,0.0010703363914373089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.065618968844775e-4,0,0,0,0,0,0,0,0,5.986567638860307e-4,0.0010311466957813968,0,0,8.047892017055883e-4,0,0,0,0,0,0,0,0,4.2197288553714985e-4,0,0,9.739469198928658e-4,0,0.008291349434064569,0,0,0,0,0,0,0,0,0,0,0,0,0.014956922110990966,6.26657305489634e-4,0,1.4663473288039494e-4,0,0.005340189873417721,0,0,0.04030881611645162,0.001086913033620954,0,0.015208849265312862,0,0,0.0032592997384753505,0,0,0,0,0,0,6.999145866945051e-4,0,0,0,0.009427594765834222,0,0,0,0,0,0,0,0.002560665429298137,0,0,0,0,0,0,0,0,0,3.4039863111121917e-4,0,0,0,0,0,0,0,0,0,0.001316255758618944,0,0,0,0,0.048755235540496024,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,1.899118808872683e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0013134851138353765,0.0025805582981779014,0,0,0,0,2.4264973510737252e-4,3.0921459492888067e-4,3.957622990745251e-4,0.007815552950371238,7.003469900996403e-4,5.475118627570264e-4,2.6878107781212203e-4,0,2.796681271557752e-4,0,0,0.015709388061804348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004410548561977396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1686711146997578e-4,0,0,1.5736541680376533e-4,0,0,0.0012131781476286158,0.0019456344826295998,0.0012434416037363904,0,2.131871478605147e-4,0,0,0,0,0,0,0,0,0,2.8131525702476657e-4,0,0,2.563018210244384e-5,0.018999059597978134,0.0018977475543908004,0,0,0,0,0,0,0,0,0,0,3.3310571109741677e-5,0,0,0,1.1350737797956867e-4,6.517099239128663e-5,3.6890159549940053e-4,0.0013432885021097047,7.532652704356832e-4,0.013300164097799291,0.007490471094917623,0.0032474027446221143,0.0010293013785446848,1.5849430411094602e-4,0,0,0.005269526523283501,0,0.0011302324813965384,7.076959806278883e-4,0,2.3066454455285677e-4,0,0,5.581344695680583e-4,5.783745746536982e-5,0,0,0,0,0,0,0,0,0.0010109763142692085,0,0,0,0,0,0,5.098425096487695e-5,4.417471439348117e-4,0,6.21079436059872e-5,0,0,1.3504468217527625e-4,0,4.39494756827551e-5,0,0,0,0.002729641424376525,3.093221977342149e-4,0,0.002050641940085592,0.0019669154730683884,0.0010478061558611656,0,0.0018353804884935763,0,0,0.001140125045972784,0.0018906340895869691,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899067781119659,0,0,0,0,0,0,0.0011930326890956812,0.005119539576048586,0,2.557544757033248e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1826861871419476e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04024786796735996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858683314415437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02444666001994018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Cosmocampus;Cosmocampus arctus
