LA11_1_1,LA11_1_2,LA11_1_3,LA11_2_1,LA11_2_2,LA11_2_3,LA11_3_1,LA11_3_2,LA11_3_3,LA11_4_1,LA11_4_2,LA11_4_3,LA14_1_1,LA14_1_2,LA14_1_3,LA14_2_1,LA14_2_2,LA14_2_3,LA14_3_1,LA14_3_2,LA14_3_3,LA14_4_1,LA14_4_2,LA14_4_3,LA3_1_1,LA3_1_2,LA3_1_3,LA3_2_1,LA3_2_2,LA3_2_3,LA3_3_1,LA3_3_2,LA3_3_3,LA3_4_1,LA3_4_2,LA3_4_3,LA6_1_1,LA6_1_2,LA6_1_3,LA6_2_1,LA6_2_2,LA6_2_3,LA6_3_1,LA6_3_2,LA6_3_3,LA6_4_1,LA6_4_2,LA6_4_3,LB1_0_1,LB1_0_2,LB1_0_3,LB1_1_1,LB1_1_2,LB1_1_3,LB1_2_1,LB1_2_2,LB1_2_3,LB1_3_1,LB1_3_2,LB1_3_3,LB1_4_1,LB1_4_2,LB1_4_3,LB14_1_1,LB14_1_2,LB14_1_3,LB14_2_1,LB14_2_2,LB14_2_3,LB14_3_1,LB14_3_2,LB14_3_3,LB14_4_1,LB14_4_2,LB14_4_3,LB2_1_1,LB2_1_2,LB2_1_3,LB2_2_1,LB2_2_2,LB2_2_3,LB2_3_1,LB2_3_2,LB2_3_3,LB2_4_1,LB2_4_2,LB2_4_3,sum.taxonomy
16993,43652,12168,26885,20193,39834,29807,23849,18973,37038,40987,15985,13962,14073,11059,10387,16796,18484,31753,38442,44941,25436,24223,43993,27257,60038,26088,37192,27922,34287,35741,29224,20482,13273,6262,17643,53882,127342,39239,95842,94016,87782,102241,36799,37420,41964,44057,53268,12232,15518,4013,30879,50898,963,50477,32568,54745,45567,52983,54119,13133,53701,39390,118129,114624,92970,135645,134250,105268,126153,158433,117413,139550,160319,183388,10724,40355,10522,15506,12722,17786,19159,23570,42177,37978,17699,9541,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,58,0,0,0,3927,7161,207,2046,44,8809,3527,3848,8673,8107,2540,15264,2,0,0,0,0,0,0,0,0,0,0,0,806,0,0,1235,0,78,25,729,3,0,5891,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126,0,12,0,0,0,0,4,0,0,2,160,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,7,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,31,0,0,0,0,0,93,4,4,14,0,0,0,203,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,138,0,311,0,99,15,207,18,0,121,33,0,0,0,1325,0,0,0,0,0,0,0,203,27,82,472,14,134,90,440,111,0,291,0,0,0,0,0,0,2681,0,0,0,227,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,19,0,0,172,0,0,0,5,0,0,0,0,205,0,179,0,0,31,646,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,450,57,68,0,85,0,8,7,73,161,7,0,0,13,0,0,0,0,22,3054,0,34,0,0,6,0,102,325,242,0,10,70,0,0,0,0,1417,0,314,136,98,6,0,76,41,46,63,455,89,0,0,728,0,306,225,104,50,734,0,0,16,1073,0,0,0,0,0,95,0,0,56,0,0,1014,0,0,0,0,0,0,15,33,369,32,64,1194,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,64,0,0,0,0,68,0,0,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,317,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,169,39,13,0,76,18,367,0,0,0,0,0,0,0,0,0,0,0,0,2144,182,0,40,170,675,796,0,4558,163,14,2303,0,0,167,0,0,0,0,0,0,59,0,0,0,433,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,56,0,0,0,44,0,0,0,0,0,26,0,0,32,34,1036,0,57,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,10,26,0,0,2,1293,84,0,0,0,0,0,0,33,115,0,0,2,0,6,14,21,448,62,181,118,1775,856,487,229,693,0,0,270,0,137,83,0,10,0,0,41,6,0,0,0,0,0,0,48,0,28,0,0,0,0,0,0,10,65,0,9,0,0,23,0,5,0,11,0,66,19,0,46,71,128,41,39,14,0,31,52,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,70,306,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Cosmocampus;Cosmocampus arctus
378,1183,1616,3536,1984,7317,8424,5123,1380,3504,7131,4318,86,413,79,992,1154,471,282,102,2603,2056,196,208,10835,5986,1826,5725,4227,9921,8539,8286,4074,12616,35743,15669,1085,282,188,980,3822,828,598,304,136,1148,281,956,1202,1891,472,1917,2816,0,0,266,0,800,0,967,8664,0,558,1942,5089,923,2738,1732,1293,1214,6512,4994,5914,5460,1548,3033,8819,924,5199,1158,929,1736,194,6058,1614,1732,184,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,13,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;;
0,0,27,34,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,Eukaryota;Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus occidentalis
